#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_162800_cov_68.413407:54412-54813|+  -            134 23014                -            118   1.4e-45  151.5  13.9   1   1   2.4e-47   1.8e-44  147.9  13.9     9   118    24   133     1   133 0.93 NODE_7_length_162800_cov_68.413407_58 # 54412 # 54813 # 1 # ID=7_58;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.356
NODE_5_length_185063_cov_65.589034:88814-89707|+  -            298 23014                -            118      0.23    8.9   4.4   1   2   0.00012     0.094   10.2   0.9    38   111    30   105    11   110 0.78 NODE_5_length_185063_cov_65.589034_89 # 88814 # 89707 # 1 # ID=5_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_5_length_185063_cov_65.589034:88814-89707|+  -            298 23014                -            118      0.23    8.9   4.4   2   2      0.45   3.5e+02   -1.3   0.1    47    63   182   198   155   208 0.56 NODE_5_length_185063_cov_65.589034_89 # 88814 # 89707 # 1 # ID=5_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_20_length_42062_cov_371.455566:37852-38994|+ -            381 23014                -            118       2.6    5.5   9.8   1   3   0.00091       0.7    7.4   0.1    27    86     3    64     1    68 0.69 NODE_20_length_42062_cov_371.455566_47 # 37852 # 38994 # 1 # ID=20_47;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:37852-38994|+ -            381 23014                -            118       2.6    5.5   9.8   2   3      0.12        92    0.5   0.2    39    75    73   106    50   124 0.49 NODE_20_length_42062_cov_371.455566_47 # 37852 # 38994 # 1 # ID=20_47;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:37852-38994|+ -            381 23014                -            118       2.6    5.5   9.8   3   3     0.037        28    2.2   1.8    55    91   117   153   106   156 0.92 NODE_20_length_42062_cov_371.455566_47 # 37852 # 38994 # 1 # ID=20_47;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:5429-6571|+   -            381 23014                -            118       2.6    5.5   9.8   1   3   0.00091       0.7    7.4   0.1    27    86     3    64     1    68 0.69 NODE_20_length_42062_cov_371.455566_7 # 5429 # 6571 # 1 # ID=20_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:5429-6571|+   -            381 23014                -            118       2.6    5.5   9.8   2   3      0.12        92    0.5   0.2    39    75    73   106    50   124 0.49 NODE_20_length_42062_cov_371.455566_7 # 5429 # 6571 # 1 # ID=20_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:5429-6571|+   -            381 23014                -            118       2.6    5.5   9.8   3   3     0.037        28    2.2   1.8    55    91   117   153   106   156 0.92 NODE_20_length_42062_cov_371.455566_7 # 5429 # 6571 # 1 # ID=20_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23014at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23014at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23014at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:11:01 2026
# [ok]
