#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 371856               -            461   1.2e-96  321.7   0.3   1   1   2.8e-99   1.8e-96  321.1   0.3     2   446     7   493     6   498 0.87 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 371856               -            461   3.1e-25   86.2   0.4   1   3   2.9e-21   1.8e-18   64.0   0.0     8   188    39   222    35   226 0.93 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 371856               -            461   3.1e-25   86.2   0.4   2   3     0.019        12    1.9   0.1   166   207   392   429   377   433 0.75 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 371856               -            461   3.1e-25   86.2   0.4   3   3   2.6e-06    0.0016   14.7   0.2   269   443   563   723   513   731 0.71 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 371856               -            461   6.2e-23   78.7   1.8   1   3   1.9e-14   1.2e-11   41.5   0.0     7    76    55   125    49   202 0.70 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 371856               -            461   6.2e-23   78.7   1.8   2   3   1.6e-05    0.0099   12.0   0.1   143   207   396   463   389   466 0.76 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 371856               -            461   6.2e-23   78.7   1.8   3   3   1.1e-08   6.6e-06   22.5   0.1   267   445   578   775   525   784 0.73 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 371856               -            461     3e-22   76.4   1.3   1   3   1.6e-09     1e-06   25.2   0.0     8   131    47   190    40   199 0.77 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 371856               -            461     3e-22   76.4   1.3   2   3   8.4e-05     0.052    9.7   0.2   146   219   352   435   343   439 0.60 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 371856               -            461     3e-22   76.4   1.3   3   3   1.9e-13   1.2e-10   38.1   0.1   228   446   468   704   442   713 0.77 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 371856               -            461   7.1e-14   48.8   4.3   1   2   9.6e-10   5.9e-07   26.0   0.1    12   123    33   145    25   183 0.75 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
