#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:293204-295924|-   -            907 27467                -            825  5.5e-229  759.7  98.0   1   1  2.1e-230  8.2e-228  755.8  98.0     1   825     1   897     1   897 0.87 tig00000001_pilon_305 # 293204 # 295924 # -1 # ID=1_305;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001_pilon:2216228-2216668|+ -            147 27467                -            825   3.1e-05   19.5   0.0   1   1   8.9e-08   3.4e-05   19.4   0.0   374   473    11   109     2   125 0.81 tig00000001_pilon_2120 # 2216228 # 2216668 # 1 # ID=1_2120;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.356
tig00000001_pilon:753860-757441|+   -           1194 27467                -            825   5.3e-05   18.8   0.0   1   5   1.4e-07   5.3e-05   18.8   0.0     1    45     1    46     1    55 0.89 tig00000001_pilon_699 # 753860 # 757441 # 1 # ID=1_699;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon:753860-757441|+   -           1194 27467                -            825   5.3e-05   18.8   0.0   2   5         8   3.1e+03   -8.0  51.6   430   665   166   402   159   419 0.77 tig00000001_pilon_699 # 753860 # 757441 # 1 # ID=1_699;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon:753860-757441|+   -           1194 27467                -            825   5.3e-05   18.8   0.0   3   5     0.082        31   -0.3  20.9   301   408   405   512   389   528 0.72 tig00000001_pilon_699 # 753860 # 757441 # 1 # ID=1_699;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon:753860-757441|+   -           1194 27467                -            825   5.3e-05   18.8   0.0   4   5       4.1   1.6e+03   -6.0  50.0   182   388   677   864   665   871 0.49 tig00000001_pilon_699 # 753860 # 757441 # 1 # ID=1_699;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon:753860-757441|+   -           1194 27467                -            825   5.3e-05   18.8   0.0   5   5         8   3.1e+03   -7.8  22.8   450   608   874  1034   864  1047 0.49 tig00000001_pilon_699 # 753860 # 757441 # 1 # ID=1_699;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon:1398077-1398712|- -            212 27467                -            825    0.0032   12.8   0.1   1   1   1.1e-05    0.0043   12.4   0.1   397   478    12    93     7   120 0.60 tig00000001_pilon_1311 # 1398077 # 1398712 # -1 # ID=1_1311;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.308
tig00000001_pilon:2612372-2613064|- -            231 27467                -            825     0.017   10.4  36.2   1   1   5.9e-05     0.023   10.1  36.2   496   682    38   219    24   229 0.83 tig00000001_pilon_2507 # 2612372 # 2613064 # -1 # ID=1_2507;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.342
tig00000001_pilon:481695-483173|-   -            493 27467                -            825     0.023   10.0  21.2   1   3   0.00028      0.11    7.8   0.0    28    48    36    56    28    72 0.86 tig00000001_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:481695-483173|-   -            493 27467                -            825     0.023   10.0  21.2   2   3      0.29   1.1e+02   -2.2  15.2   186   265   197   276   167   291 0.45 tig00000001_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:481695-483173|-   -            493 27467                -            825     0.023   10.0  21.2   3   3   0.00071      0.28    6.5   0.1    19    44   318   344   314   346 0.73 tig00000001_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:1661284-1661469|+ -             62 27467                -            825      0.03    9.6   2.2   1   1   8.8e-05     0.034    9.5   2.2   389   438    10    59     2    60 0.87 tig00000001_pilon_1581 # 1661284 # 1661469 # 1 # ID=1_1581;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.376
tig00000001_pilon:2713275-2715941|- -            889 27467                -            825     0.071    8.4   4.1   1   2   0.00028      0.11    7.8   2.1   339   438     4   108     1   125 0.74 tig00000001_pilon_2603 # 2713275 # 2715941 # -1 # ID=1_2603;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon:2713275-2715941|- -            889 27467                -            825     0.071    8.4   4.1   2   2     0.068        26   -0.1   0.0   697   715   584   602   576   609 0.88 tig00000001_pilon_2603 # 2713275 # 2715941 # -1 # ID=1_2603;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.408
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27467at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27467at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27467at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:57:51 2026
# [ok]
