#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:718069-719574|-    -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_2_length_840748_cov_42.698360_683 # 718069 # 719574 # -1 # ID=2_683;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 21416                -            488   3.2e-49  165.5  13.4   1   3   5.1e-08   1.4e-05   21.5   3.3   109   261   101   251     8   269 0.74 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 21416                -            488   3.2e-49  165.5  13.4   2   3      0.38   1.1e+02   -1.1   0.2    43   115   274   346   267   376 0.88 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 21416                -            488   3.2e-49  165.5  13.4   3   3   5.8e-47   1.6e-44  150.0   0.4   263   486   376   601   355   603 0.91 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:313594-314934|-    -            447 21416                -            488   1.7e-43  146.6   7.3   1   2   4.9e-05     0.014   11.7   0.8   131   216   123   214    73   218 0.74 NODE_2_length_840748_cov_42.698360_304 # 313594 # 314934 # -1 # ID=2_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_2_length_840748_cov_42.698360:313594-314934|-    -            447 21416                -            488   1.7e-43  146.6   7.3   2   2   1.6e-43   4.4e-41  138.7   1.1   265   487   220   442   215   443 0.92 NODE_2_length_840748_cov_42.698360_304 # 313594 # 314934 # -1 # ID=2_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 21416                -            488   5.4e-41  138.4   1.1   1   3       1.2   3.3e+02   -2.7   0.3   106   143    72   107    33   115 0.53 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 21416                -            488   5.4e-41  138.4   1.1   2   3     0.082        23    1.1   0.1   199   271   177   249   166   273 0.67 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 21416                -            488   5.4e-41  138.4   1.1   3   3   1.9e-43   5.4e-41  138.4   1.1   256   486   350   576   343   578 0.94 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:53250-54698|-     -            483 21416                -            488   1.2e-36  124.0   4.3   1   1   6.6e-39   1.8e-36  123.4   4.3   195   486   180   475   162   477 0.84 NODE_1_length_1652082_cov_46.167482_70 # 53250 # 54698 # -1 # ID=1_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_1_length_1652082_cov_46.167482:1038763-1039806|- -            348 21416                -            488   1.1e-33  114.2   3.4   1   1   5.4e-36   1.5e-33  113.8   3.4   189   483    53   342    40   346 0.92 NODE_1_length_1652082_cov_46.167482_1021 # 1038763 # 1039806 # -1 # ID=1_1021;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:1422009-1423217|- -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   9.6e-27   2.7e-24   83.3   1.3   260   487   158   385   135   386 0.85 NODE_1_length_1652082_cov_46.167482_1396 # 1422009 # 1423217 # -1 # ID=1_1396;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_7_length_35882_cov_232.232618:26591-27733|-      -            381 21416                -            488     3e-21   73.2   6.0   1   1   1.5e-23   4.3e-21   72.7   6.0   180   486    66   369    50   371 0.82 NODE_7_length_35882_cov_232.232618_34 # 26591 # 27733 # -1 # ID=7_34;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NODE_1_length_1652082_cov_46.167482:933249-934274|-   -            342 21416                -            488     3e-16   56.7   0.4   1   1   2.2e-18   6.2e-16   55.7   0.3   386   487   232   333    98   334 0.86 NODE_1_length_1652082_cov_46.167482_924 # 933249 # 934274 # -1 # ID=1_924;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
