#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_185063_cov_65.589034:79014-79721|+    -            236 17381                -            235    9e-136  448.3   1.0   1   1  4.2e-138    1e-135  448.2   1.0     1   235     1   235     1   235 1.00 NODE_5_length_185063_cov_65.589034_79 # 79014 # 79721 # 1 # ID=5_79;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NODE_3_length_223274_cov_181.317177:197959-198693|- -            245 17381                -            235   6.7e-36  121.4   0.3   1   1   3.3e-38   7.7e-36  121.2   0.3     5   231     8   235     4   239 0.94 NODE_3_length_223274_cov_181.317177_195 # 197959 # 198693 # -1 # ID=3_195;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_6_length_183174_cov_88.861183:7095-7814|+      -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.4e-33  113.9   0.0     5   223     1   223     1   230 0.92 NODE_6_length_183174_cov_88.861183_9 # 7095 # 7814 # 1 # ID=6_9;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_17_length_58686_cov_60.941844:50261-50962|+    -            234 17381                -            235   3.9e-26   89.5   0.8   1   1     2e-28   4.6e-26   89.2   0.8     2   226     2   222     1   230 0.88 NODE_17_length_58686_cov_60.941844_47 # 50261 # 50962 # 1 # ID=17_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_3_length_223274_cov_181.317177:73223-73957|+   -            245 17381                -            235   1.8e-24   84.1   0.6   1   1     1e-26   2.4e-24   83.6   0.6    13   220     8   215     5   223 0.93 NODE_3_length_223274_cov_181.317177_71 # 73223 # 73957 # 1 # ID=3_71;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NODE_11_length_113754_cov_100.754285:46839-47552|-  -            238 17381                -            235   4.3e-18   63.2   0.3   1   1   2.3e-20   5.6e-18   62.8   0.3    12   232     8   229     3   231 0.90 NODE_11_length_113754_cov_100.754285_46 # 46839 # 47552 # -1 # ID=11_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_7_length_162800_cov_68.413407:143196-144275|+  -            360 17381                -            235   1.9e-15   54.5   0.2   1   1   1.3e-17   3.2e-15   53.8   0.2     8    78     4    74     1    88 0.92 NODE_7_length_162800_cov_68.413407_164 # 143196 # 144275 # 1 # ID=7_164;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_3_length_223274_cov_181.317177:73941-74639|+   -            233 17381                -            235   1.6e-14   51.5   0.0   1   1   2.2e-16   5.2e-14   49.8   0.0    12    79    13    80     6   200 0.85 NODE_3_length_223274_cov_181.317177_72 # 73941 # 74639 # 1 # ID=3_72;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_304403_cov_65.784473:36684-38108|+    -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.8e-12   44.2   0.0     3    72     8    77     6    83 0.95 NODE_2_length_304403_cov_65.784473_34 # 36684 # 38108 # 1 # ID=2_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_4_length_193524_cov_77.069373:143285-143929|+  -            215 17381                -            235   5.6e-12   43.1   0.2   1   1   3.1e-14   7.4e-12   42.7   0.2     6    74    10    78     5   132 0.90 NODE_4_length_193524_cov_77.069373_123 # 143285 # 143929 # 1 # ID=4_123;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_4_length_193524_cov_77.069373:2190-3236|-      -            349 17381                -            235   2.5e-10   37.7   0.0   1   1   1.6e-12   3.9e-10   37.1   0.0     4    73     2    71     1    88 0.92 NODE_4_length_193524_cov_77.069373_2 # 2190 # 3236 # -1 # ID=4_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_5_length_185063_cov_65.589034:36177-37571|-    -            465 17381                -            235   8.8e-08   29.4   0.0   1   1   8.4e-10     2e-07   28.3   0.0     4    99    21   116    18   135 0.87 NODE_5_length_185063_cov_65.589034_32 # 36177 # 37571 # -1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
