#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1290823-1291251|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   8.5e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 contig_2_1236 # 1290823 # 1291251 # 1 # ID=5_1236;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_1:821403-821849|+   -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   4.9e-29   1.2e-26   90.8   1.4     2   139     3   140     2   141 0.90 contig_1_778 # 821403 # 821849 # 1 # ID=1_778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
contig_1:599017-599484|+   -            156 29046                -            140   1.8e-23   80.6   3.6   1   1   8.7e-26   2.2e-23   80.3   3.6     4   139     6   146     3   147 0.89 contig_1_560 # 599017 # 599484 # 1 # ID=1_560;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
contig_1:341245-342384|-   -            380 29046                -            140     0.047   11.2   7.0   1   2   8.7e-05     0.022   12.2   2.9     3    80    49   126    47   138 0.90 contig_1_297 # 341245 # 342384 # -1 # ID=1_297;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
contig_1:341245-342384|-   -            380 29046                -            140     0.047   11.2   7.0   2   2      0.59   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 contig_1_297 # 341245 # 342384 # -1 # ID=1_297;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
contig_11:45188-45868|-    -            227 29046                -            140     0.053   11.0   2.3   1   2    0.0015      0.37    8.3   0.2    36    68    24    57     4    92 0.86 contig_11_49 # 45188 # 45868 # -1 # ID=3_49;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_11:45188-45868|-    -            227 29046                -            140     0.053   11.0   2.3   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_11_49 # 45188 # 45868 # -1 # ID=3_49;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_10:12585-13265|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0018      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:12585-13265|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:17550-18230|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0018      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:17550-18230|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
