#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1625174-1626073|+ -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 NODE_1_length_1652082_cov_46.167482_1573 # 1625174 # 1626073 # 1 # ID=1_1573;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_2_length_840748_cov_42.698360:80462-83278|+      -            939 28021                -            290   0.00025   18.2   0.0   1   2     0.037         5    4.1   0.0   151   169    25    43    10    63 0.79 NODE_2_length_840748_cov_42.698360_78 # 80462 # 83278 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:80462-83278|+      -            939 28021                -            290   0.00025   18.2   0.0   2   2    0.0002     0.027   11.5   0.0   140   184   618   664   609   694 0.75 NODE_2_length_840748_cov_42.698360_78 # 80462 # 83278 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_1_length_1652082_cov_46.167482:1020903-1021604|- -            234 28021                -            290   0.00062   16.9   0.0   1   1     7e-06   0.00094   16.3   0.0   125   172     6    53     2    66 0.78 NODE_1_length_1652082_cov_46.167482_1003 # 1020903 # 1021604 # -1 # ID=1_1003;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:869105-869743|-   -            213 28021                -            290   0.00087   16.4   0.0   1   1   1.1e-05    0.0015   15.7   0.0   137   175    13    53     7    89 0.79 NODE_1_length_1652082_cov_46.167482_869 # 869105 # 869743 # -1 # ID=1_869;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 28021                -            290   0.00087   16.4   3.7   1   3   0.00017     0.023   11.7   0.1   148   172    25    49     4    64 0.74 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 28021                -            290   0.00087   16.4   3.7   2   3     0.028       3.7    4.5   0.3   150   176   277   303   194   315 0.69 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 28021                -            290   0.00087   16.4   3.7   3   3       2.1   2.8e+02   -1.7   0.0    75   119   420   463   412   471 0.76 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:1409884-1411281|+ -            466 28021                -            290   0.00094   16.3   0.6   1   3     0.019       2.5    5.1   0.0     8    82    27   103    20   180 0.84 NODE_1_length_1652082_cov_46.167482_1386 # 1409884 # 1411281 # 1 # ID=1_1386;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_1_length_1652082_cov_46.167482:1409884-1411281|+ -            466 28021                -            290   0.00094   16.3   0.6   2   3    0.0048      0.64    7.0   0.0   149   184   223   259   190   266 0.79 NODE_1_length_1652082_cov_46.167482_1386 # 1409884 # 1411281 # 1 # ID=1_1386;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_1_length_1652082_cov_46.167482:1409884-1411281|+ -            466 28021                -            290   0.00094   16.3   0.6   3   3      0.32        42    1.0   0.0   101   173   331   402   289   438 0.62 NODE_1_length_1652082_cov_46.167482_1386 # 1409884 # 1411281 # 1 # ID=1_1386;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 28021                -            290   0.00098   16.2   0.6   1   2   1.2e-05    0.0016   15.5   0.1   154   184    38    67    16    75 0.83 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 28021                -            290   0.00098   16.2   0.6   2   2       4.3   5.7e+02   -2.7   0.0    90   122   173   205   161   244 0.63 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 28021                -            290    0.0012   16.0   3.4   1   3   0.00014     0.018   12.1   0.1   149   190    30    68     4    87 0.80 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
