#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2185697-2187931|+ -            745 19000                -            742         0 1580.6  16.7   1   1         0         0 1580.4  16.7     1   740     1   738     1   740 0.99 NZ_CP014529.1_2122 # 2185697 # 2187931 # 1 # ID=1_2122;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
NZ_CP014529.1:2737722-2740214|- -            831 19000                -            742  6.3e-223  739.6  17.5   1   1  1.9e-225  8.5e-223  739.2  17.5    86   709   159   796   127   814 0.92 NZ_CP014529.1_2633 # 2737722 # 2740214 # -1 # ID=1_2633;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1596820-1599429|+ -            870 19000                -            742  7.6e-217  719.5  16.8   1   2  4.2e-105  1.9e-102  341.3   8.5    89   375   145   436   129   479 0.86 NZ_CP014529.1_1561 # 1596820 # 1599429 # 1 # ID=1_1561;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP014529.1:1596820-1599429|+ -            870 19000                -            742  7.6e-217  719.5  16.8   2   2  1.1e-117  4.7e-115  383.0   1.5   359   706   480   836   467   864 0.91 NZ_CP014529.1_1561 # 1596820 # 1599429 # 1 # ID=1_1561;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP014529.1:1993140-1994540|- -            467 19000                -            742   8.8e-09   31.6   4.5   1   3   8.1e-10   3.6e-07   26.3   0.1   434   494     9    74     2   115 0.83 NZ_CP014529.1_1947 # 1993140 # 1994540 # -1 # ID=1_1947;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:1993140-1994540|- -            467 19000                -            742   8.8e-09   31.6   4.5   2   3      0.26   1.2e+02   -1.9   0.1   210   252   268   305   261   327 0.58 NZ_CP014529.1_1947 # 1993140 # 1994540 # -1 # ID=1_1947;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:1993140-1994540|- -            467 19000                -            742   8.8e-09   31.6   4.5   3   3   0.00084      0.37    6.4   0.2   625   706   342   432   334   461 0.80 NZ_CP014529.1_1947 # 1993140 # 1994540 # -1 # ID=1_1947;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:2389563-2390849|+ -            429 19000                -            742   0.00045   16.0   0.2   1   2    0.0033       1.5    4.4   0.0   118   164    11    60     5    65 0.63 NZ_CP014529.1_2346 # 2389563 # 2390849 # 1 # ID=1_2346;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
NZ_CP014529.1:2389563-2390849|+ -            429 19000                -            742   0.00045   16.0   0.2   2   2   9.9e-05     0.044    9.5   0.1   202   282    79   148    73   169 0.81 NZ_CP014529.1_2346 # 2389563 # 2390849 # 1 # ID=1_2346;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
NZ_CP014529.1:1042328-1044106|+ -            593 19000                -            742   0.00058   15.7   0.9   1   1   2.5e-06    0.0011   14.7   0.9   361   397   201   237   187   247 0.80 NZ_CP014529.1_1019 # 1042328 # 1044106 # 1 # ID=1_1019;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014531.1:17412-17774|+     -            121 19000                -            742      0.01   11.5   0.1   1   1   2.4e-05     0.011   11.5   0.1    21    87    10    79     3   108 0.60 NZ_CP014531.1_24 # 17412 # 17774 # 1 # ID=3_24;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19000at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19000at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19000at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:17 2026
# [ok]
