#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1751168-1751875|+ -            236 17381                -            235    9e-136  448.3   1.0   1   1  4.2e-138    1e-135  448.2   1.0     1   235     1   235     1   235 1.00 tig00000001_pilon_1670 # 1751168 # 1751875 # 1 # ID=1_1670;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
tig00000002_pilon:96498-97232|-     -            245 17381                -            235   6.7e-36  121.4   0.3   1   1   3.3e-38   7.8e-36  121.2   0.3     5   231     8   235     4   239 0.94 tig00000002_pilon_98 # 96498 # 97232 # -1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001_pilon:2725101-2725820|+ -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.4e-33  113.9   0.0     5   223     1   223     1   230 0.92 tig00000001_pilon_2613 # 2725101 # 2725820 # 1 # ID=1_2613;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon:1202892-1203593|+ -            234 17381                -            235     4e-26   89.5   0.8   1   1     2e-28   4.6e-26   89.2   0.8     2   226     2   222     1   230 0.88 tig00000001_pilon_1120 # 1202892 # 1203593 # 1 # ID=1_1120;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000002_pilon:196565-197299|+   -            245 17381                -            235   1.8e-24   84.1   0.6   1   1     1e-26   2.4e-24   83.6   0.6    13   220     8   215     5   223 0.93 tig00000002_pilon_192 # 196565 # 197299 # 1 # ID=2_192;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
tig00000001_pilon:794896-795609|+   -            238 17381                -            235   4.3e-18   63.2   0.3   1   1   2.3e-20   5.6e-18   62.8   0.3    12   232     8   229     3   231 0.90 tig00000001_pilon_736 # 794896 # 795609 # 1 # ID=1_736;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001_pilon:1454532-1455611|+ -            360 17381                -            235   1.9e-15   54.5   0.2   1   1   1.3e-17   3.2e-15   53.8   0.2     8    78     4    74     1    88 0.92 tig00000001_pilon_1387 # 1454532 # 1455611 # 1 # ID=1_1387;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000002_pilon:197283-197981|+   -            233 17381                -            235   1.6e-14   51.5   0.0   1   1   2.2e-16   5.2e-14   49.8   0.0    12    79    13    80     6   200 0.85 tig00000002_pilon_193 # 197283 # 197981 # 1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:2557190-2558614|- -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.8e-12   44.2   0.0     3    72     8    77     6    83 0.95 tig00000001_pilon_2454 # 2557190 # 2558614 # -1 # ID=1_2454;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001_pilon:197776-198420|-   -            215 17381                -            235   5.7e-12   43.1   0.2   1   1   3.1e-14   7.5e-12   42.7   0.2     6    74    10    78     5   132 0.90 tig00000001_pilon_213 # 197776 # 198420 # -1 # ID=1_213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001_pilon:338468-339514|+   -            349 17381                -            235   2.5e-10   37.7   0.0   1   1   1.6e-12   3.9e-10   37.1   0.0     4    73     2    71     1    88 0.92 tig00000001_pilon_334 # 338468 # 339514 # 1 # ID=1_334;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
