#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:427957-428856|-   -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154    4e-152  503.3   0.0     2   289     5   294     4   295 0.98 tig00000001_400 # 427957 # 428856 # -1 # ID=1_400;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
tig00000001:565326-566291|-   -            322 28021                -            290   0.00015   18.9   1.9   1   2    0.0001     0.014   12.5   0.1   148   172    25    49     4    65 0.74 tig00000001_529 # 565326 # 566291 # -1 # ID=1_529;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.295
tig00000001:565326-566291|-   -            322 28021                -            290   0.00015   18.9   1.9   2   2     0.015       2.1    5.3   0.3   150   176   277   303   194   315 0.68 tig00000001_529 # 565326 # 566291 # -1 # ID=1_529;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.295
tig00000001:2140840-2143656|+ -            939 28021                -            290   0.00026   18.2   0.0   1   2     0.037       5.1    4.1   0.0   151   169    25    43    10    63 0.79 tig00000001_2075 # 2140840 # 2143656 # 1 # ID=1_2075;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2140840-2143656|+ -            939 28021                -            290   0.00026   18.2   0.0   2   2    0.0002     0.027   11.5   0.0   140   184   618   664   609   694 0.75 tig00000001_2075 # 2140840 # 2143656 # 1 # ID=1_2075;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:1033073-1033774|+ -            234 28021                -            290   0.00063   16.9   0.0   1   1     7e-06   0.00096   16.3   0.0   125   172     6    53     2    66 0.78 tig00000001_976 # 1033073 # 1033774 # 1 # ID=1_976;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:1184934-1185572|+ -            213 28021                -            290   0.00088   16.4   0.0   1   1   1.1e-05    0.0015   15.7   0.0   137   175    13    53     7    89 0.79 tig00000001_1111 # 1184934 # 1185572 # 1 # ID=1_1111;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
tig00000001:643408-644805|-   -            466 28021                -            290   0.00095   16.3   0.6   1   3     0.019       2.5    5.1   0.0     8    82    27   103    20   180 0.84 tig00000001_588 # 643408 # 644805 # -1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:643408-644805|-   -            466 28021                -            290   0.00095   16.3   0.6   2   3    0.0048      0.66    7.0   0.0   149   184   223   259   190   266 0.79 tig00000001_588 # 643408 # 644805 # -1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:643408-644805|-   -            466 28021                -            290   0.00095   16.3   0.6   3   3      0.32        43    1.0   0.0   101   173   331   402   289   438 0.62 tig00000001_588 # 643408 # 644805 # -1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:2407557-2408327|- -            257 28021                -            290     0.001   16.2   0.6   1   2   1.2e-05    0.0016   15.5   0.1   154   184    38    67    16    75 0.83 tig00000001_2336 # 2407557 # 2408327 # -1 # ID=1_2336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:2407557-2408327|- -            257 28021                -            290     0.001   16.2   0.6   2   2       4.3   5.8e+02   -2.7   0.0    90   122   173   205   161   244 0.63 tig00000001_2336 # 2407557 # 2408327 # -1 # ID=1_2336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:696060-697622|+   -            521 28021                -            290    0.0012   16.0   3.4   1   3   0.00014     0.018   12.1   0.1   149   190    30    68     4    87 0.80 tig00000001_637 # 696060 # 697622 # 1 # ID=1_637;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:696060-697622|+   -            521 28021                -            290    0.0012   16.0   3.4   2   3     0.029       3.9    4.4   0.1   119   228   149   256   134   270 0.80 tig00000001_637 # 696060 # 697622 # 1 # ID=1_637;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:696060-697622|+   -            521 28021                -            290    0.0012   16.0   3.4   3   3       6.1   8.3e+02   -3.2   0.1   153   183   287   317   273   327 0.77 tig00000001_637 # 696060 # 697622 # 1 # ID=1_637;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:764287-765042|+   -            252 28021                -            290    0.0014   15.7   0.3   1   2   3.5e-05    0.0048   14.0   0.0   151   183    26    58     8    67 0.80 tig00000001_712 # 764287 # 765042 # 1 # ID=1_712;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001:764287-765042|+   -            252 28021                -            290    0.0014   15.7   0.3   2   2       1.3   1.8e+02   -1.1   0.1   112   153   165   205   142   228 0.73 tig00000001_712 # 764287 # 765042 # 1 # ID=1_712;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001:2658589-2660475|- -            629 28021                -            290    0.0033   14.5   0.1   1   2      0.51        70    0.3   0.0   156   172    34    50    12    57 0.79 tig00000001_2580 # 2658589 # 2660475 # -1 # ID=1_2580;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:2658589-2660475|- -            629 28021                -            290    0.0033   14.5   0.1   2   2   0.00025     0.035   11.2   0.0   156   184   352   380   313   398 0.81 tig00000001_2580 # 2658589 # 2660475 # -1 # ID=1_2580;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:603282-604088|+   -            269 28021                -            290    0.0034   14.5   0.1   1   1   4.6e-05    0.0063   13.6   0.1   153   192    36    72     6    86 0.80 tig00000001_561 # 603282 # 604088 # 1 # ID=1_561;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000010:6381-7001|-       -            207 28021                -            290    0.0035   14.4   0.0   1   1   3.7e-05    0.0051   13.9   0.0   151   176    27    52     8    97 0.83 tig00000010_10 # 6381 # 7001 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.246
tig00000001:571651-572391|-   -            247 28021                -            290    0.0047   14.0   0.1   1   2   0.00097      0.13    9.3   0.0   150   173    25    48     7    72 0.78 tig00000001_538 # 571651 # 572391 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001:571651-572391|-   -            247 28021                -            290    0.0047   14.0   0.1   2   2     0.096        13    2.7   0.0   113   154   164   204   136   213 0.83 tig00000001_538 # 571651 # 572391 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001:1021935-1022687|+ -            251 28021                -            290    0.0051   13.9   0.0   1   1   5.5e-05    0.0075   13.3   0.0   151   174    34    57     3    73 0.80 tig00000001_967 # 1021935 # 1022687 # 1 # ID=1_967;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:208640-210172|+   -            511 28021                -            290    0.0078   13.3   0.0   1   2    0.0047      0.64    7.0   0.0   157   175    34    52    15    82 0.86 tig00000001_226 # 208640 # 210172 # 1 # ID=1_226;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:208640-210172|+   -            511 28021                -            290    0.0078   13.3   0.0   2   2     0.048       6.5    3.7   0.0   152   177   347   371   329   377 0.80 tig00000001_226 # 208640 # 210172 # 1 # ID=1_226;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:1638283-1640217|- -            645 28021                -            290    0.0098   13.0   0.0   1   2     0.017       2.3    5.2   0.0   155   173    32    50     8    64 0.80 tig00000001_1566 # 1638283 # 1640217 # -1 # ID=1_1566;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:1638283-1640217|- -            645 28021                -            290    0.0098   13.0   0.0   2   2     0.019       2.6    5.0   0.0   132   175   336   377   326   386 0.72 tig00000001_1566 # 1638283 # 1640217 # -1 # ID=1_1566;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:1814927-1815826|+ -            300 28021                -            290     0.012   12.6   0.0   1   1   0.00021     0.028   11.5   0.0   154   213     8    64     3    70 0.84 tig00000001_1741 # 1814927 # 1815826 # 1 # ID=1_1741;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:196387-197580|-   -            398 28021                -            290     0.014   12.5   0.0   1   1   0.00023     0.031   11.3   0.0   151   173    52    74     2    89 0.82 tig00000001_215 # 196387 # 197580 # -1 # ID=1_215;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001:1326504-1327271|+ -            256 28021                -            290     0.014   12.4   0.0   1   1   0.00016     0.022   11.8   0.0   151   175    33    57     3   109 0.80 tig00000001_1247 # 1326504 # 1327271 # 1 # ID=1_1247;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:1540006-1541769|- -            588 28021                -            290     0.015   12.3   0.0   1   1   0.00019     0.026   11.6   0.0   149   183   371   405   351   437 0.81 tig00000001_1479 # 1540006 # 1541769 # -1 # ID=1_1479;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001:276350-277933|+   -            528 28021                -            290     0.017   12.1   0.1   1   2     0.052       7.1    3.6   0.0   155   188    31    64    11   125 0.81 tig00000001_290 # 276350 # 277933 # 1 # ID=1_290;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001:276350-277933|+   -            528 28021                -            290     0.017   12.1   0.1   2   2    0.0094       1.3    6.0   0.0   151   174   352   375   323   387 0.74 tig00000001_290 # 276350 # 277933 # 1 # ID=1_290;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001:1766533-1767339|+ -            269 28021                -            290     0.017   12.1   0.0   1   1   0.00019     0.026   11.6   0.0   149   174    44    69    20   102 0.80 tig00000001_1699 # 1766533 # 1767339 # 1 # ID=1_1699;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:725503-726372|+   -            290 28021                -            290     0.025   11.6   0.0   1   1   0.00029      0.04   11.0   0.0   151   175    32    56    10    68 0.77 tig00000001_680 # 725503 # 726372 # 1 # ID=1_680;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/28021at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:14:41 2026
# [ok]
