#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1234561-1235268|+ -            236 17381                -            234  8.9e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 contig_2_1187 # 1234561 # 1235268 # 1 # ID=5_1187;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
contig_11:140270-141004|+  -            245 17381                -            234   7.7e-32  108.3   0.1   1   1   3.5e-34   8.9e-32  108.1   0.1     6   230     9   235     4   239 0.92 contig_11_137 # 140270 # 141004 # 1 # ID=3_137;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1:559977-560696|-   -            240 17381                -            234   6.2e-29   98.8   0.0   1   1     3e-31   7.6e-29   98.5   0.0     5   221     1   222     1   230 0.91 contig_1_529 # 559977 # 560696 # -1 # ID=1_529;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
contig_2:686286-686987|+   -            234 17381                -            234   3.8e-26   89.7   0.7   1   1   1.9e-28   4.8e-26   89.4   0.7     6   225     6   222     1   230 0.89 contig_2_638 # 686286 # 686987 # 1 # ID=5_638;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_11:40202-40936|-    -            245 17381                -            234     1e-21   75.2   0.3   1   1     5e-24   1.3e-21   74.9   0.3    13   219     8   215     4   227 0.92 contig_11_43 # 40202 # 40936 # -1 # ID=3_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
contig_2:278292-279005|+   -            238 17381                -            234   4.1e-15   53.6   0.2   1   1   2.1e-17   5.3e-15   53.2   0.2    13   230     9   228     3   231 0.88 contig_2_255 # 278292 # 279005 # 1 # ID=5_255;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_2:937926-939005|+   -            360 17381                -            234   5.6e-14   49.9   0.2   1   1   3.9e-16   9.8e-14   49.1   0.2     8    78     4    74     1    89 0.92 contig_2_903 # 937926 # 939005 # 1 # ID=5_903;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
contig_11:39520-40218|-    -            233 17381                -            234     1e-12   45.8   0.0   1   1   6.8e-15   1.7e-12   45.0   0.0    11    92    12    94     6   200 0.83 contig_11_42 # 39520 # 40218 # -1 # ID=3_42;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
contig_1:727182-728606|+   -            475 17381                -            234   1.1e-11   42.4   0.0   1   1   7.9e-14     2e-11   41.5   0.0     4    72     9    77     6    84 0.95 contig_1_688 # 727182 # 728606 # 1 # ID=1_688;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
contig_1:322362-323006|+   -            215 17381                -            234   1.2e-11   42.2   0.1   1   1   8.9e-14   2.2e-11   41.4   0.1     6    74    10    78     6   110 0.87 contig_1_277 # 322362 # 323006 # 1 # ID=1_277;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
contig_1:181268-182314|-   -            349 17381                -            234     8e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 contig_1_156 # 181268 # 182314 # -1 # ID=1_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
contig_2:1191724-1193118|- -            465 17381                -            234   5.3e-07   27.1   0.0   1   1   4.9e-09   1.3e-06   25.8   0.0     6    98    23   115    19   136 0.82 contig_2_1140 # 1191724 # 1193118 # -1 # ID=5_1140;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/17381at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:55 2026
# [ok]
