#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1317748-1318392|+ -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.2e-116  382.7   0.1     1   212     1   212     1   213 0.99 tig00000001_pilon_1229 # 1317748 # 1318392 # 1 # ID=1_1229;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
tig00000001_pilon:1045242-1045949|+ -            236 28730                -            213    0.0007   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 tig00000001_pilon_978 # 1045242 # 1045949 # 1 # ID=1_978;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon:1045242-1045949|+ -            236 28730                -            213    0.0007   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 tig00000001_pilon_978 # 1045242 # 1045949 # 1 # ID=1_978;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon:878228-878881|+   -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 tig00000001_pilon_816 # 878228 # 878881 # 1 # ID=1_816;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
tig00000001_pilon:878228-878881|+   -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.027   11.6   0.2   123   189   116   184   105   212 0.75 tig00000001_pilon_816 # 878228 # 878881 # 1 # ID=1_816;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
tig00000001_pilon:1472393-1474030|+ -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.8e+02   -3.2   0.0    58    87   184   214   175   218 0.67 tig00000001_pilon_1404 # 1472393 # 1474030 # 1 # ID=1_1404;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
tig00000001_pilon:1472393-1474030|+ -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 tig00000001_pilon_1404 # 1472393 # 1474030 # 1 # ID=1_1404;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
tig00000001_pilon:1472393-1474030|+ -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.5    3.8   0.0    53    76   461   484   427   499 0.89 tig00000001_pilon_1404 # 1472393 # 1474030 # 1 # ID=1_1404;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
tig00000001_pilon:370992-372776|+   -            595 28730                -            213    0.0035   14.5   0.2   1   2    0.0031      0.97    6.5   0.0     6    25   384   403   381   413 0.83 tig00000001_pilon_358 # 370992 # 372776 # 1 # ID=1_358;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon:370992-372776|+   -            595 28730                -            213    0.0035   14.5   0.2   2   2    0.0077       2.4    5.2   0.0    53    73   513   533   503   561 0.88 tig00000001_pilon_358 # 370992 # 372776 # 1 # ID=1_358;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon:1206110-1206811|+ -            234 28730                -            213    0.0038   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 tig00000001_pilon_1125 # 1206110 # 1206811 # 1 # ID=1_1125;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon:1206110-1206811|+ -            234 28730                -            213    0.0038   14.4   0.3   2   2   0.00028     0.088    9.9   0.1   127   163   122   157   105   210 0.82 tig00000001_pilon_1125 # 1206110 # 1206811 # 1 # ID=1_1125;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon:1326545-1327312|+ -            256 28730                -            213    0.0044   14.1   0.1   1   2   4.1e-05     0.013   12.7   0.1     2    24    33    55    32    78 0.85 tig00000001_pilon_1238 # 1326545 # 1327312 # 1 # ID=1_1238;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:1326545-1327312|+ -            256 28730                -            213    0.0044   14.1   0.1   2   2       2.4   7.5e+02   -3.0   0.0    17    40   181   204   161   215 0.51 tig00000001_pilon_1238 # 1326545 # 1327312 # 1 # ID=1_1238;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:2407644-2408414|- -            257 28730                -            213     0.009   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 tig00000001_pilon_2310 # 2407644 # 2408414 # -1 # ID=1_2310;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001_pilon:603306-604112|+   -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 tig00000001_pilon_556 # 603306 # 604112 # 1 # ID=1_556;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000001_pilon:1619288-1621048|+ -            587 28730                -            213     0.014   12.5   0.4   1   2    0.0011      0.35    7.9   0.1     3    25   371   393   369   409 0.85 tig00000001_pilon_1536 # 1619288 # 1621048 # 1 # ID=1_1536;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001_pilon:1619288-1621048|+ -            587 28730                -            213     0.014   12.5   0.4   2   2      0.06        18    2.3   0.0    52    76   502   526   492   539 0.88 tig00000001_pilon_1536 # 1619288 # 1621048 # 1 # ID=1_1536;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
