#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:460292-461176|-   -            295 23850                -            279     5e-99  328.5   1.1   1   1  1.3e-101   5.7e-99  328.3   1.1     2   278     4   292     3   293 0.89 tig00000001_pilon_pilon_423 # 460292 # 461176 # -1 # ID=1_423;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.425
tig00000001_pilon_pilon:1272347-1272889|+ -            181 23850                -            279   2.3e-05   21.2   1.1   1   1   1.1e-07   4.7e-05   20.2   1.1     3    39     2    38     1    39 0.96 tig00000001_pilon_pilon_1188 # 1272347 # 1272889 # 1 # ID=1_1188;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366
tig00000001_pilon_pilon:1081182-1082078|+ -            299 23850                -            279   0.00014   18.6  17.8   1   3   2.4e-06    0.0011   15.8   4.0    86   170    10    92     3   115 0.70 tig00000001_pilon_pilon_1010 # 1081182 # 1082078 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001_pilon_pilon:1081182-1082078|+ -            299 23850                -            279   0.00014   18.6  17.8   2   3      0.24   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 tig00000001_pilon_pilon_1010 # 1081182 # 1082078 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001_pilon_pilon:1081182-1082078|+ -            299 23850                -            279   0.00014   18.6  17.8   3   3   0.00051      0.22    8.2   5.4   133   228   200   294   185   298 0.63 tig00000001_pilon_pilon_1010 # 1081182 # 1082078 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001_pilon_pilon:2126939-2127652|- -            238 23850                -            279   0.00042   17.1   1.7   1   2   9.5e-07   0.00042   17.1   1.7   119   192    13    87     3   141 0.67 tig00000001_pilon_pilon_2046 # 2126939 # 2127652 # -1 # ID=1_2046;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
tig00000001_pilon_pilon:2126939-2127652|- -            238 23850                -            279   0.00042   17.1   1.7   2   2       1.1   4.9e+02   -2.8   0.1   211   225   158   172   157   182 0.79 tig00000001_pilon_pilon_2046 # 2126939 # 2127652 # -1 # ID=1_2046;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
tig00000001_pilon_pilon:2674035-2674670|- -            212 23850                -            279   0.00079   16.2   5.1   1   2   1.8e-06   0.00079   16.2   5.1    89   182    31   126    11   146 0.49 tig00000001_pilon_pilon_2570 # 2674035 # 2674670 # -1 # ID=1_2570;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon_pilon:2674035-2674670|- -            212 23850                -            279   0.00079   16.2   5.1   2   2      0.26   1.1e+02   -0.7   3.5   142   181   117   156   108   183 0.38 tig00000001_pilon_pilon_2570 # 2674035 # 2674670 # -1 # ID=1_2570;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon_pilon:2592744-2593568|- -            275 23850                -            279     0.001   15.8   0.2   1   2   2.4e-06     0.001   15.8   0.2   115   173    10    67     4    90 0.62 tig00000001_pilon_pilon_2487 # 2592744 # 2593568 # -1 # ID=1_2487;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.406
tig00000001_pilon_pilon:2592744-2593568|- -            275 23850                -            279     0.001   15.8   0.2   2   2      0.24   1.1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 tig00000001_pilon_pilon_2487 # 2592744 # 2593568 # -1 # ID=1_2487;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.406
tig00000001_pilon_pilon:2343096-2343743|+ -            216 23850                -            279       3.1    4.4  14.0   1   2    0.0047       2.1    5.0  11.4   114   181     6    73     4   137 0.73 tig00000001_pilon_pilon_2253 # 2343096 # 2343743 # 1 # ID=1_2253;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon_pilon:2343096-2343743|+ -            216 23850                -            279       3.1    4.4  14.0   2   2      0.22        95   -0.5   0.6   143   174   118   149   104   173 0.52 tig00000001_pilon_pilon_2253 # 2343096 # 2343743 # 1 # ID=1_2253;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
