#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 18543                -            520         0 1065.2  18.8   1   1         0         0 1065.1  18.8     1   518     1   518     1   520 0.99 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_304474_cov_63.252055:32453-33979|+   -            509 18543                -            520  4.8e-106  352.8   8.5   1   1  1.4e-107  5.6e-106  352.6   8.5     6   501     4   503     1   507 0.95 NODE_1_length_304474_cov_63.252055_31 # 32453 # 33979 # 1 # ID=1_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_1_length_304474_cov_63.252055:100187-100924|+ -            246 18543                -            520   6.9e-39  131.2   0.9   1   1     2e-40   8.1e-39  131.0   0.9     7   229     3   225     1   234 0.92 NODE_1_length_304474_cov_63.252055_93 # 100187 # 100924 # 1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_2_length_252901_cov_71.242866:98700-99437|-   -            246 18543                -            520     9e-39  130.8   1.1   1   1   2.6e-40   1.1e-38  130.6   1.1     9   222     6   218     1   226 0.92 NODE_2_length_252901_cov_71.242866_102 # 98700 # 99437 # -1 # ID=2_102;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_19_length_58687_cov_59.880605:4557-5600|+     -            348 18543                -            520   1.4e-37  126.9   1.2   1   1   5.2e-39   2.1e-37  126.3   1.2     7   233     6   236     2   253 0.89 NODE_19_length_58687_cov_59.880605_6 # 4557 # 5600 # 1 # ID=19_6;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
NODE_10_length_113754_cov_99.095655:36744-37484|+  -            247 18543                -            520   6.5e-36  121.4   1.2   1   1   1.9e-37   7.6e-36  121.2   1.2     5   219     3   216     1   227 0.90 NODE_10_length_113754_cov_99.095655_35 # 36744 # 37484 # 1 # ID=10_35;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_38_length_14421_cov_57.112802:8652-9725|+     -            358 18543                -            520   6.9e-34  114.7   1.4   1   1   2.2e-35   8.8e-34  114.3   1.4     8   223     2   221     1   236 0.89 NODE_38_length_14421_cov_57.112802_7 # 8652 # 9725 # 1 # ID=38_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_9_length_122393_cov_61.758630:23747-24439|-   -            231 18543                -            520   8.4e-32  107.8   0.1   1   1   2.4e-33   9.8e-32  107.6   0.1     7   226     4   222     1   229 0.90 NODE_9_length_122393_cov_61.758630_28 # 23747 # 24439 # -1 # ID=9_28;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_3_length_193524_cov_75.578528:48216-49409|-   -            398 18543                -            520   1.7e-30  103.5   0.7   1   2   6.5e-32   2.6e-30  102.9   0.1    12   223    32   244    23   260 0.85 NODE_3_length_193524_cov_75.578528_76 # 48216 # 49409 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_3_length_193524_cov_75.578528:48216-49409|-   -            398 18543                -            520   1.7e-30  103.5   0.7   2   2       4.6   1.9e+02   -2.2   0.0   447   486   335   378   247   383 0.55 NODE_3_length_193524_cov_75.578528_76 # 48216 # 49409 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_22_length_43876_cov_92.621673:35741-36916|+   -            392 18543                -            520   1.9e-30  103.4   3.1   1   2   4.6e-32   1.9e-30  103.4   3.1     8   264     2   260     1   285 0.84 NODE_22_length_43876_cov_92.621673_35 # 35741 # 36916 # 1 # ID=22_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_22_length_43876_cov_92.621673:35741-36916|+   -            392 18543                -            520   1.9e-30  103.4   3.1   2   2       2.4        98   -1.3   0.1    93   144   279   331   248   338 0.71 NODE_22_length_43876_cov_92.621673_35 # 35741 # 36916 # 1 # ID=22_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_20_length_58283_cov_65.610712:20636-21379|-   -            248 18543                -            520   3.4e-30  102.5   0.0   1   1   1.1e-31   4.4e-30  102.1   0.0     8   227     2   216     1   225 0.89 NODE_20_length_58283_cov_65.610712_28 # 20636 # 21379 # -1 # ID=20_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_3_length_193524_cov_75.578528:78348-79280|-   -            311 18543                -            520     1e-28   97.6   0.5   1   1   3.3e-30   1.3e-28   97.2   0.5     7   224     2   214     1   236 0.94 NODE_3_length_193524_cov_75.578528_107 # 78348 # 79280 # -1 # ID=3_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_12_length_79680_cov_63.087599:40582-41517|-   -            312 18543                -            520   1.3e-28   97.2   0.1   1   1   4.2e-30   1.7e-28   96.9   0.1     7   233     4   226     1   235 0.91 NODE_12_length_79680_cov_63.087599_46 # 40582 # 41517 # -1 # ID=12_46;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NODE_14_length_67873_cov_82.007916:48684-49436|-   -            251 18543                -            520   4.2e-28   95.6   0.2   1   1   1.2e-29   4.8e-28   95.4   0.2     5   202     2   205     1   231 0.87 NODE_14_length_67873_cov_82.007916_39 # 48684 # 49436 # -1 # ID=14_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_11_length_94214_cov_54.858857:15208-15975|+   -            256 18543                -            520   6.3e-28   95.0   0.2   1   1   1.8e-29   7.4e-28   94.8   0.2     6   219     3   220     1   236 0.85 NODE_11_length_94214_cov_54.858857_16 # 15208 # 15975 # 1 # ID=11_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_12_length_79680_cov_63.087599:46300-47217|-   -            306 18543                -            520   1.3e-27   93.9   1.3   1   1   1.2e-28   4.7e-27   92.1   1.2     5   229     6   219     3   231 0.91 NODE_12_length_79680_cov_63.087599_52 # 46300 # 47217 # -1 # ID=12_52;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18543                -            520   8.2e-27   91.4   4.7   1   2   9.2e-15   3.7e-13   46.3   0.2    22   226    18   223     1   236 0.79 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18543                -            520   8.2e-27   91.4   4.7   2   2   9.8e-15     4e-13   46.2   0.9    24   220   270   447   259   464 0.84 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_304474_cov_63.252055:217244-217930|- -            229 18543                -            520   2.5e-26   89.8   0.1   1   1   7.2e-28   2.9e-26   89.5   0.1     6   207     3   207     1   220 0.87 NODE_1_length_304474_cov_63.252055_203 # 217244 # 217930 # -1 # ID=1_203;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_14_length_67873_cov_82.007916:37597-38298|-   -            234 18543                -            520   4.7e-26   88.8   0.1   1   1   2.1e-27   8.5e-26   88.0   0.1    18   229    18   223     2   229 0.84 NODE_14_length_67873_cov_82.007916_30 # 37597 # 38298 # -1 # ID=14_30;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_6_length_133129_cov_71.626923:96818-97453|-   -            212 18543                -            520     5e-26   88.8   0.1   1   1   1.4e-27   5.8e-26   88.6   0.1     8   212     2   203     1   208 0.91 NODE_6_length_133129_cov_71.626923_85 # 96818 # 97453 # -1 # ID=6_85;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            520   9.4e-26   87.9   3.7   1   4   2.1e-11   8.3e-10   35.2   0.2     7    67     3    63     1    68 0.93 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            520   9.4e-26   87.9   3.7   2   4   1.4e-07   5.7e-06   22.6   0.0   403   483   158   235   131   251 0.78 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            520   9.4e-26   87.9   3.7   3   4   1.1e-06   4.6e-05   19.6   0.0    26    66   339   379   336   391 0.90 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            520   9.4e-26   87.9   3.7   4   4    0.0024     0.099    8.6   0.0   400   443   433   476   403   507 0.78 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_304474_cov_63.252055:186884-187654|+ -            257 18543                -            520   3.5e-25   86.0   0.2   1   1   1.1e-26   4.4e-25   85.6   0.2    24   234    26   243    14   250 0.87 NODE_1_length_304474_cov_63.252055_177 # 186884 # 187654 # 1 # ID=1_177;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_5_length_181677_cov_163.395180:78902-79933|+  -            344 18543                -            520   1.1e-24   84.3   0.1   1   1     4e-26   1.6e-24   83.8   0.1    27   226    22   216     3   234 0.88 NODE_5_length_181677_cov_163.395180_84 # 78902 # 79933 # 1 # ID=5_84;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 18543                -            520   1.8e-24   83.6   3.0   1   3   1.4e-14   5.6e-13   45.7   0.8   264   472     5   223     1   238 0.74 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 18543                -            520   1.8e-24   83.6   3.0   2   3   1.1e-06   4.6e-05   19.6   0.0     7    66   327   386   322   396 0.86 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 18543                -            520   1.8e-24   83.6   3.0   3   3   1.2e-05   0.00047   16.3   0.0   132   184   431   486   415   498 0.79 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:141192-141929|- -            246 18543                -            520   3.1e-24   82.8   0.1   1   1   9.3e-26   3.7e-24   82.6   0.1    10   220     5   210     1   220 0.93 NODE_3_length_193524_cov_75.578528_164 # 141192 # 141929 # -1 # ID=3_164;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_14_length_67873_cov_82.007916:57313-59649|+   -            779 18543                -            520   4.6e-24   82.3   0.2   1   2   9.3e-25   3.8e-23   79.3   0.3    18   220    16   217     1   223 0.82 NODE_14_length_67873_cov_82.007916_50 # 57313 # 59649 # 1 # ID=14_50;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_14_length_67873_cov_82.007916:57313-59649|+   -            779 18543                -            520   4.6e-24   82.3   0.2   2   2      0.73        30    0.4   0.0   254   312   442   496   432   527 0.76 NODE_14_length_67873_cov_82.007916_50 # 57313 # 59649 # 1 # ID=14_50;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_4_length_185058_cov_63.073482:163667-164566|- -            300 18543                -            520     6e-24   81.9   0.4   1   1   3.1e-25   1.3e-23   80.8   0.4     8   231     2   217     1   256 0.91 NODE_4_length_185058_cov_63.073482_157 # 163667 # 164566 # -1 # ID=4_157;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_4_length_185058_cov_63.073482:173877-174545|- -            223 18543                -            520   1.1e-23   81.1   0.3   1   1   3.1e-25   1.3e-23   80.8   0.3     7   208     3   206     1   217 0.87 NODE_4_length_185058_cov_63.073482_166 # 173877 # 174545 # -1 # ID=4_166;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_5_length_181677_cov_163.395180:64035-64691|+  -            219 18543                -            520   1.3e-23   80.8   2.7   1   1   3.1e-24   1.3e-22   77.5   2.7     7   226     3   211     1   217 0.85 NODE_5_length_181677_cov_163.395180_68 # 64035 # 64691 # 1 # ID=5_68;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_17_length_62801_cov_60.881707:1133-2755|-     -            541 18543                -            520   1.4e-23   80.7   0.2   1   4   3.4e-12   1.4e-10   37.8   0.0     8    67     2    61     1   114 0.91 NODE_17_length_62801_cov_60.881707_2 # 1133 # 2755 # -1 # ID=17_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
