#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:642851-644251|+   -            467 27654                -            464  3.8e-270  893.9  19.6   1   1  4.2e-273  4.3e-270  893.7  19.6     1   464     1   466     1   466 0.98 contig_1_pilon_607 # 642851 # 644251 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1_pilon:1113422-1114672|- -            417 27654                -            464   6.6e-58  194.2   7.6   1   3   2.9e-29     3e-26   89.8   0.0     7   109    63   168    57   174 0.87 contig_1_pilon_1061 # 1113422 # 1114672 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_1_pilon:1113422-1114672|- -            417 27654                -            464   6.6e-58  194.2   7.6   2   3   4.5e-13   4.5e-10   36.5   0.4   266   332   172   251   163   255 0.74 contig_1_pilon_1061 # 1113422 # 1114672 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_1_pilon:1113422-1114672|- -            417 27654                -            464   6.6e-58  194.2   7.6   3   3   1.2e-23   1.2e-20   71.3   0.9   339   443   295   395   286   403 0.90 contig_1_pilon_1061 # 1113422 # 1114672 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_1_pilon:449460-451556|-   -            699 27654                -            464   3.6e-07   26.9   0.0   1   5    0.0072       7.3    2.8   0.1    51    76    94   119    83   139 0.86 contig_1_pilon_432 # 449460 # 451556 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:449460-451556|-   -            699 27654                -            464   3.6e-07   26.9   0.0   2   5      0.15   1.5e+02   -1.5   0.0   265   286   161   181   154   222 0.72 contig_1_pilon_432 # 449460 # 451556 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:449460-451556|-   -            699 27654                -            464   3.6e-07   26.9   0.0   3   5       2.3   2.3e+03   -5.5   2.8   142   185   324   367   295   371 0.55 contig_1_pilon_432 # 449460 # 451556 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:449460-451556|-   -            699 27654                -            464   3.6e-07   26.9   0.0   4   5   3.6e-10   3.6e-07   26.9   0.0     5    74   382   446   377   468 0.84 contig_1_pilon_432 # 449460 # 451556 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:449460-451556|-   -            699 27654                -            464   3.6e-07   26.9   0.0   5   5      0.18   1.9e+02   -1.8   0.0   340   394   577   627   574   658 0.62 contig_1_pilon_432 # 449460 # 451556 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.401
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27654at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27654at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27654at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:45 2026
# [ok]
