#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:894935-895783|- -            283 7807                 -            280  9.7e-135  445.3   3.4   1   1  1.8e-137  1.1e-134  445.1   3.4     3   280     3   278     1   278 0.95 NODE_1_length_1652082_cov_46.167482_890 # 894935 # 895783 # -1 # ID=1_890;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_1_length_1652082_cov_46.167482:831757-832596|- -            280 7807                 -            280   1.4e-68  228.2   6.4   1   1   2.5e-71   1.6e-68  228.1   6.4     8   278     5   271     1   273 0.92 NODE_1_length_1652082_cov_46.167482_832 # 831757 # 832596 # -1 # ID=1_832;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.371
NODE_4_length_212759_cov_102.864112:110677-112149|+ -            491 7807                 -            280    0.0013   15.1   0.0   1   1   3.2e-06     0.002   14.5   0.0     1    71     1    74     1   111 0.83 NODE_4_length_212759_cov_102.864112_113 # 110677 # 112149 # 1 # ID=4_113;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_1_length_1652082_cov_46.167482:968437-969387|- -            317 7807                 -            280    0.0019   14.5   2.5   1   3     3e-05     0.019   11.3   0.1     5    51     3    47     1    59 0.77 NODE_1_length_1652082_cov_46.167482_958 # 968437 # 969387 # -1 # ID=1_958;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:968437-969387|- -            317 7807                 -            280    0.0019   14.5   2.5   2   3      0.28   1.7e+02   -1.7   0.0   225   249    92   116    83   132 0.68 NODE_1_length_1652082_cov_46.167482_958 # 968437 # 969387 # -1 # ID=1_958;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:968437-969387|- -            317 7807                 -            280    0.0019   14.5   2.5   3   3     0.015       9.3    2.4   0.1   135   212   155   230   146   241 0.75 NODE_1_length_1652082_cov_46.167482_958 # 968437 # 969387 # -1 # ID=1_958;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
NODE_2_length_840748_cov_42.698360:276721-277980|+  -            420 7807                 -            280     0.011   12.1   0.0   1   3   1.7e-05     0.011   12.1   0.0     2    64     3    64     1    78 0.73 NODE_2_length_840748_cov_42.698360_269 # 276721 # 277980 # 1 # ID=2_269;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_2_length_840748_cov_42.698360:276721-277980|+  -            420 7807                 -            280     0.011   12.1   0.0   2   3       1.3   8.3e+02   -4.0   0.0   166   190   154   178   151   183 0.74 NODE_2_length_840748_cov_42.698360_269 # 276721 # 277980 # 1 # ID=2_269;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_2_length_840748_cov_42.698360:276721-277980|+  -            420 7807                 -            280     0.011   12.1   0.0   3   3      0.25   1.6e+02   -1.6   0.3   211   243   309   342   305   369 0.65 NODE_2_length_840748_cov_42.698360_269 # 276721 # 277980 # 1 # ID=2_269;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/7807at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/7807at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/7807at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:54 2026
# [ok]
