gene_id	gene	Preferred_name	product	Description	direction	baseMean	log2FoldChange	lfcSE	pvalue	padj	log2FoldChange_raw	stat_raw	COG_category	KEGG_Pathway	KEGG_ko	EC_number	COG	KEGG_Module	GOs	PFAMs
EFM745_00038	pbuO	pbuO	Guanine/hypoxanthine permease PbuO	Permease family	up_in_serum	14199.2993726664	4.29922547490662	0.0714388842134187	0	0	4.30126661726178	60.2144675067418	S		ko:K06901		COG2252			Xan_ur_permease
EFM745_00049	yeeN	yeeN	putative transcriptional regulatory protein YeeN	transcriptional regulatory protein	down_in_bhi_relative	8830.40351393525	-2.35128003889355	0.0566182148121284	0	0	-2.35311977879322	-41.5716092563176	K				COG0217		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	Transcrip_reg
EFM745_00050	tmcAL	ylbM	tRNA(Met) cytidine acetate ligase	Belongs to the UPF0348 family	down_in_bhi_relative	4466.9799447066	-3.08390186696676	0.0650554663718105	0	0	-3.08620069140429	-47.45497938569	S			6.3.4.-	COG1323			HIGH_NTase1
EFM745_00051	COQ5_1	yqeM	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	Nodulation protein S (NodS)	down_in_bhi_relative	7825.72926174623	-2.49056598100097	0.0556250437752096	0	0	-2.49439883521398	-44.8373313289722	Q			2.1.1.163				Methyltransf_25
EFM745_00052	rsfS	rsfS	Ribosomal silencing factor RsfS	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation	down_in_bhi_relative	4453.50839782627	-2.56306134694358	0.0616789057032395	0	0	-2.56536305626564	-41.5986149650418	J		ko:K09710		COG0799		GO:0003674,GO:0005488,GO:0006417,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0017148,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0034248,GO:0034249,GO:0043021,GO:0043023,GO:0044087,GO:0044877,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:0090069,GO:0090071,GO:2000112,GO:2000113	RsfS
EFM745_00053		nadD	hypothetical protein	Metal dependent phosphohydrolases with conserved 'HD' motif.	down_in_bhi_relative	6708.48846859136	-2.40517314531395	0.0588539056142043	0	0	-2.40731656920822	-40.9107983108049	H	ko00760,ko00790,ko01100,map00760,map00790,map01100	ko:K00950,ko:K00969,ko:K06950			M00115,M00126,M00841		CTP_transf_like,HD
EFM745_00056	yqeH	yqeH	putative protein YqeH	RsgA GTPase	down_in_bhi_relative	9955.98587777825	-2.9620355649457	0.0572113373359368	0	0	-2.96376776137926	-51.8155250269963	S		ko:K06948		COG1161		GO:0003674,GO:0003824,GO:0003924,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0022613,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0042254,GO:0044085,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0060255,GO:0065007,GO:0071840,GO:0080090,GO:0090329,GO:2000104,GO:2000112,GO:2000113	MMR_HSR1
EFM745_00057		yqeG	hypothetical protein	Mitochondrial PGP phosphatase	down_in_bhi_relative	6699.95776313741	-3.69159561877829	0.0653347763523725	0	0	-3.69439099293995	-56.5462757303027	S		ko:K07015					HAD_2,Hydrolase,Hydrolase_like,PGP_phosphatase
EFM745_00058	accA	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA	down_in_bhi_relative	14521.95001119	-4.86844631536152	0.0755684287596796	0	0	-4.87067168466067	-64.4626554877998	I	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	ko:K01962,ko:K01963	2.1.3.15	COG0825	M00082,M00376		ACCA,Carboxyl_trans
EFM745_00059	accD	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA	down_in_bhi_relative	13942.9904947922	-4.85747500586751	0.0712140191824874	0	0	-4.85952485548574	-68.2423280513685	I	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	ko:K01962,ko:K01963	2.1.3.15	COG0777	M00082,M00376		Carboxyl_trans
