#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:1207506-1208468|- -            321 19602                -            320  4.9e-198  654.1   7.0   1   1  1.3e-200  5.5e-198  653.9   7.0     1   319     1   319     1   320 1.00 contig_1_pilon_1145 # 1207506 # 1208468 # -1 # ID=1_1145;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.420
contig_2_pilon:1232570-1233454|+ -            295 19602                -            320   5.3e-29   98.7   1.7   1   2     6e-19   2.6e-16   57.0   0.5    36   169    23   159     7   175 0.87 contig_2_pilon_1184 # 1232570 # 1233454 # 1 # ID=5_1184;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
contig_2_pilon:1232570-1233454|+ -            295 19602                -            320   5.3e-29   98.7   1.7   2   2   4.1e-14   1.8e-11   41.1   0.0   217   314   186   284   170   290 0.87 contig_2_pilon_1184 # 1232570 # 1233454 # 1 # ID=5_1184;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
contig_1_pilon:186453-187310|+   -            286 19602                -            320   5.8e-23   78.9   0.2   1   2   7.4e-19   3.2e-16   56.7   0.5     7   189     4   179     2   189 0.79 contig_1_pilon_159 # 186453 # 187310 # 1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_1_pilon:186453-187310|+   -            286 19602                -            320   5.8e-23   78.9   0.2   2   2   1.5e-07   6.6e-05   19.5   0.0   244   317   205   280   195   283 0.77 contig_1_pilon_159 # 186453 # 187310 # 1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_1_pilon:1327552-1328424|- -            291 19602                -            320   4.9e-22   75.8   0.3   1   2   3.5e-20   1.5e-17   61.1   0.3    35   197    23   191     5   203 0.83 contig_1_pilon_1285 # 1327552 # 1328424 # -1 # ID=1_1285;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
contig_1_pilon:1327552-1328424|- -            291 19602                -            320   4.9e-22   75.8   0.3   2   2   1.3e-05    0.0058   13.1   0.0   244   318   209   285   193   287 0.80 contig_1_pilon_1285 # 1327552 # 1328424 # -1 # ID=1_1285;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
contig_2_pilon:769256-770134|+   -            293 19602                -            320   4.4e-21   72.7   0.1   1   2   7.3e-17   3.2e-14   50.1   0.1    39   189    27   183    16   194 0.83 contig_2_pilon_717 # 769256 # 770134 # 1 # ID=5_717;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
contig_2_pilon:769256-770134|+   -            293 19602                -            320   4.4e-21   72.7   0.1   2   2   7.5e-08   3.3e-05   20.5   0.0   244   318   209   285   198   287 0.86 contig_2_pilon_717 # 769256 # 770134 # 1 # ID=5_717;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
contig_2_pilon:415187-416056|+   -            290 19602                -            320   7.7e-20   68.6   0.4   1   2   4.7e-17     2e-14   50.8   0.5    51   191    38   184     5   193 0.85 contig_2_pilon_390 # 415187 # 416056 # 1 # ID=5_390;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
contig_2_pilon:415187-416056|+   -            290 19602                -            320   7.7e-20   68.6   0.4   2   2   2.1e-06   0.00089   15.8   0.0   246   318   210   284   205   286 0.81 contig_2_pilon_390 # 415187 # 416056 # 1 # ID=5_390;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
