#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 19779                -            467  1.2e-289  958.0   3.0   1   1  2.3e-292  1.4e-289  957.8   3.0     1   467     1   469     1   469 0.99 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 19779                -            467   4.7e-11   39.5   0.4   1   2   5.3e-12   3.3e-09   33.4   0.7    21   181     3   171     1   183 0.76 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 19779                -            467   4.7e-11   39.5   0.4   2   2    0.0071       4.4    3.3   0.0   267   297   306   336   299   340 0.90 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 19779                -            467   1.8e-09   34.3   0.1   1   2     0.032        20    1.1   0.0    31    66    58    93    35   186 0.83 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 19779                -            467   1.8e-09   34.3   0.1   2   2   4.7e-11   2.9e-08   30.3   0.1   257   355   581   677   547   716 0.76 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 19779                -            467   1.1e-06   25.0   0.1   1   2      0.31   1.9e+02   -2.1   0.0    37   141    48   155    45   158 0.65 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 19779                -            467   1.1e-06   25.0   0.1   2   2     6e-09   3.7e-06   23.3   0.1   258   379   564   682   557   705 0.79 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 19779                -            467   1.8e-05   21.1   0.0   1   2      0.17     1e+02   -1.2   0.0    12    62    27    80    25    97 0.83 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 19779                -            467   1.8e-05   21.1   0.0   2   2   1.3e-07   8.1e-05   18.9   0.0   229   331   484   586   478   631 0.80 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19779at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19779at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19779at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:11:02 2026
# [ok]
