#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:58092-60179|+     -            696 19044                -            694         0 1531.8   8.3   1   1         0         0 1531.6   8.3     1   694     1   695     1   695 1.00 NZ_CP014529.1_54 # 58092 # 60179 # 1 # ID=1_54;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
NZ_CP014529.1:2189026-2190606|- -            527 19044                -            694   7.2e-57  190.5   0.1   1   1   2.6e-59   1.2e-56  189.8   0.1     7   472    10   463     6   469 0.88 NZ_CP014529.1_2125 # 2189026 # 2190606 # -1 # ID=1_2125;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.384
NZ_CP014529.1:1899944-1901773|- -            610 19044                -            694   1.3e-55  186.4   1.5   1   3   6.3e-33   2.8e-30  102.7   0.1     9   146     6   141     3   177 0.87 NZ_CP014529.1_1859 # 1899944 # 1901773 # -1 # ID=1_1859;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:1899944-1901773|- -            610 19044                -            694   1.3e-55  186.4   1.5   2   3   1.8e-16   8.2e-14   48.2   0.0   317   480   218   392   192   399 0.80 NZ_CP014529.1_1859 # 1899944 # 1901773 # -1 # ID=1_1859;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:1899944-1901773|- -            610 19044                -            694   1.3e-55  186.4   1.5   3   3   5.1e-12   2.3e-09   33.5   0.0   593   674   394   476   391   484 0.91 NZ_CP014529.1_1859 # 1899944 # 1901773 # -1 # ID=1_1859;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:1602125-1603960|+ -            612 19044                -            694   9.5e-43  143.9   0.4   1   3   3.5e-26   1.5e-23   80.4   0.1     8   160    11   165     6   191 0.80 NZ_CP014529.1_1565 # 1602125 # 1603960 # 1 # ID=1_1565;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
NZ_CP014529.1:1602125-1603960|+ -            612 19044                -            694   9.5e-43  143.9   0.4   2   3   1.6e-14   7.1e-12   41.8   0.0   299   490   190   390   163   395 0.83 NZ_CP014529.1_1565 # 1602125 # 1603960 # 1 # ID=1_1565;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
NZ_CP014529.1:1602125-1603960|+ -            612 19044                -            694   9.5e-43  143.9   0.4   3   3   1.5e-07   6.5e-05   18.8   0.0   599   674   408   485   400   501 0.83 NZ_CP014529.1_1565 # 1602125 # 1603960 # 1 # ID=1_1565;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
NZ_CP014529.1:60351-61538|+     -            396 19044                -            694   6.6e-16   55.2   0.0   1   1     2e-18   9.1e-16   54.7   0.0    11   146    13   147     1   203 0.89 NZ_CP014529.1_55 # 60351 # 61538 # 1 # ID=1_55;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.434
NZ_CP014529.1:2054293-2055480|- -            396 19044                -            694   2.1e-14   50.2   0.1   1   1   6.5e-17   2.9e-14   49.7   0.1    11   145    13   146     1   159 0.87 NZ_CP014529.1_2005 # 2054293 # 2055480 # -1 # ID=1_2005;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.433
NZ_CP014529.1:1465288-1467594|+ -            769 19044                -            694   6.6e-10   35.3   0.6   1   1   5.6e-12   2.5e-09   33.4   0.6    59   149   302   392   268   434 0.91 NZ_CP014529.1_1443 # 1465288 # 1467594 # 1 # ID=1_1443;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.417
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19044at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19044at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19044at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:17 2026
# [ok]
