#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 18543                -            520         0 1065.2  18.8   1   1         0         0 1065.1  18.8     1   518     1   518     1   520 0.99 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_2_length_840748_cov_42.698360:500865-502391|-    -            509 18543                -            520  4.7e-106  352.8   8.5   1   1  1.4e-107  5.5e-106  352.6   8.5     6   501     4   503     1   507 0.95 NODE_2_length_840748_cov_42.698360_480 # 500865 # 502391 # -1 # ID=2_480;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:433920-434657|-    -            246 18543                -            520   6.7e-39  131.2   0.9   1   1     2e-40   7.9e-39  131.0   0.9     7   229     3   225     1   234 0.92 NODE_2_length_840748_cov_42.698360_418 # 433920 # 434657 # -1 # ID=2_418;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_2_length_840748_cov_42.698360:75958-76695|-      -            246 18543                -            520   8.8e-39  130.8   1.1   1   1   2.6e-40     1e-38  130.6   1.1     9   222     6   218     1   226 0.92 NODE_2_length_840748_cov_42.698360_75 # 75958 # 76695 # -1 # ID=2_75;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_1652082_cov_46.167482:896486-897529|-   -            348 18543                -            520   1.3e-37  126.9   1.2   1   1   5.2e-39     2e-37  126.3   1.2     7   233     6   236     2   253 0.89 NODE_1_length_1652082_cov_46.167482_892 # 896486 # 897529 # -1 # ID=1_892;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_1_length_1652082_cov_46.167482:1249009-1249749|+ -            247 18543                -            520   6.4e-36  121.4   1.2   1   1   1.9e-37   7.4e-36  121.2   1.2     5   219     3   216     1   227 0.90 NODE_1_length_1652082_cov_46.167482_1222 # 1249009 # 1249749 # 1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_1_length_1652082_cov_46.167482:833295-834368|-   -            358 18543                -            520   6.7e-34  114.7   1.4   1   1   2.2e-35   8.6e-34  114.3   1.4     8   223     2   221     1   236 0.89 NODE_1_length_1652082_cov_46.167482_834 # 833295 # 834368 # -1 # ID=1_834;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_2_length_840748_cov_42.698360:558747-559439|-    -            231 18543                -            520   8.2e-32  107.8   0.1   1   1   2.4e-33   9.6e-32  107.6   0.1     7   226     4   222     1   229 0.90 NODE_2_length_840748_cov_42.698360_538 # 558747 # 559439 # -1 # ID=2_538;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_3_length_245057_cov_46.274867:48238-49431|-      -            398 18543                -            520   1.6e-30  103.5   0.7   1   2   6.5e-32   2.6e-30  102.9   0.1    12   223    32   244    23   260 0.85 NODE_3_length_245057_cov_46.274867_76 # 48238 # 49431 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_3_length_245057_cov_46.274867:48238-49431|-      -            398 18543                -            520   1.6e-30  103.5   0.7   2   2       4.6   1.8e+02   -2.2   0.0   447   486   335   378   247   383 0.55 NODE_3_length_245057_cov_46.274867_76 # 48238 # 49431 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:1203916-1205091|+ -            392 18543                -            520   1.8e-30  103.4   3.1   1   2   4.6e-32   1.8e-30  103.4   3.1     8   264     2   260     1   285 0.84 NODE_1_length_1652082_cov_46.167482_1179 # 1203916 # 1205091 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
