#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1297986-1299596|+ -            537 52769                -            483  2.8e-203  673.8   0.2   1   1  6.2e-206  3.3e-203  673.6   0.2     1   481    12   528    12   530 0.91 tig00000001_1219 # 1297986 # 1299596 # 1 # ID=1_1219;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.401
tig00000001:2423362-2424438|- -            359 52769                -            483   6.3e-06   23.0   0.1   1   3    0.0038         2    4.9   0.0   259   334    49   125    31   132 0.86 tig00000001_2351 # 2423362 # 2424438 # -1 # ID=1_2351;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:2423362-2424438|- -            359 52769                -            483   6.3e-06   23.0   0.1   2   3   2.4e-05     0.012   12.1   0.0   300   355   201   255   173   269 0.74 tig00000001_2351 # 2423362 # 2424438 # -1 # ID=1_2351;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:2423362-2424438|- -            359 52769                -            483   6.3e-06   23.0   0.1   3   3     0.019        10    2.6   0.0   420   481   289   351   276   353 0.80 tig00000001_2351 # 2423362 # 2424438 # -1 # ID=1_2351;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:971705-972100|+   -            132 52769                -            483    0.0027   14.3   0.1   1   2   1.1e-05    0.0056   13.3   0.1   106   165    13    75     1    81 0.78 tig00000001_920 # 971705 # 972100 # 1 # ID=1_920;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
tig00000001:971705-972100|+   -            132 52769                -            483    0.0027   14.3   0.1   2   2       0.2     1e+02   -0.8   0.0   291   329    74   112    68   122 0.77 tig00000001_920 # 971705 # 972100 # 1 # ID=1_920;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.419
tig00000002:123290-124903|+   -            538 52769                -            483    0.0061   13.2   0.1   1   2   5.7e-05      0.03   10.9   0.0   300   356    60   115    48   143 0.76 tig00000002_122 # 123290 # 124903 # 1 # ID=2_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435
tig00000002:123290-124903|+   -            538 52769                -            483    0.0061   13.2   0.1   2   2      0.19        98   -0.7   0.0   329   441   230   340   223   348 0.75 tig00000002_122 # 123290 # 124903 # 1 # ID=2_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435
tig00000001:687459-689024|-   -            522 52769                -            483     0.009   12.6   0.2   1   3   0.00014     0.073    9.6   0.0   311   355    54    98    37   141 0.69 tig00000001_629 # 687459 # 689024 # -1 # ID=1_629;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
tig00000001:687459-689024|-   -            522 52769                -            483     0.009   12.6   0.2   2   3      0.45   2.4e+02   -2.0   0.0   445   465   161   181   144   185 0.76 tig00000001_629 # 687459 # 689024 # -1 # ID=1_629;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
tig00000001:687459-689024|-   -            522 52769                -            483     0.009   12.6   0.2   3   3      0.18        95   -0.7   0.0   328   442   213   325   208   332 0.78 tig00000001_629 # 687459 # 689024 # -1 # ID=1_629;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
tig00000001:2577446-2578117|- -            224 52769                -            483     0.029   10.9   0.0   1   1   8.4e-05     0.044   10.3   0.0   299   352    31    92    18    96 0.64 tig00000001_2495 # 2577446 # 2578117 # -1 # ID=1_2495;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.423
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/52769at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_archaea_odb12/hmmer_output/52769at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/52769at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:35:59 2026
# [ok]
