#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1220715-1222127|- -            471 27917                -            458  8.7e-212  701.4   3.4   1   1  1.9e-214    1e-211  701.2   3.4     1   457    21   468    21   469 0.99 NODE_1_length_1652082_cov_46.167482_1195 # 1220715 # 1222127 # -1 # ID=1_1195;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_1_length_1652082_cov_46.167482:684011-685372|-   -            454 27917                -            458   6.2e-28   95.4   1.6   1   1   1.8e-30   9.4e-28   94.8   1.6   105   377   113   371   103   429 0.82 NODE_1_length_1652082_cov_46.167482_688 # 684011 # 685372 # -1 # ID=1_688;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
NODE_3_length_245057_cov_46.274867:205239-206744|+    -            502 27917                -            458   5.8e-18   62.5   0.2   1   2   2.5e-13   1.3e-10   38.3   0.2    22   129    33   138    18   145 0.84 NODE_3_length_245057_cov_46.274867_209 # 205239 # 206744 # 1 # ID=3_209;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_3_length_245057_cov_46.274867:205239-206744|+    -            502 27917                -            458   5.8e-18   62.5   0.2   2   2     3e-08   1.5e-05   21.5   0.0   228   441   255   471   241   481 0.72 NODE_3_length_245057_cov_46.274867_209 # 205239 # 206744 # 1 # ID=3_209;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:564844-566196|+   -            451 27917                -            458   1.6e-12   44.6   0.7   1   2   1.3e-06   0.00067   16.1   0.1   105   197    50   143    43   230 0.67 NODE_1_length_1652082_cov_46.167482_554 # 564844 # 566196 # 1 # ID=1_554;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_1_length_1652082_cov_46.167482:564844-566196|+   -            451 27917                -            458   1.6e-12   44.6   0.7   2   2   6.4e-10   3.3e-07   27.0   0.0   255   319   246   307   237   353 0.79 NODE_1_length_1652082_cov_46.167482_554 # 564844 # 566196 # 1 # ID=1_554;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_2_length_840748_cov_42.698360:166261-167595|+    -            445 27917                -            458     6e-11   39.3   0.3   1   3      0.14        73   -0.5   0.0    21    63    47    89    36    96 0.87 NODE_2_length_840748_cov_42.698360_154 # 166261 # 167595 # 1 # ID=2_154;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_2_length_840748_cov_42.698360:166261-167595|+    -            445 27917                -            458     6e-11   39.3   0.3   2   3   0.00072      0.37    7.1   0.0   105   127   106   128    99   135 0.89 NODE_2_length_840748_cov_42.698360_154 # 166261 # 167595 # 1 # ID=2_154;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_2_length_840748_cov_42.698360:166261-167595|+    -            445 27917                -            458     6e-11   39.3   0.3   3   3   1.9e-10   9.9e-08   28.8   0.0   179   347   166   330   161   371 0.82 NODE_2_length_840748_cov_42.698360_154 # 166261 # 167595 # 1 # ID=2_154;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_1_length_1652082_cov_46.167482:441435-442748|-   -            438 27917                -            458   7.3e-06   22.6   0.9   1   2      0.11        56   -0.1   0.0   104   128    39    63    23    70 0.81 NODE_1_length_1652082_cov_46.167482_444 # 441435 # 442748 # -1 # ID=1_444;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_1_length_1652082_cov_46.167482:441435-442748|-   -            438 27917                -            458   7.3e-06   22.6   0.9   2   2   6.6e-08   3.4e-05   20.4   0.2   156   294   137   273   127   298 0.80 NODE_1_length_1652082_cov_46.167482_444 # 441435 # 442748 # -1 # ID=1_444;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
