#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_2_length_840748_cov_42.698360:500865-502391|-    -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 NODE_2_length_840748_cov_42.698360_480 # 500865 # 502391 # -1 # ID=2_480;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:433920-434657|-    -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 NODE_2_length_840748_cov_42.698360_418 # 433920 # 434657 # -1 # ID=2_418;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_2_length_840748_cov_42.698360:75958-76695|-      -            246 18543                -            519   2.2e-38  129.4   1.4   1   1   6.9e-40   2.7e-38  129.1   1.4     9   221     7   218     2   228 0.92 NODE_2_length_840748_cov_42.698360_75 # 75958 # 76695 # -1 # ID=2_75;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_1652082_cov_46.167482:896486-897529|-   -            348 18543                -            519   7.5e-38  127.6   1.3   1   1   3.4e-39   1.3e-37  126.8   1.3     6   232     6   236     2   258 0.87 NODE_1_length_1652082_cov_46.167482_892 # 896486 # 897529 # -1 # ID=1_892;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_1_length_1652082_cov_46.167482:1249009-1249749|+ -            247 18543                -            519   2.3e-35  119.4   1.6   1   1   6.9e-37   2.7e-35  119.2   1.6     4   218     3   216     1   227 0.91 NODE_1_length_1652082_cov_46.167482_1222 # 1249009 # 1249749 # 1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_1_length_1652082_cov_46.167482:833295-834368|-   -            358 18543                -            519   2.2e-33  112.9   1.8   1   1   7.3e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 NODE_1_length_1652082_cov_46.167482_834 # 833295 # 834368 # -1 # ID=1_834;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_1_length_1652082_cov_46.167482:1203916-1205091|+ -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.7e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 NODE_1_length_1652082_cov_46.167482_1179 # 1203916 # 1205091 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:409227-409970|-   -            248 18543                -            519   7.3e-32  107.9   0.0   1   1   2.2e-33   8.8e-32  107.6   0.0     7   226     2   216     1   230 0.93 NODE_1_length_1652082_cov_46.167482_414 # 409227 # 409970 # -1 # ID=1_414;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_2_length_840748_cov_42.698360:558747-559439|-    -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.1e-32   4.5e-31  105.3   0.2     6   225     4   222     1   229 0.90 NODE_2_length_840748_cov_42.698360_538 # 558747 # 559439 # -1 # ID=2_538;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:1031990-1032742|- -            251 18543                -            519   5.2e-31  105.0   0.3   1   1   1.5e-32   5.8e-31  104.9   0.3     4   201     2   205     1   236 0.87 NODE_1_length_1652082_cov_46.167482_1012 # 1031990 # 1032742 # -1 # ID=1_1012;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_245057_cov_46.274867:48238-49431|-      -            398 18543                -            519   2.5e-30  102.8   0.5   1   2   6.3e-32   2.5e-30  102.8   0.5    11   223    32   245    21   282 0.85 NODE_3_length_245057_cov_46.274867_76 # 48238 # 49431 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_3_length_245057_cov_46.274867:48238-49431|-      -            398 18543                -            519   2.5e-30  102.8   0.5   2   2         7   2.8e+02   -2.9   0.1   446   485   335   378   296   383 0.70 NODE_3_length_245057_cov_46.274867_76 # 48238 # 49431 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:1545085-1546002|+ -            306 18543                -            519   1.3e-29  100.4   2.2   1   1   7.8e-31   3.1e-29   99.2   2.2     4   230     6   221     3   283 0.86 NODE_1_length_1652082_cov_46.167482_1493 # 1545085 # 1546002 # 1 # ID=1_1493;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_3_length_245057_cov_46.274867:78369-79301|-      -            311 18543                -            519   1.9e-29   99.9   0.5   1   1   6.2e-31   2.4e-29   99.5   0.5     6   223     2   214     1   229 0.93 NODE_3_length_245057_cov_46.274867_107 # 78369 # 79301 # -1 # ID=3_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:1550785-1551720|+ -            312 18543                -            519   3.6e-29   99.0   0.1   1   1   1.1e-30   4.5e-29   98.7   0.1     6   231     4   225     1   235 0.90 NODE_1_length_1652082_cov_46.167482_1499 # 1550785 # 1551720 # 1 # ID=1_1499;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NODE_1_length_1652082_cov_46.167482:727405-728172|-   -            256 18543                -            519     1e-28   97.5   0.5   1   1   2.9e-30   1.1e-28   97.3   0.5     5   216     3   218     1   240 0.84 NODE_1_length_1652082_cov_46.167482_733 # 727405 # 728172 # -1 # ID=1_733;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:1020903-1021604|- -            234 18543                -            519   4.1e-28   95.5   0.2   1   1     2e-28   7.7e-27   91.3   0.2    17   219    18   215     2   226 0.83 NODE_1_length_1652082_cov_46.167482_1003 # 1020903 # 1021604 # -1 # ID=1_1003;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_2_length_840748_cov_42.698360:316914-317600|+    -            229 18543                -            519   3.1e-27   92.6   0.1   1   1   9.2e-29   3.7e-27   92.4   0.1     5   206     3   207     1   219 0.88 NODE_2_length_840748_cov_42.698360_307 # 316914 # 317600 # 1 # ID=2_307;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 18543                -            519   9.1e-27   91.1   6.2   1   2   8.3e-15   3.3e-13   46.3   0.2    21   226    18   224     1   238 0.79 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 18543                -            519   9.1e-27   91.1   6.2   2   2   4.7e-15   1.9e-13   47.1   1.3    23   219   270   447   254   465 0.84 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_4_length_212759_cov_102.864112:103372-104403|+   -            344 18543                -            519   2.8e-26   89.4   0.3   1   1   2.3e-27   9.2e-26   87.7   0.3    26   226    22   217     3   230 0.90 NODE_4_length_212759_cov_102.864112_107 # 103372 # 104403 # 1 # ID=4_107;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            519   1.3e-25   87.3   4.1   1   4   6.9e-12   2.7e-10   36.7   0.2     6    66     3    63     1    70 0.93 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            519   1.3e-25   87.3   4.1   2   4   8.2e-08   3.2e-06   23.3   0.0   402   483   158   236   134   267 0.83 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            519   1.3e-25   87.3   4.1   3   4   2.9e-06   0.00011   18.1   0.0    25    66   339   380   335   391 0.90 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            519   1.3e-25   87.3   4.1   4   4    0.0037      0.15    7.9   0.0   400   441   434   475   402   507 0.79 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_1652082_cov_46.167482:543848-544483|-   -            212 18543                -            519   2.3e-25   86.4   0.1   1   1     7e-27   2.8e-25   86.2   0.1     7   211     2   203     1   207 0.90 NODE_1_length_1652082_cov_46.167482_530 # 543848 # 544483 # -1 # ID=1_530;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_4_length_212759_cov_102.864112:88505-89161|+     -            219 18543                -            519   8.9e-25   84.5   3.0   1   1   2.5e-25     1e-23   81.0   3.0     6   224     3   210     1   216 0.84 NODE_4_length_212759_cov_102.864112_90 # 88505 # 89161 # 1 # ID=4_90;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_1_length_1652082_cov_46.167482:371375-372043|-   -            223 18543                -            519   1.2e-24   84.0   0.4   1   1   3.6e-26   1.4e-24   83.8   0.4     6   207     3   206     1   217 0.87 NODE_1_length_1652082_cov_46.167482_373 # 371375 # 372043 # -1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_1_length_1652082_cov_46.167482:1040619-1042955|+ -            779 18543                -            519   1.2e-24   84.0   0.4   1   2     1e-25     4e-24   82.3   0.4     9   219     4   217     1   223 0.81 NODE_1_length_1652082_cov_46.167482_1023 # 1040619 # 1042955 # 1 # ID=1_1023;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_1652082_cov_46.167482:1040619-1042955|+ -            779 18543                -            519   1.2e-24   84.0   0.4   2   2       3.2   1.3e+02   -1.8   0.0   267   296   453   482   438   507 0.73 NODE_1_length_1652082_cov_46.167482_1023 # 1040619 # 1042955 # 1 # ID=1_1023;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 18543                -            519   1.4e-24   83.9   0.2   1   1   4.5e-26   1.8e-24   83.5   0.2    23   236    26   246    17   251 0.85 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_3_length_245057_cov_46.274867:141213-141950|-    -            246 18543                -            519   1.5e-24   83.7   0.1   1   1   5.1e-26     2e-24   83.3   0.1    10   219     6   210     2   218 0.93 NODE_3_length_245057_cov_46.274867_164 # 141213 # 141950 # -1 # ID=3_164;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_1652082_cov_46.167482:361165-362064|-   -            300 18543                -            519   2.5e-24   83.0   0.9   1   1   8.5e-26   3.4e-24   82.6   0.9     7   229     2   216     1   255 0.93 NODE_1_length_1652082_cov_46.167482_364 # 361165 # 362064 # -1 # ID=1_364;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            519   5.6e-24   81.9   0.1   1   4   4.3e-12   1.7e-10   37.4   0.0     7    67     2    62     1   103 0.91 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            519   5.6e-24   81.9   0.1   2   4   2.3e-08   9.2e-07   25.0   0.0   394   481   146   230   125   265 0.84 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            519   5.6e-24   81.9   0.1   3   4     0.037       1.5    4.6   0.0     8    64   321   377   316   393 0.85 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            519   5.6e-24   81.9   0.1   4   4    0.0011     0.044    9.6   0.0   400   478   436   511   419   528 0.66 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            519   2.3e-23   79.8   0.6   1   4   7.3e-11   2.9e-09   33.3   0.2     7    66     4    63     1    72 0.92 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            519   2.3e-23   79.8   0.6   2   4   5.2e-06   0.00021   17.3   0.0   399   468   160   229   136   256 0.75 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            519   2.3e-23   79.8   0.6   3   4   8.4e-06   0.00033   16.6   0.0     5    50   327   372   324   390 0.88 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            519   2.3e-23   79.8   0.6   4   4    0.0045      0.18    7.6   0.0   403   462   445   501   426   560 0.77 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
