#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:737845-738369|+   -            175 23784                -            172   4.4e-76  251.6   0.5   1   1   1.6e-78     5e-76  251.4   0.5     2   172     3   173     2   173 0.99 contig_2_689 # 737845 # 738369 # 1 # ID=5_689;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
contig_1:1199348-1199890|- -            181 23784                -            172   3.2e-10   37.2   0.0   1   2      0.64   1.9e+02   -1.2   0.0     7    26    32    51    28    55 0.85 contig_1_1138 # 1199348 # 1199890 # -1 # ID=1_1138;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.368
contig_1:1199348-1199890|- -            181 23784                -            172   3.2e-10   37.2   0.0   2   2     3e-12     9e-10   35.7   0.0    93   167   102   175    64   179 0.89 contig_1_1138 # 1199348 # 1199890 # -1 # ID=1_1138;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.368
contig_2:426050-426571|+   -            174 23784                -            172   1.2e-09   35.4   0.0   1   1   5.1e-12   1.5e-09   35.0   0.0     8   147     6   150     3   170 0.75 contig_2_403 # 426050 # 426571 # 1 # ID=5_403;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.351
contig_2:733297-733860|+   -            188 23784                -            172   1.5e-08   31.8   0.0   1   2     0.019       5.8    3.8   0.0     8    52     2    46     1    79 0.88 contig_2_683 # 733297 # 733860 # 1 # ID=5_683;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
contig_2:733297-733860|+   -            188 23784                -            172   1.5e-08   31.8   0.0   2   2   2.5e-09   7.6e-07   26.2   0.0    93   149   116   171   115   183 0.90 contig_2_683 # 733297 # 733860 # 1 # ID=5_683;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
contig_2:485923-486366|+   -            148 23784                -            172   1.5e-08   31.8   0.9   1   1   1.3e-10   3.9e-08   30.4   0.9    58   160    48   136    25   143 0.83 contig_2_455 # 485923 # 486366 # 1 # ID=5_455;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.351
contig_2:1232014-1232481|+ -            156 23784                -            172   4.8e-05   20.3   0.1   1   1   2.1e-07   6.4e-05   19.9   0.1    91   153    59   122    37   131 0.82 contig_2_1183 # 1232014 # 1232481 # 1 # ID=5_1183;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.380
contig_2:747245-747814|+   -            190 23784                -            172   0.00038   17.4   0.0   1   1   1.4e-06   0.00043   17.2   0.0    94   159   111   176    61   187 0.86 contig_2_696 # 747245 # 747814 # 1 # ID=5_696;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
contig_1:443185-443619|-   -            145 23784                -            172    0.0012   15.8   0.0   1   1   6.3e-06    0.0019   15.1   0.0    94   146    76   124    73   131 0.82 contig_1_426 # 443185 # 443619 # -1 # ID=1_426;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_2:309987-310475|+   -            163 23784                -            172    0.0046   13.9   0.3   1   2       1.3   3.8e+02   -2.1   0.0    38    38    33    33     4    72 0.51 contig_2_288 # 309987 # 310475 # 1 # ID=5_288;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
contig_2:309987-310475|+   -            163 23784                -            172    0.0046   13.9   0.3   2   2   2.7e-05    0.0081   13.1   0.1   120   150   111   141    86   159 0.75 contig_2_288 # 309987 # 310475 # 1 # ID=5_288;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
contig_1:532376-532810|+   -            145 23784                -            172      0.02   11.8   0.0   1   1   8.3e-05     0.025   11.5   0.0    93   150    68   123    27   135 0.84 contig_1_500 # 532376 # 532810 # 1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23784at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:14:26 2026
# [ok]
