#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:811922-814048|+   -            709 9804305              -            706         0 1058.2  13.6   1   1         0         0 1058.0  13.6     2   704     2   705     1   707 0.97 tig00000001_762 # 811922 # 814048 # 1 # ID=1_762;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
tig00000001:2671868-2673097|- -            410 9804305              -            706   1.8e-53  179.3  17.0   1   4   1.3e-07   5.1e-05   19.2   4.7   606   697     9   104     3   107 0.78 tig00000001_2592 # 2671868 # 2673097 # -1 # ID=1_2592;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2671868-2673097|- -            410 9804305              -            706   1.8e-53  179.3  17.0   2   4   1.2e-08   4.6e-06   22.6   0.4   609   705   103   195    98   196 0.93 tig00000001_2592 # 2671868 # 2673097 # -1 # ID=1_2592;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2671868-2673097|- -            410 9804305              -            706   1.8e-53  179.3  17.0   3   4   1.1e-21   4.2e-19   65.7   0.1   615   697   195   276   192   284 0.94 tig00000001_2592 # 2671868 # 2673097 # -1 # ID=1_2592;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2671868-2673097|- -            410 9804305              -            706   1.8e-53  179.3  17.0   4   4   2.1e-26   8.4e-24   81.3   0.1   616   704   281   369   278   371 0.95 tig00000001_2592 # 2671868 # 2673097 # -1 # ID=1_2592;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:410036-410506|-   -            157 9804305              -            706   8.3e-22   74.7   0.4   1   1   2.6e-24     1e-21   74.4   0.4   621   703     3    84     1    87 0.94 tig00000001_384 # 410036 # 410506 # -1 # ID=1_384;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:1585567-1585947|+ -            127 9804305              -            706   5.6e-18   62.0   0.0   1   1   1.7e-20   6.8e-18   61.7   0.0   621   699     3    81     1    86 0.95 tig00000001_1521 # 1585567 # 1585947 # 1 # ID=1_1521;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.344
tig00000001:2223045-2225225|+ -            727 9804305              -            706   1.2e-17   60.9   0.2   1   2      0.68   2.6e+02   -3.0   2.6   216   295    81   143    47   188 0.51 tig00000001_2149 # 2223045 # 2225225 # 1 # ID=1_2149;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001:2223045-2225225|+ -            727 9804305              -            706   1.2e-17   60.9   0.2   2   2     3e-20   1.2e-17   60.9   0.2   619   693   647   721   642   726 0.94 tig00000001_2149 # 2223045 # 2225225 # 1 # ID=1_2149;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001:2489785-2491140|- -            452 9804305              -            706   8.7e-10   34.9   0.9   1   2   1.5e-08   5.9e-06   22.3   0.1   316   452     2   138     1   141 0.83 tig00000001_2416 # 2489785 # 2491140 # -1 # ID=1_2416;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:2489785-2491140|- -            452 9804305              -            706   8.7e-10   34.9   0.9   2   2   5.4e-07   0.00021   17.1   0.3    82   235    81   250    74   279 0.71 tig00000001_2416 # 2489785 # 2491140 # -1 # ID=1_2416;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.414
