#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_34:90518-91039|-   -            174 20286                -            638   8.8e-53  177.7   0.5   1   1   2.5e-55   1.4e-52  177.0   0.5   238   411     1   171     1   173 0.87 contig_34_129 # 90518 # 91039 # -1 # ID=27_129;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
contig_34:91383-91742|-   -            120 20286                -            638   1.6e-46  157.0   0.2   1   1   3.1e-49   1.7e-46  156.9   0.2     1   115     1   113     1   119 0.97 contig_34_130 # 91383 # 91742 # -1 # ID=27_130;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_29:87116-87328|+   -             71 20286                -            638   6.9e-15   52.5   0.0   1   1   1.4e-17   7.9e-15   52.3   0.0   457   514     6    63     2    69 0.75 contig_29_112 # 87116 # 87328 # 1 # ID=22_112;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_48:116521-116814|- -             98 20286                -            638   8.2e-07   25.8   0.0   1   1   1.5e-09   8.4e-07   25.8   0.0   158   200     3    45     1    86 0.74 contig_48_148 # 116521 # 116814 # -1 # ID=42_148;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.432
contig_32:41618-41830|-   -             71 20286                -            638   5.3e-06   23.1   0.1   1   1   9.7e-09   5.4e-06   23.1   0.1   472   515     2    45     1    59 0.63 contig_32_59 # 41618 # 41830 # -1 # ID=26_59;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_32:42654-42884|-   -             77 20286                -            638   1.4e-05   21.7   0.0   1   1   2.7e-08   1.5e-05   21.6   0.0   159   204    19    63     4    70 0.53 contig_32_61 # 42654 # 42884 # -1 # ID=26_61;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_2:10796-11179|-    -            128 20286                -            638   0.00013   18.6   0.1   1   1   2.7e-07   0.00015   18.3   0.1    32    61    69    98    50   106 0.86 contig_2_16 # 10796 # 11179 # -1 # ID=12_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.471
contig_5:53905-54108|+    -             68 20286                -            638     0.007   12.8   0.0   1   1   1.3e-05    0.0075   12.7   0.0   163   191     8    36     3    49 0.91 contig_5_70 # 53905 # 54108 # 1 # ID=44_70;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
contig_34:96058-96300|+   -             81 20286                -            638     0.044   10.2   0.0   1   1   8.1e-05     0.046   10.1   0.0   355   382    28    55    10    65 0.74 contig_34_134 # 96058 # 96300 # 1 # ID=27_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.374
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/20286at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_nanopore_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_nanopore_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/20286at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/20286at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_nanopore_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:14:52 2026
# [ok]
