#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2544585-2545484|- -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 NZ_CP014529.1_2459 # 2544585 # 2545484 # -1 # ID=1_2459;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
NZ_CP014529.1:1492509-1495325|+ -            939 28021                -            290   0.00025   18.2   0.0   1   2     0.037         5    4.1   0.0   151   169    25    43    10    63 0.79 NZ_CP014529.1_1467 # 1492509 # 1495325 # 1 # ID=1_1467;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:1492509-1495325|+ -            939 28021                -            290   0.00025   18.2   0.0   2   2    0.0002     0.027   11.5   0.0   140   184   618   664   609   694 0.75 NZ_CP014529.1_1467 # 1492509 # 1495325 # 1 # ID=1_1467;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:384709-385410|+   -            234 28021                -            290   0.00062   16.9   0.0   1   1     7e-06   0.00095   16.3   0.0   125   172     6    53     2    66 0.78 NZ_CP014529.1_380 # 384709 # 385410 # 1 # ID=1_380;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:536572-537210|+   -            213 28021                -            290   0.00087   16.4   0.0   1   1   1.1e-05    0.0015   15.7   0.0   137   175    13    53     7    89 0.79 NZ_CP014529.1_514 # 536572 # 537210 # 1 # ID=1_514;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NZ_CP014529.1:2681507-2682922|- -            472 28021                -            290   0.00088   16.4   3.7   1   3   0.00017     0.023   11.7   0.1   148   172    25    49     4    64 0.74 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014529.1:2681507-2682922|- -            472 28021                -            290   0.00088   16.4   3.7   2   3     0.028       3.7    4.5   0.3   150   176   277   303   194   315 0.69 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014529.1:2681507-2682922|- -            472 28021                -            290   0.00088   16.4   3.7   3   3       2.1   2.8e+02   -1.7   0.0    75   119   420   463   412   471 0.76 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014529.1:2760042-2761439|- -            466 28021                -            290   0.00094   16.3   0.6   1   3     0.019       2.5    5.1   0.0     8    82    27   103    20   180 0.84 NZ_CP014529.1_2646 # 2760042 # 2761439 # -1 # ID=1_2646;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NZ_CP014529.1:2760042-2761439|- -            466 28021                -            290   0.00094   16.3   0.6   2   3    0.0048      0.65    7.0   0.0   149   184   223   259   190   266 0.79 NZ_CP014529.1_2646 # 2760042 # 2761439 # -1 # ID=1_2646;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NZ_CP014529.1:2760042-2761439|- -            466 28021                -            290   0.00094   16.3   0.6   3   3      0.32        43    1.0   0.0   101   173   331   402   289   438 0.62 NZ_CP014529.1_2646 # 2760042 # 2761439 # -1 # ID=1_2646;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
