#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_113754_cov_100.754285:28375-30501|- -            709 19543                -            709         0 1444.5  18.7   1   1         0         0 1444.3  18.7     1   708     1   706     1   707 0.99 NODE_11_length_113754_cov_100.754285_26 # 28375 # 30501 # -1 # ID=11_26;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 19543                -            709   1.7e-37  126.6  18.1   1   4   4.3e-05     0.019   10.7   4.6   620   684    19    84     3   102 0.81 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 19543                -            709   1.7e-37  126.6  18.1   2   4   2.5e-06    0.0011   14.8   0.8   614   708   104   195    98   196 0.92 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 19543                -            709   1.7e-37  126.6  18.1   3   4   4.3e-16   1.9e-13   47.1   0.1   619   696   195   272   194   280 0.93 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 19543                -            709   1.7e-37  126.6  18.1   4   4     8e-21   3.5e-18   62.7   0.0   621   707   282   369   279   371 0.92 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_10_length_119333_cov_96.609128:50806-51276|+  -            157 19543                -            709   1.6e-17   60.5   0.2   1   1   4.3e-20   1.9e-17   60.3   0.2   625   704     3    82     1    87 0.91 NODE_10_length_119333_cov_96.609128_45 # 50806 # 51276 # 1 # ID=10_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.410
NODE_8_length_133129_cov_72.724935:21691-22071|-   -            127 19543                -            709   6.6e-12   42.0   0.0   1   1   1.7e-14   7.7e-12   41.7   0.0   626   701     4    80     1    85 0.92 NODE_8_length_133129_cov_72.724935_17 # 21691 # 22071 # -1 # ID=8_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
NODE_1_length_385945_cov_86.278628:318458-320638|+ -            727 19543                -            709   1.1e-11   41.2   0.1   1   2       2.5   1.1e+03   -5.0   2.6   237   268    87   118    43   174 0.51 NODE_1_length_385945_cov_86.278628_321 # 318458 # 320638 # 1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_385945_cov_86.278628:318458-320638|+ -            727 19543                -            709   1.1e-11   41.2   0.1   2   2   2.5e-14   1.1e-11   41.2   0.1   623   693   647   718   640   723 0.92 NODE_1_length_385945_cov_86.278628_321 # 318458 # 320638 # 1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_5_length_185063_cov_65.589034:63930-66287|+   -            786 19543                -            709   0.00022   17.1   0.4   1   1   8.8e-07   0.00039   16.3   0.4   626   687   636   708   604   722 0.75 NODE_5_length_185063_cov_65.589034_61 # 63930 # 66287 # 1 # ID=5_61;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_2_length_304403_cov_65.784473:104071-105426|+ -            452 19543                -            709     0.001   14.9   0.7   1   1   1.5e-05    0.0064   12.3   0.5    23   220    20   235     7   253 0.64 NODE_2_length_304403_cov_65.784473_98 # 104071 # 105426 # 1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19543at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/19543at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19543at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:17:15 2026
# [ok]
