#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1:468089-468616|+   -            176 18111                -            174     3e-98  324.1   2.4   1   1  6.5e-101   3.3e-98  324.0   2.4     1   174     1   174     1   174 0.99 contig_1_451 # 468089 # 468616 # 1 # ID=1_451;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.383
contig_2:1063816-1064580|+ -            255 18111                -            174   1.3e-08   32.2   0.0   1   2    0.0037       1.9    5.7   0.0    27    77     3    51     1    81 0.78 contig_2_1020 # 1063816 # 1064580 # 1 # ID=5_1020;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_2:1063816-1064580|+ -            255 18111                -            174   1.3e-08   32.2   0.0   2   2   6.4e-09   3.2e-06   24.5   0.1    92   136   181   225   177   230 0.94 contig_2_1020 # 1063816 # 1064580 # 1 # ID=5_1020;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_2:306033-306728|+   -            232 18111                -            174   4.6e-05   20.7   0.0   1   2      0.61   3.1e+02   -1.5   0.1    27    42     3    18     1    25 0.82 contig_2_283 # 306033 # 306728 # 1 # ID=5_283;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_2:306033-306728|+   -            232 18111                -            174   4.6e-05   20.7   0.0   2   2   2.9e-07   0.00015   19.1   0.0    61   134   118   197    99   203 0.79 contig_2_283 # 306033 # 306728 # 1 # ID=5_283;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_1:272430-273137|-   -            236 18111                -            174   0.00072   16.8   0.0   1   2      0.87   4.4e+02   -2.0   0.0    27    44     2    19     1    31 0.81 contig_1_227 # 272430 # 273137 # -1 # ID=1_227;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
contig_1:272430-273137|-   -            236 18111                -            174   0.00072   16.8   0.0   2   2   5.7e-06    0.0029   14.9   0.0    48   132   104   199    96   205 0.80 contig_1_227 # 272430 # 273137 # -1 # ID=1_227;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
contig_2:1310864-1311559|+ -            232 18111                -            174    0.0027   14.9   0.0   1   3     0.021        10    3.3   0.0    27    40     2    15     1    36 0.91 contig_2_1255 # 1310864 # 1311559 # 1 # ID=5_1255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
contig_2:1310864-1311559|+ -            232 18111                -            174    0.0027   14.9   0.0   2   3       1.3   6.5e+02   -2.6   0.0    75   106    60    91    42   103 0.68 contig_2_1255 # 1310864 # 1311559 # 1 # ID=5_1255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
contig_2:1310864-1311559|+ -            232 18111                -            174    0.0027   14.9   0.0   3   3   0.00032      0.16    9.1   0.0   102   139   159   196   140   223 0.83 contig_2_1255 # 1310864 # 1311559 # 1 # ID=5_1255;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
contig_1:999045-999758|-   -            238 18111                -            174     0.022   12.0   0.0   1   1   0.00011     0.058   10.6   0.0    54   138    98   190    85   199 0.76 contig_1_953 # 999045 # 999758 # -1 # ID=1_953;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.345
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18111at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:59 2026
# [ok]
