gene_id	gene	Preferred_name	product	Description	direction	log2FoldChange	padj	COG_category	KEGG_Pathway
EFM745_02608	purS	purS	Phosphoribosylformylglycinamidine synthase subunit PurS	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL	up_in_serum	9.32726890992895	2.68843050651104e-307	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_02607	purQ	purQ	Phosphoribosylformylglycinamidine synthase subunit PurQ	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL	up_in_serum	9.11475672300144	2.71704890236335e-67	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_02609	purC	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase	Belongs to the SAICAR synthetase family	up_in_serum	8.95534501274812	3.82798717501345e-113	F	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130
EFM745_02606	purL	purL	Phosphoribosylformylglycinamidine synthase subunit PurL	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL	up_in_serum	8.87038870961749	3.4453815835856e-98	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_02605	purF	purF	Amidophosphoribosyltransferase	Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine	up_in_serum	8.75189028631837	7.80629662302987e-160	F	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130
EFM745_02604	purM	purM	Phosphoribosylformylglycinamidine cyclo-ligase	AIR synthase related protein, C-terminal domain	up_in_serum	8.36734559936096	6.71315038338815e-255	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_02602	purH	purH	Bifunctional purine biosynthesis protein PurH	Bifunctional purine biosynthesis protein PurH	up_in_serum	8.29390981771007	3.51818020606569e-171	F	ko00230,ko00670,ko01100,ko01110,ko01130,ko01523,map00230,map00670,map01100,map01110,map01130,map01523
EFM745_02601	purD	purD	Phosphoribosylamine--glycine ligase	Belongs to the GARS family	up_in_serum	8.2624110212865	2.62417724417193e-196	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_02603	purN	purN	Phosphoribosylglycinamide formyltransferase	Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate	up_in_serum	8.03151725296757	2.94230496282285e-254	F	ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130
EFM745_02613	purE	purE	N5-carboxyaminoimidazole ribonucleotide mutase	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)	up_in_serum	5.63313485630576	0	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_02611	purB	purB	Adenylosuccinate lyase	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily	up_in_serum	3.73677184707628	0	F	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130
EFM745_02469	fhs1	fhs	Formate--tetrahydrofolate ligase 1	Belongs to the formate--tetrahydrofolate ligase family	up_in_serum	3.66389332813886	0	F	ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200
