#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:755622-756731|-    -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.4e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 NODE_2_length_840748_cov_42.698360_713 # 755622 # 756731 # -1 # ID=2_713;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 16872                -            369   4.3e-09   33.1   5.2   1   4   0.00026     0.082    9.2   0.1   167   224     6    61     3    63 0.69 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 16872                -            369   4.3e-09   33.1   5.2   2   4      0.38   1.2e+02   -1.2   0.0    56   111    61   122    36   126 0.59 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 16872                -            369   4.3e-09   33.1   5.2   3   4   1.8e-06   0.00054   16.3   0.1   166   230   176   239   156   257 0.77 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 16872                -            369   4.3e-09   33.1   5.2   4   4   0.00057      0.18    8.1   0.1   102   169   288   354   248   370 0.81 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:589413-590273|-    -            287 16872                -            369   1.8e-06   24.5   0.0   1   1   8.5e-09   2.6e-06   23.9   0.0    88   226    38   177    15   212 0.67 NODE_2_length_840748_cov_42.698360_565 # 589413 # 590273 # -1 # ID=2_565;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_1_length_1652082_cov_46.167482:238834-239733|-   -            300 16872                -            369   1.3e-05   21.7   0.2   1   1   8.1e-08   2.5e-05   20.7   0.1   167   237     9    78     3   103 0.71 NODE_1_length_1652082_cov_46.167482_246 # 238834 # 239733 # -1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_1_length_1652082_cov_46.167482:1409884-1411281|+ -            466 16872                -            369   0.00057   16.3   0.2   1   2   1.9e-06   0.00057   16.3   0.2   148   231   208   292   189   310 0.73 NODE_1_length_1652082_cov_46.167482_1386 # 1409884 # 1411281 # 1 # ID=1_1386;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_1_length_1652082_cov_46.167482:1409884-1411281|+ -            466 16872                -            369   0.00057   16.3   0.2   2   2         2   6.2e+02   -3.6   0.1   105   128   338   360   335   364 0.80 NODE_1_length_1652082_cov_46.167482_1386 # 1409884 # 1411281 # 1 # ID=1_1386;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_1_length_1652082_cov_46.167482:1416021-1417121|+ -            367 16872                -            369     0.004   13.5   0.1   1   2   7.6e-05     0.024   10.9   0.0   169   193     7    31     4    43 0.88 NODE_1_length_1652082_cov_46.167482_1392 # 1416021 # 1417121 # 1 # ID=1_1392;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:1416021-1417121|+ -            367 16872                -            369     0.004   13.5   0.1   2   2      0.19        58   -0.2   0.0   122   155   218   251   183   259 0.69 NODE_1_length_1652082_cov_46.167482_1392 # 1416021 # 1417121 # 1 # ID=1_1392;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
