#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9_length_122393_cov_64.141746:67121-67981|+   -            287 20420                -            282  5.4e-169  558.0   0.4   1   1  1.8e-171  6.1e-169  557.8   0.4     1   281     1   281     1   282 1.00 NODE_9_length_122393_cov_64.141746_63 # 67121 # 67981 # 1 # ID=9_63;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 20420                -            282   1.7e-15   54.4   0.0   1   2   1.3e-10   4.4e-08   30.0   0.0   125   175     8    61     4    72 0.89 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 20420                -            282   1.7e-15   54.4   0.0   2   2   5.1e-08   1.7e-05   21.5   0.0    16   157    75   211    66   254 0.76 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_5_length_185063_cov_65.589034:142828-143727|+ -            300 20420                -            282   5.7e-11   39.5   0.1   1   2     5e-13   1.7e-10   37.9   0.1   125   180    11    69     5    81 0.83 NODE_5_length_185063_cov_65.589034_136 # 142828 # 143727 # 1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_5_length_185063_cov_65.589034:142828-143727|+ -            300 20420                -            282   5.7e-11   39.5   0.1   2   2      0.92   3.2e+02   -2.3   0.0    50    94   114   160    78   165 0.51 NODE_5_length_185063_cov_65.589034_136 # 142828 # 143727 # 1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_29_length_26158_cov_60.714258:17980-19377|+   -            466 20420                -            282     3e-07   27.3   1.5   1   2   2.1e-07   7.1e-05   19.5   0.1   108   175   215   285   130   298 0.82 NODE_29_length_26158_cov_60.714258_18 # 17980 # 19377 # 1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_29_length_26158_cov_60.714258:17980-19377|+   -            466 20420                -            282     3e-07   27.3   1.5   2   2    0.0015      0.51    6.9   0.1    25    86   308   369   297   384 0.76 NODE_29_length_26158_cov_60.714258_18 # 17980 # 19377 # 1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_6_length_183174_cov_88.861183:98070-99179|-   -            370 20420                -            282   3.1e-07   27.3   0.1   1   1   1.8e-09     6e-07   26.3   0.1    32   188    82   237    72   257 0.74 NODE_6_length_183174_cov_88.861183_86 # 98070 # 99179 # -1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_385945_cov_86.278628:267793-268380|+ -            196 20420                -            282   4.6e-07   26.7   0.0   1   1   2.2e-09   7.6e-07   26.0   0.0   127   186    30    90    25   133 0.83 NODE_1_length_385945_cov_86.278628_274 # 267793 # 268380 # 1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_29_length_26158_cov_60.714258:24117-25217|+   -            367 20420                -            282   0.00074   16.2   0.1   1   2   1.4e-05    0.0049   13.5   0.0   120   152     2    33     1    39 0.79 NODE_29_length_26158_cov_60.714258_24 # 24117 # 25217 # 1 # ID=29_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_29_length_26158_cov_60.714258:24117-25217|+   -            367 20420                -            282   0.00074   16.2   0.1   2   2      0.19        64   -0.0   0.0    50   102   199   256   193   275 0.67 NODE_29_length_26158_cov_60.714258_24 # 24117 # 25217 # 1 # ID=29_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
