#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:98070-99179|-   -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.1e-226  4.3e-224  740.5   0.0     1   369     1   369     1   369 1.00 NODE_6_length_183174_cov_88.861183_86 # 98070 # 99179 # -1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 16872                -            369   4.3e-09   33.1   5.2   1   4   0.00021     0.081    9.2   0.1   167   224     6    61     3    63 0.69 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 16872                -            369   4.3e-09   33.1   5.2   2   4      0.31   1.2e+02   -1.2   0.0    56   111    61   122    36   126 0.59 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 16872                -            369   4.3e-09   33.1   5.2   3   4   1.4e-06   0.00054   16.3   0.1   166   230   176   239   156   257 0.77 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 16872                -            369   4.3e-09   33.1   5.2   4   4   0.00046      0.18    8.1   0.1   102   169   288   354   248   370 0.81 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:67121-67981|+   -            287 16872                -            369   1.8e-06   24.5   0.0   1   1   6.8e-09   2.6e-06   23.9   0.0    88   226    38   177    15   212 0.67 NODE_9_length_122393_cov_64.141746_63 # 67121 # 67981 # 1 # ID=9_63;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_5_length_185063_cov_65.589034:142828-143727|+ -            300 16872                -            369   1.3e-05   21.7   0.2   1   1   6.5e-08   2.5e-05   20.7   0.1   167   237     9    78     3   103 0.71 NODE_5_length_185063_cov_65.589034_136 # 142828 # 143727 # 1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_29_length_26158_cov_60.714258:17980-19377|+   -            466 16872                -            369   0.00057   16.3   0.2   1   2   1.5e-06   0.00057   16.3   0.2   148   231   208   292   189   310 0.73 NODE_29_length_26158_cov_60.714258_18 # 17980 # 19377 # 1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_29_length_26158_cov_60.714258:17980-19377|+   -            466 16872                -            369   0.00057   16.3   0.2   2   2       1.6   6.2e+02   -3.6   0.1   105   128   338   360   335   364 0.80 NODE_29_length_26158_cov_60.714258_18 # 17980 # 19377 # 1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_29_length_26158_cov_60.714258:24117-25217|+   -            367 16872                -            369     0.004   13.5   0.1   1   2   6.1e-05     0.024   10.9   0.0   169   193     7    31     4    43 0.88 NODE_29_length_26158_cov_60.714258_24 # 24117 # 25217 # 1 # ID=29_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_29_length_26158_cov_60.714258:24117-25217|+   -            367 16872                -            369     0.004   13.5   0.1   2   2      0.15        58   -0.2   0.0   122   155   218   251   183   259 0.69 NODE_29_length_26158_cov_60.714258_24 # 24117 # 25217 # 1 # ID=29_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_1_length_385945_cov_86.278628:236250-239066|+ -            939 16872                -            369    0.0047   13.2   0.1   1   3       1.2   4.6e+02   -3.2   0.0   164   210    26    72    14    77 0.77 NODE_1_length_385945_cov_86.278628_248 # 236250 # 239066 # 1 # ID=1_248;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_1_length_385945_cov_86.278628:236250-239066|+ -            939 16872                -            369    0.0047   13.2   0.1   2   3   0.00013     0.051    9.8   0.0   162   199   629   665   592   694 0.82 NODE_1_length_385945_cov_86.278628_248 # 236250 # 239066 # 1 # ID=1_248;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
