#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_94214_cov_54.858857:6411-7055|+     -            215 28730                -            213  6.5e-116  382.9   0.1   1   1  2.3e-118  7.3e-116  382.7   0.1     1   212     1   212     1   213 0.99 NODE_11_length_94214_cov_54.858857_7 # 6411 # 7055 # 1 # ID=11_7;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
NODE_14_length_67873_cov_82.007916:25460-26167|-   -            236 28730                -            213   0.00071   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 NODE_14_length_67873_cov_82.007916_20 # 25460 # 26167 # -1 # ID=14_20;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_14_length_67873_cov_82.007916:25460-26167|-   -            236 28730                -            213   0.00071   16.8   0.2   2   2   6.6e-05     0.021   12.0   0.0   127   175   120   169   106   204 0.80 NODE_14_length_67873_cov_82.007916_20 # 25460 # 26167 # -1 # ID=14_20;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_22_length_43876_cov_92.621673:7659-8312|-     -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        23    2.0   0.0     6    34     2    30     1    37 0.81 NODE_22_length_43876_cov_92.621673_9 # 7659 # 8312 # -1 # ID=22_9;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_22_length_43876_cov_92.621673:7659-8312|-     -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.027   11.6   0.2   123   189   116   184   105   212 0.75 NODE_22_length_43876_cov_92.621673_9 # 7659 # 8312 # -1 # ID=22_9;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_16_length_63808_cov_77.334802:62065-63702|+   -            546 28730                -            213    0.0029   14.8   0.1   1   3       2.8     9e+02   -3.2   0.0    58    87   184   214   175   218 0.67 NODE_16_length_63808_cov_77.334802_65 # 62065 # 63702 # 1 # ID=16_65;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
NODE_16_length_63808_cov_77.334802:62065-63702|+   -            546 28730                -            213    0.0029   14.8   0.1   2   3     0.001      0.32    8.1   0.0     3    23   329   349   327   369 0.85 NODE_16_length_63808_cov_77.334802_65 # 62065 # 63702 # 1 # ID=16_65;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
NODE_16_length_63808_cov_77.334802:62065-63702|+   -            546 28730                -            213    0.0029   14.8   0.1   3   3     0.021       6.6    3.8   0.0    53    76   461   484   427   499 0.89 NODE_16_length_63808_cov_77.334802_65 # 62065 # 63702 # 1 # ID=16_65;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
NODE_28_length_29579_cov_95.650511:6808-8592|+     -            595 28730                -            213    0.0036   14.5   0.2   1   2    0.0031      0.99    6.5   0.0     6    25   384   403   381   413 0.83 NODE_28_length_29579_cov_95.650511_5 # 6808 # 8592 # 1 # ID=28_5;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_28_length_29579_cov_95.650511:6808-8592|+     -            595 28730                -            213    0.0036   14.5   0.2   2   2    0.0077       2.4    5.2   0.0    53    73   513   533   503   561 0.88 NODE_28_length_29579_cov_95.650511_5 # 6808 # 8592 # 1 # ID=28_5;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_19_length_58687_cov_59.880605:53479-54180|+   -            234 28730                -            213    0.0038   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 NODE_19_length_58687_cov_59.880605_52 # 53479 # 54180 # 1 # ID=19_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_19_length_58687_cov_59.880605:53479-54180|+   -            234 28730                -            213    0.0038   14.4   0.3   2   2   0.00028     0.089    9.9   0.1   127   163   122   157   105   210 0.82 NODE_19_length_58687_cov_59.880605_52 # 53479 # 54180 # 1 # ID=19_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_11_length_94214_cov_54.858857:15208-15975|+   -            256 28730                -            213    0.0045   14.1   0.1   1   2   4.1e-05     0.013   12.7   0.1     2    24    33    55    32    78 0.85 NODE_11_length_94214_cov_54.858857_16 # 15208 # 15975 # 1 # ID=11_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_11_length_94214_cov_54.858857:15208-15975|+   -            256 28730                -            213    0.0045   14.1   0.1   2   2       2.4   7.7e+02   -3.0   0.0    17    40   181   204   161   215 0.51 NODE_11_length_94214_cov_54.858857_16 # 15208 # 15975 # 1 # ID=11_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_304474_cov_63.252055:186884-187654|+ -            257 28730                -            213    0.0092   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 NODE_1_length_304474_cov_63.252055_177 # 186884 # 187654 # 1 # ID=1_177;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_24_length_39856_cov_62.007358:11707-12513|-   -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.022   11.9   0.0     3    42    35    74    33   106 0.80 NODE_24_length_39856_cov_62.007358_11 # 11707 # 12513 # -1 # ID=24_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
