#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:13506-15011|-     -            502 21416                -            489  6.2e-246  814.2  11.4   1   1    3e-248  7.3e-246  813.9  11.4     3   488     5   498     3   499 0.97 tig00000001_8 # 13506 # 15011 # -1 # ID=1_8;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
tig00000001:187781-189616|-   -            612 21416                -            489   1.4e-59  199.5  12.2   1   2   5.9e-12   1.4e-09   34.6   3.2    25   259    13   251     2   260 0.66 tig00000001_205 # 187781 # 189616 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:187781-189616|-   -            612 21416                -            489   1.4e-59  199.5  12.2   2   2   4.5e-53   1.1e-50  170.2   1.7   243   485   358   602   292   606 0.86 tig00000001_205 # 187781 # 189616 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:2373963-2375303|- -            447 21416                -            489   8.3e-52  173.9   9.6   1   2     2e-05    0.0047   13.1   1.8   127   214   123   214    12   217 0.69 tig00000001_2306 # 2373963 # 2375303 # -1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
tig00000001:2373963-2375303|- -            447 21416                -            489   8.3e-52  173.9   9.6   2   2   1.1e-51   2.6e-49  165.6   1.2   263   486   220   443   216   446 0.93 tig00000001_2306 # 2373963 # 2375303 # -1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
tig00000001:1907337-1909073|- -            579 21416                -            489   2.7e-49  165.6  14.6   1   2    0.0021      0.51    6.4   6.7    95   261    66   241    28   263 0.55 tig00000001_1826 # 1907337 # 1909073 # -1 # ID=1_1826;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:1907337-1909073|- -            579 21416                -            489   2.7e-49  165.6  14.6   2   2   1.1e-50   2.7e-48  162.3   0.9   254   485   350   577   342   578 0.93 tig00000001_1826 # 1907337 # 1909073 # -1 # ID=1_1826;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:1014871-1015914|+ -            348 21416                -            489   3.9e-41  138.7   7.2   1   1   1.6e-43   3.9e-41  138.7   7.2   184   483    50   344    36   346 0.92 tig00000001_958 # 1014871 # 1015914 # 1 # ID=1_958;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000005:3665-4759|+       -            365 21416                -            489   4.9e-29   98.8   4.6   1   1   2.8e-31   6.8e-29   98.3   4.6   178   486    50   355    32   357 0.81 tig00000005_7 # 3665 # 4759 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422
tig00000001:631472-632680|+   -            403 21416                -            489   2.3e-27   93.3   1.7   1   1   1.3e-29   3.2e-27   92.8   1.7   257   488   157   388    83   389 0.80 tig00000001_578 # 631472 # 632680 # 1 # ID=1_578;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
tig00000001:2000840-2001397|+ -            186 21416                -            489   4.2e-27   92.4   2.4   1   1   2.3e-29   5.6e-27   92.0   2.4   310   487     4   181     2   183 0.87 tig00000001_1921 # 2000840 # 2001397 # 1 # ID=1_1921;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.348
tig00000005:36816-37181|+     -            122 21416                -            489   3.7e-22   76.1   0.1   1   1   1.8e-24   4.2e-22   75.9   0.1   386   486    14   112     6   115 0.94 tig00000005_47 # 36816 # 37181 # 1 # ID=5_47;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.470
tig00000001:1120404-1121429|+ -            342 21416                -            489   4.8e-20   69.1   1.4   1   2      0.93   2.2e+02   -2.3   0.1    15    36     7    28     4    34 0.72 tig00000001_1056 # 1120404 # 1121429 # 1 # ID=1_1056;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:1120404-1121429|+ -            342 21416                -            489   4.8e-20   69.1   1.4   2   2   1.1e-21   2.7e-19   66.7   0.4   184   486    40   334    21   336 0.84 tig00000001_1056 # 1120404 # 1121429 # 1 # ID=1_1056;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:505683-506579|-   -            299 21416                -            489     1e-16   58.1   5.1   1   1   5.1e-19   1.2e-16   57.9   5.1   194   483     5   293     1   297 0.80 tig00000001_477 # 505683 # 506579 # -1 # ID=1_477;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
tig00000001:1999950-2000840|+ -            297 21416                -            489   9.6e-13   45.0   4.2   1   1   9.6e-15   2.3e-12   43.8   4.2    77   288    52   280    24   284 0.65 tig00000001_1920 # 1999950 # 2000840 # 1 # ID=1_1920;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.383
tig00000001:2600301-2601086|+ -            262 21416                -            489   0.00029   17.1   0.7   1   1   1.2e-06   0.00029   17.1   0.7   381   487   143   249   132   251 0.82 tig00000001_2519 # 2600301 # 2601086 # 1 # ID=1_2519;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21416at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/21416at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21416at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:14:24 2026
# [ok]
