#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_185063_cov_65.589034:135276-135704|+  -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   8.4e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 NODE_5_length_185063_cov_65.589034_128 # 135276 # 135704 # 1 # ID=5_128;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NODE_2_length_304403_cov_65.784473:130905-131351|+  -            149 19279                -            138   4.5e-27   92.2   1.5   1   1   2.4e-29     5e-27   92.0   1.5     2   138     2   140     1   140 0.93 NODE_2_length_304403_cov_65.784473_124 # 130905 # 131351 # 1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NODE_9_length_122393_cov_64.141746:31068-31535|+    -            156 19279                -            138   3.5e-18   63.4   3.3   1   1     2e-20   4.1e-18   63.2   3.3     4   137     5   145     2   146 0.85 NODE_9_length_122393_cov_64.141746_23 # 31068 # 31535 # 1 # ID=9_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_3_length_223274_cov_181.317177:167739-168023|- -             95 19279                -            138     0.017   12.5   0.2   1   1   8.6e-05     0.018   12.5   0.2    36    69    23    57     2    83 0.81 NODE_3_length_223274_cov_181.317177_170 # 167739 # 168023 # -1 # ID=3_170;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
NODE_20_length_42062_cov_371.455566:15095-15775|-   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_19 # 15095 # 15775 # -1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_20_length_42062_cov_371.455566:15095-15775|-   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_19 # 15095 # 15775 # -1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_20_length_42062_cov_371.455566:23678-24358|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_29 # 23678 # 24358 # 1 # ID=20_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:23678-24358|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_29 # 23678 # 24358 # 1 # ID=20_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:26423-27103|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_32 # 26423 # 27103 # 1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:26423-27103|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_32 # 26423 # 27103 # 1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:31407-32087|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_39 # 31407 # 32087 # 1 # ID=20_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:31407-32087|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_39 # 31407 # 32087 # 1 # ID=20_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:36372-37052|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_45 # 36372 # 37052 # 1 # ID=20_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:36372-37052|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_45 # 36372 # 37052 # 1 # ID=20_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
