#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:801144-801788|+   -            215 28730                -            213  6.3e-116  382.9   0.1   1   1  2.3e-118    7e-116  382.7   0.1     1   212     1   212     1   213 0.99 contig_2_pilon_747 # 801144 # 801788 # 1 # ID=5_747;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
contig_2_pilon:528638-529345|+   -            236 28730                -            213   0.00068   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 contig_2_pilon_496 # 528638 # 529345 # 1 # ID=5_496;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2_pilon:528638-529345|+   -            236 28730                -            213   0.00068   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 contig_2_pilon_496 # 528638 # 529345 # 1 # ID=5_496;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2_pilon:361624-362277|+   -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 contig_2_pilon_334 # 361624 # 362277 # 1 # ID=5_334;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_2_pilon:361624-362277|+   -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.026   11.6   0.2   123   189   116   184   105   212 0.75 contig_2_pilon_334 # 361624 # 362277 # 1 # ID=5_334;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_2_pilon:955790-957427|+   -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.6e+02   -3.2   0.0    58    87   184   214   175   218 0.67 contig_2_pilon_921 # 955790 # 957427 # 1 # ID=5_921;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
contig_2_pilon:955790-957427|+   -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 contig_2_pilon_921 # 955790 # 957427 # 1 # ID=5_921;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
contig_2_pilon:955790-957427|+   -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.4    3.8   0.0    53    76   461   484   427   499 0.89 contig_2_pilon_921 # 955790 # 957427 # 1 # ID=5_921;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
contig_1_pilon:148006-149790|-   -            595 28730                -            213    0.0034   14.5   0.2   1   2    0.0031      0.95    6.5   0.0     6    25   384   403   381   413 0.83 contig_1_pilon_132 # 148006 # 149790 # -1 # ID=1_132;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
contig_1_pilon:148006-149790|-   -            595 28730                -            213    0.0034   14.5   0.2   2   2    0.0077       2.3    5.2   0.0    53    73   513   533   503   561 0.88 contig_1_pilon_132 # 148006 # 149790 # -1 # ID=1_132;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
contig_2_pilon:689506-690207|+   -            234 28730                -            213    0.0037   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 contig_2_pilon_643 # 689506 # 690207 # 1 # ID=5_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
