#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_59342_cov_60.374412:32456-33355|+   -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NODE_18_length_59342_cov_60.374412_29 # 32456 # 33355 # 1 # ID=18_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_1_length_304474_cov_63.252055:186884-187654|+ -            257 18171                -            288   0.00036   17.7   0.0   1   1   2.5e-06   0.00067   16.8   0.0   153   183    38    67     8    81 0.85 NODE_1_length_304474_cov_63.252055_177 # 186884 # 187654 # 1 # ID=1_177;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_10_length_113754_cov_99.095655:77382-78137|-  -            252 18171                -            288   0.00043   17.5   0.2   1   2   5.7e-06    0.0015   15.7   0.0   142   182    17    58     5    66 0.81 NODE_10_length_113754_cov_99.095655_76 # 77382 # 78137 # -1 # ID=10_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_10_length_113754_cov_99.095655:77382-78137|-  -            252 18171                -            288   0.00043   17.5   0.2   2   2      0.64   1.7e+02   -0.9   0.1   114   159   167   213   143   244 0.70 NODE_10_length_113754_cov_99.095655_76 # 77382 # 78137 # -1 # ID=10_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_32_length_27950_cov_55.508185:11290-12036|+   -            249 18171                -            288    0.0018   15.4   0.2   1   2    0.0013      0.34    8.0   0.0   148   182    28    62    10    81 0.80 NODE_32_length_27950_cov_55.508185_12 # 11290 # 12036 # 1 # ID=32_12;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_32_length_27950_cov_55.508185:11290-12036|+   -            249 18171                -            288    0.0018   15.4   0.2   2   2    0.0061       1.6    5.7   0.0   113   189   169   244   138   247 0.75 NODE_32_length_27950_cov_55.508185_12 # 11290 # 12036 # 1 # ID=32_12;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_26_length_32562_cov_63.418796:3366-4106|+     -            247 18171                -            288    0.0026   14.9   0.1   1   2   0.00095      0.25    8.4   0.0   150   172    26    48     9    77 0.77 NODE_26_length_32562_cov_63.418796_4 # 3366 # 4106 # 1 # ID=26_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_26_length_32562_cov_63.418796:3366-4106|+     -            247 18171                -            288    0.0026   14.9   0.1   2   2     0.013       3.5    4.6   0.0   112   152   163   203   119   214 0.85 NODE_26_length_32562_cov_63.418796_4 # 3366 # 4106 # 1 # ID=26_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_19_length_58687_cov_59.880605:32343-32981|+   -            213 18171                -            288    0.0031   14.6   0.0   1   1   1.9e-05    0.0051   13.9   0.0   136   172    13    51     6    91 0.79 NODE_19_length_58687_cov_59.880605_29 # 32343 # 32981 # 1 # ID=19_29;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 18171                -            288    0.0042   14.2   1.5   1   2   0.00014     0.038   11.1   0.1   147   182    29    64     1    87 0.75 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 18171                -            288    0.0042   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_24_length_39856_cov_62.007358:11707-12513|-   -            269 18171                -            288    0.0048   14.0   0.1   1   1   3.2e-05    0.0084   13.2   0.1   152   182    36    66     4    83 0.80 NODE_24_length_39856_cov_62.007358_11 # 11707 # 12513 # -1 # ID=24_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
NODE_14_length_67873_cov_82.007916:37597-38298|-   -            234 18171                -            288    0.0054   13.9   0.0   1   1   2.7e-05    0.0072   13.4   0.0   123   171     5    53     1    64 0.77 NODE_14_length_67873_cov_82.007916_30 # 37597 # 38298 # -1 # ID=14_30;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_9_length_122393_cov_61.758630:63224-65110|-   -            629 18171                -            288    0.0056   13.8   0.1   1   2      0.47   1.2e+02   -0.5   0.0   156   172    35    51    14    54 0.79 NODE_9_length_122393_cov_61.758630_67 # 63224 # 65110 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_9_length_122393_cov_61.758630:63224-65110|-   -            629 18171                -            288    0.0056   13.8   0.1   2   2   0.00013     0.035   11.2   0.0   151   183   349   380   310   399 0.74 NODE_9_length_122393_cov_61.758630_67 # 63224 # 65110 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
