ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	NODE_30_length_26158_cov_60.714258:14408-1,NODE_45_length_1695_cov_58.453069:1695-1,NODE_15_length_62801_cov_61.371830:1-62801,NODE_11_length_113754_cov_100.754285:113754-1,NODE_18_length_43876_cov_94.008302:43876-1,NODE_13_length_76137_cov_127.027265:1-76137,NODE_23_length_33126_cov_91.045387:33126-1,NODE_41_length_3039_cov_52.380534:1-3039,NODE_46_length_1677_cov_51.476277:1-1677,NODE_12_length_96937_cov_75.325559:96937-1,NODE_26_length_31036_cov_54.889785:31036-1,NODE_31_length_20136_cov_58.816694:1-20136,NODE_16_length_58686_cov_60.941844:1-58686,NODE_33_length_14421_cov_57.543925:1-14421,NODE_28_length_28698_cov_57.404326:1-28698,NODE_47_length_899_cov_52.227483:899-1,NODE_36_length_10293_cov_51.945322:10293-1,NODE_27_length_29482_cov_89.132840:1-29482,NODE_35_length_13809_cov_53.503775:13809-1,NODE_7_length_162800_cov_68.413407:1-162800,NODE_8_length_133129_cov_72.724935:133129-1,NODE_17_length_58283_cov_66.770060:58283-1,NODE_40_length_5580_cov_50.773932:1-5580,NODE_5_length_185063_cov_65.589034:1-185063,NODE_34_length_14199_cov_51.636595:14199-1,NODE_29_length_28084_cov_171.365477:1-28084,NODE_1_length_385945_cov_86.278628:1-385945,NODE_2_length_304403_cov_65.784473:304403-1,NODE_9_length_122393_cov_64.141746:122393-1,NODE_6_length_183174_cov_88.861183:1-183174,NODE_4_length_193524_cov_77.069373:193524-1,NODE_10_length_119333_cov_96.609128:119333-1,NODE_22_length_39694_cov_61.137995:1-39694,NODE_21_length_41253_cov_73.830252:1-41253,NODE_24_length_31737_cov_58.637144:31737-1,NODE_25_length_31611_cov_63.624042:1-31611,NODE_38_length_8292_cov_62.221940:1-8292,NODE_32_length_17573_cov_156.005131:17573-1,NODE_44_length_1698_cov_53.139940:1698-1,NODE_30_length_26158_cov_60.714258:26158-14409
gene-EfmE745_RS00005		1	1335	complete	NODE_30_length_26158_cov_60.714258:14408-13074
gene-EfmE745_RS00010		1533	2663	complete	NODE_30_length_26158_cov_60.714258:12876-11746
gene-EfmE745_RS00015		2892	3134	complete	NODE_30_length_26158_cov_60.714258:11517-11275
gene-EfmE745_RS00020		3121	4245	complete	NODE_30_length_26158_cov_60.714258:11288-10164
gene-EfmE745_RS00025		4242	6188	complete	NODE_30_length_26158_cov_60.714258:10167-8221
gene-EfmE745_RS00030		6208	8679	complete	NODE_30_length_26158_cov_60.714258:8201-5730
gene-EfmE745_RS00035		8915	9214	complete	NODE_30_length_26158_cov_60.714258:5494-5195
gene-EfmE745_RS00040		9264	9776	complete	NODE_30_length_26158_cov_60.714258:5145-4633
gene-EfmE745_RS00045		9802	10038	complete	NODE_30_length_26158_cov_60.714258:4607-4371
gene-EfmE745_RS00050		10181	12154	complete	NODE_30_length_26158_cov_60.714258:4228-2255
gene-EfmE745_RS00055		12160	12612	complete	NODE_30_length_26158_cov_60.714258:2249-1797
gene-EfmE745_RS00060		12886	14253	complete	NODE_30_length_26158_cov_60.714258:1523-156
gene-EfmE745_RS00065		15033	16325	complete	NODE_45_length_1695_cov_58.453069:1506-214
gene-EfmE745_RS00070		17112	17975	complete	NODE_15_length_62801_cov_61.371830:141-1004
gene-EfmE745_RS00075		18104	19726	complete	NODE_15_length_62801_cov_61.371830:1133-2755
gene-EfmE745_RS00080		19975	20496	complete	NODE_15_length_62801_cov_61.371830:3004-3525
gene-EfmE745_RS00085		20682	22412	complete	NODE_15_length_62801_cov_61.371830:3711-5441
gene-EfmE745_RS00090		22577	23395	complete	NODE_15_length_62801_cov_61.371830:5606-6424
gene-EfmE745_RS00095		23498	23695	complete	NODE_15_length_62801_cov_61.371830:6527-6724
