#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_113754_cov_100.754285:8452-9864|-    -            471 27917                -            458  8.7e-212  701.4   3.4   1   1  1.9e-214    1e-211  701.2   3.4     1   457    21   468    21   469 0.99 NODE_11_length_113754_cov_100.754285_8 # 8452 # 9864 # -1 # ID=11_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_7_length_162800_cov_68.413407:58008-59369|+    -            454 27917                -            458   6.2e-28   95.4   1.6   1   1   1.8e-30   9.4e-28   94.8   1.6   105   377   113   371   103   429 0.82 NODE_7_length_162800_cov_68.413407_61 # 58008 # 59369 # 1 # ID=7_61;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
NODE_10_length_119333_cov_96.609128:106426-107931|- -            502 27917                -            458   5.8e-18   62.5   0.2   1   2   2.5e-13   1.3e-10   38.3   0.2    22   129    33   138    18   145 0.84 NODE_10_length_119333_cov_96.609128_78 # 106426 # 107931 # -1 # ID=10_78;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_10_length_119333_cov_96.609128:106426-107931|- -            502 27917                -            458   5.8e-18   62.5   0.2   2   2     3e-08   1.5e-05   21.5   0.0   228   441   255   471   241   481 0.72 NODE_10_length_119333_cov_96.609128_78 # 106426 # 107931 # -1 # ID=10_78;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_8_length_133129_cov_72.724935:117814-119166|+  -            451 27917                -            458   1.6e-12   44.6   0.7   1   2   1.3e-06   0.00067   16.1   0.1   105   197    50   143    43   230 0.67 NODE_8_length_133129_cov_72.724935_109 # 117814 # 119166 # 1 # ID=8_109;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_8_length_133129_cov_72.724935:117814-119166|+  -            451 27917                -            458   1.6e-12   44.6   0.7   2   2   6.4e-10   3.3e-07   27.0   0.0   255   319   246   307   237   353 0.79 NODE_8_length_133129_cov_72.724935_109 # 117814 # 119166 # 1 # ID=8_109;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_1_length_385945_cov_86.278628:322048-323382|+  -            445 27917                -            458     6e-11   39.3   0.3   1   3      0.14        73   -0.5   0.0    21    63    47    89    36    96 0.87 NODE_1_length_385945_cov_86.278628_324 # 322048 # 323382 # 1 # ID=1_324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_1_length_385945_cov_86.278628:322048-323382|+  -            445 27917                -            458     6e-11   39.3   0.3   2   3   0.00072      0.37    7.1   0.0   105   127   106   128    99   135 0.89 NODE_1_length_385945_cov_86.278628_324 # 322048 # 323382 # 1 # ID=1_324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_1_length_385945_cov_86.278628:322048-323382|+  -            445 27917                -            458     6e-11   39.3   0.3   3   3   1.9e-10   9.8e-08   28.8   0.0   179   347   166   330   161   371 0.82 NODE_1_length_385945_cov_86.278628_324 # 322048 # 323382 # 1 # ID=1_324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_18_length_58283_cov_66.770060:52844-54157|-    -            438 27917                -            458   7.3e-06   22.6   0.9   1   2      0.11        55   -0.1   0.0   104   128    39    63    23    70 0.81 NODE_18_length_58283_cov_66.770060_58 # 52844 # 54157 # -1 # ID=18_58;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_18_length_58283_cov_66.770060:52844-54157|-    -            438 27917                -            458   7.3e-06   22.6   0.9   2   2   6.6e-08   3.4e-05   20.4   0.2   156   294   137   273   127   298 0.80 NODE_18_length_58283_cov_66.770060_58 # 52844 # 54157 # -1 # ID=18_58;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/27917at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:17:30 2026
# [ok]
