#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_80003_cov_31.743608:39509-40369|+ -            287 20420                -            282  5.4e-169  558.0   0.4   1   1  1.8e-171  6.1e-169  557.8   0.4     1   281     1   281     1   282 1.00 NODE_11_length_80003_cov_31.743608_43 # 39509 # 40369 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 20420                -            282   1.7e-15   54.4   0.0   1   2   1.3e-10   4.4e-08   30.0   0.0   125   175     8    61     4    72 0.89 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 20420                -            282   1.7e-15   54.4   0.0   2   2   5.1e-08   1.7e-05   21.5   0.0    16   157    75   211    66   254 0.76 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 20420                -            282   5.7e-11   39.5   0.1   1   2     5e-13   1.7e-10   37.9   0.1   125   180    11    69     5    81 0.83 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 20420                -            282   5.7e-11   39.5   0.1   2   2      0.92   3.1e+02   -2.3   0.0    50    94   114   160    78   165 0.51 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 20420                -            282     3e-07   27.3   1.5   1   2   2.1e-07   7.1e-05   19.5   0.1   108   175   215   285   130   298 0.82 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 20420                -            282     3e-07   27.3   1.5   2   2    0.0015      0.51    6.9   0.1    25    86   308   369   297   384 0.76 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_20_length_45277_cov_34.462408:39129-40238|+ -            370 20420                -            282   3.1e-07   27.3   0.1   1   1   1.8e-09     6e-07   26.3   0.1    32   188    82   237    72   257 0.74 NODE_20_length_45277_cov_34.462408_41 # 39129 # 40238 # 1 # ID=20_41;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_8_length_86165_cov_28.227035:65050-65637|-  -            196 20420                -            282   4.6e-07   26.7   0.0   1   1   2.2e-09   7.6e-07   26.0   0.0   127   186    30    90    25   133 0.83 NODE_8_length_86165_cov_28.227035_60 # 65050 # 65637 # -1 # ID=8_60;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 20420                -            282   0.00074   16.2   0.1   1   2   1.4e-05    0.0048   13.5   0.0   120   152     2    33     1    39 0.79 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 20420                -            282   0.00074   16.2   0.1   2   2      0.19        64   -0.0   0.0    50   102   199   256   193   275 0.67 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 20420                -            282    0.0021   14.7   0.1   1   3   6.2e-06    0.0021   14.7   0.1   125   176     5    57     1    75 0.83 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 20420                -            282    0.0021   14.7   0.1   2   3      0.31   1.1e+02   -0.8   0.0    45   105    98   160    77   164 0.70 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 20420                -            282    0.0021   14.7   0.1   3   3      0.73   2.5e+02   -2.0   0.1    66   106   190   234   182   239 0.61 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 20420                -            282     0.013   12.1   4.1   1   3       2.2   7.6e+02   -3.6   0.0   215   247    17    45    11    52 0.67 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 20420                -            282     0.013   12.1   4.1   2   3   0.00019     0.064    9.8   0.1    93   141   163   214   153   222 0.70 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 20420                -            282     0.013   12.1   4.1   3   3     0.024       8.3    2.9   0.4     3   104   252   352   250   361 0.67 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/20420at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/20420at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/20420at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:30 2026
# [ok]
