#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:99176-99703|-   -            176 18111                -            174     3e-98  324.1   2.4   1   1  6.5e-101   3.3e-98  324.0   2.4     1   174     1   174     1   174 0.99 NODE_6_length_183174_cov_88.861183_87 # 99176 # 99703 # -1 # ID=6_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_8_length_133129_cov_72.724935:26500-27264|-   -            255 18111                -            174   1.3e-08   32.2   0.0   1   2    0.0037       1.9    5.7   0.0    27    77     3    51     1    81 0.78 NODE_8_length_133129_cov_72.724935_23 # 26500 # 27264 # -1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_8_length_133129_cov_72.724935:26500-27264|-   -            255 18111                -            174   1.3e-08   32.2   0.0   2   2   6.4e-09   3.3e-06   24.5   0.1    92   136   181   225   177   230 0.94 NODE_8_length_133129_cov_72.724935_23 # 26500 # 27264 # -1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_11_length_113754_cov_100.754285:19118-19813|- -            232 18111                -            174   4.7e-05   20.7   0.0   1   2      0.61   3.2e+02   -1.5   0.1    27    42     3    18     1    25 0.82 NODE_11_length_113754_cov_100.754285_18 # 19118 # 19813 # -1 # ID=11_18;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_11_length_113754_cov_100.754285:19118-19813|- -            232 18111                -            174   4.7e-05   20.7   0.0   2   2   2.9e-07   0.00015   19.1   0.0    61   134   118   197    99   203 0.79 NODE_11_length_113754_cov_100.754285_18 # 19118 # 19813 # -1 # ID=11_18;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_4_length_193524_cov_77.069373:93352-94059|-   -            236 18111                -            174   0.00073   16.8   0.0   1   2      0.87   4.5e+02   -2.0   0.0    27    44     2    19     1    31 0.81 NODE_4_length_193524_cov_77.069373_73 # 93352 # 94059 # -1 # ID=4_73;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_4_length_193524_cov_77.069373:93352-94059|-   -            236 18111                -            174   0.00073   16.8   0.0   2   2   5.7e-06    0.0029   14.9   0.0    48   132   104   199    96   205 0.80 NODE_4_length_193524_cov_77.069373_73 # 93352 # 94059 # -1 # ID=4_73;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_5_length_185063_cov_65.589034:155317-156012|+ -            232 18111                -            174    0.0028   14.9   0.0   1   3     0.021        11    3.3   0.0    27    40     2    15     1    36 0.91 NODE_5_length_185063_cov_65.589034_147 # 155317 # 156012 # 1 # ID=5_147;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
NODE_5_length_185063_cov_65.589034:155317-156012|+ -            232 18111                -            174    0.0028   14.9   0.0   2   3       1.3   6.6e+02   -2.6   0.0    75   106    60    91    42   103 0.68 NODE_5_length_185063_cov_65.589034_147 # 155317 # 156012 # 1 # ID=5_147;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
NODE_5_length_185063_cov_65.589034:155317-156012|+ -            232 18111                -            174    0.0028   14.9   0.0   3   3   0.00032      0.17    9.1   0.0   102   139   159   196   140   223 0.83 NODE_5_length_185063_cov_65.589034_147 # 155317 # 156012 # 1 # ID=5_147;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
NODE_1_length_385945_cov_86.278628:381370-382083|+ -            238 18111                -            174     0.022   12.0   0.0   1   1   0.00011     0.059   10.6   0.0    54   138    98   190    85   199 0.76 NODE_1_length_385945_cov_86.278628_383 # 381370 # 382083 # 1 # ID=1_383;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18111at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:10:53 2026
# [ok]
