# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcaceae_odb12 (Creation date: 2025-05-14, number of genomes: 19, number of BUSCOs: 714)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at81852	Complete	tig00000001_pilon_pilon	2229628	2232273	+	1669.6	878
444at81852	Complete	tig00000001_pilon_pilon	993792	991498	-	1396.8	751
599at81852	Complete	tig00000001_pilon_pilon	1529263	1531272	+	1419.4	669
705at81852	Complete	tig00000001_pilon_pilon	38769	36829	-	1363.6	643
814at81852	Complete	tig00000001_pilon_pilon	2165933	2164128	-	1068.7	601
837at81852	Complete	tig00000001_pilon_pilon	1736078	1738435	+	1372.9	770
1249at81852	Complete	tig00000001_pilon_pilon	2660549	2658663	-	1079.4	621
1360at81852	Duplicated	tig00000001_pilon_pilon	689045	687480	-	1090.2	518
1360at81852	Duplicated	tig00000002_pilon_pilon	123297	124910	+	1086.2	510
1399at81852	Complete	tig00000001_pilon_pilon	740007	741689	+	1002.8	557
1424at81852	Complete	tig00000001_pilon_pilon	2412659	2414365	+	969.3	562
1614at81852	Complete	tig00000001_pilon_pilon	1909127	1907391	-	715.1	554
1719at81852	Complete	tig00000001_pilon_pilon	2507963	2504436	-	1557.7	1148
1785at81852	Complete	tig00000001_pilon_pilon	2433089	2431419	-	1029.0	555
2159at81852	Complete	tig00000001_pilon_pilon	663430	664722	+	938.6	429
2313at81852	Complete	tig00000001_pilon_pilon	1568610	1569941	+	763.5	436
2597at81852	Complete	tig00000001_pilon_pilon	1858782	1861571	+	1170.9	859
2754at81852	Complete	tig00000001_pilon_pilon	699824	700990	+	776.8	388
2768at81852	Complete	tig00000001_pilon_pilon	1302224	1303519	+	901.1	428
3237at81852	Complete	tig00000001_pilon_pilon	119261	118041	-	468.1	328
3315at81852	Complete	tig00000001_pilon_pilon	2441486	2440137	-	845.8	445
3330at81852	Complete	tig00000001_pilon_pilon	264203	262911	-	822.7	427
3398at81852	Complete	tig00000001_pilon_pilon	1538518	1537409	-	775.6	367
3625at81852	Complete	tig00000001_pilon_pilon	254839	251711	-	826.2	903
3809at81852	Complete	tig00000001_pilon_pilon	187793	186477	-	441.8	409
3920at81852	Complete	tig00000001_pilon_pilon	1125127	1123931	-	727.0	384
4084at81852	Complete	tig00000001_pilon_pilon	2189314	2190687	+	798.1	451
4559at81852	Complete	tig00000001_pilon_pilon	1162042	1163277	+	812.0	410
4733at81852	Complete	tig00000001_pilon_pilon	2541246	2540122	-	395.6	360
4745at81852	Complete	tig00000001_pilon_pilon	893233	894312	+	703.4	357
4818at81852	Complete	tig00000001_pilon_pilon	796914	797915	+	665.4	329
4862at81852	Complete	tig00000001_pilon_pilon	723091	724029	+	669.8	312
5602at81852	Complete	tig00000001_pilon_pilon	2476822	2475881	-	567.7	310
5782at81852	Complete	tig00000001_pilon_pilon	2188148	2189203	+	641.7	340
6455at81852	Complete	tig00000001_pilon_pilon	1535321	1536205	+	561.7	290
6584at81852	Complete	tig00000001_pilon_pilon	2554600	2552957	-	967.3	524
6804at81852	Complete	tig00000001_pilon_pilon	1785522	1786424	+	565.0	292
6992at81852	Complete	tig00000001_pilon_pilon	1159973	1160746	+	538.7	256
7212at81852	Complete	tig00000001_pilon_pilon	2101843	2102655	+	483.6	257
7426at81852	Complete	tig00000001_pilon_pilon	1533990	1534766	+	497.9	255
7677at81852	Complete	tig00000001_pilon_pilon	726383	727180	+	515.4	263
7733at81852	Complete	tig00000001_pilon_pilon	703540	702854	-	467.8	228
7785at81852	Complete	tig00000001_pilon_pilon	61096	60134	-	510.3	315
7807at81852	Complete	tig00000001_pilon_pilon	1158928	1159776	+	445.3	278
7842at81852	Complete	tig00000001_pilon_pilon	701014	701832	+	513.9	269
7856at81852	Complete	tig00000001_pilon_pilon	2492048	2491215	-	449.0	264
8193at81852	Complete	tig00000001_pilon_pilon	1274810	1275637	+	516.6	270
8319at81852	Complete	tig00000001_pilon_pilon	1999294	2000010	+	484.0	238
8577at81852	Complete	tig00000001_pilon_pilon	93460	92795	-	417.2	220
8817at81852	Complete	tig00000001_pilon_pilon	578220	578906	+	197.5	220
8931at81852	Complete	tig00000001_pilon_pilon	2673986	2673306	-	369.8	221
9080at81852	Complete	tig00000001_pilon_pilon	2649859	2649092	-	419.8	252
9100at81852	Complete	tig00000001_pilon_pilon	705109	704426	-	397.0	223
9243at81852	Complete	tig00000001_pilon_pilon	1384259	1383612	-	361.6	213
9623at81852	Complete	tig00000001_pilon_pilon	1760962	1761855	+	508.3	294
9626at81852	Complete	tig00000001_pilon_pilon	86332	85724	-	406.0	202
9919at81852	Complete	tig00000001_pilon_pilon	2459017	2458340	-	382.3	212
10082at81852	Complete	tig00000001_pilon_pilon	2638996	2639634	+	366.0	209
10162at81852	Complete	tig00000001_pilon_pilon	424894	423320	-	515.1	386
10394at81852	Complete	tig00000001_pilon_pilon	1534759	1535328	+	313.0	185
10425at81852	Complete	tig00000001_pilon_pilon	2085889	2086431	+	233.5	175
10444at81852	Complete	tig00000001_pilon_pilon	716188	716727	+	390.2	179
11095at81852	Complete	tig00000001_pilon_pilon	2428589	2428050	-	322.2	176
11126at81852	Complete	tig00000001_pilon_pilon	2156544	2156023	-	243.3	170
11129at81852	Complete	tig00000001_pilon_pilon	233540	233037	-	332.4	167
11163at81852	Complete	tig00000001_pilon_pilon	2459722	2459024	-	284.0	224
11308at81852	Complete	tig00000001_pilon_pilon	718471	718971	+	341.4	164
12247at81852	Complete	tig00000001_pilon_pilon	694323	694721	+	243.4	128
12767at81852	Complete	tig00000001_pilon_pilon	2234957	2236330	+	466.9	445
13299at81852	Complete	tig00000001_pilon_pilon	267509	267063	-	246.7	147
13490at81852	Complete	tig00000001_pilon_pilon	739593	739955	+	233.0	120
13534at81852	Complete	tig00000001_pilon_pilon	1137787	1138131	+	192.7	113
13735at81852	Complete	tig00000001_pilon_pilon	2520630	2520286	-	194.0	108
13742at81852	Complete	tig00000001_pilon_pilon	2540141	2539695	-	190.7	139
14302at81852	Complete	tig00000001_pilon_pilon	722622	723011	+	276.5	127
14325at81852	Complete	tig00000001_pilon_pilon	2184934	2185239	+	172.2	100
15052at81852	Complete	tig00000001_pilon_pilon	715852	716160	+	152.5	72
15301at81852	Complete	tig00000001_pilon_pilon	721844	722062	+	171.5	72
15393at81852	Complete	tig00000001_pilon_pilon	2536903	2536286	-	226.3	202
15547at81852	Complete	tig00000001_pilon_pilon	745014	745256	+	139.3	78
15646at81852	Complete	tig00000001_pilon_pilon	1650801	1651106	+	176.6	99
15803at81852	Complete	tig00000001_pilon_pilon	2515806	2515618	-	84.2	59
15847at81852	Complete	tig00000001_pilon_pilon	739323	739135	-	144.6	62
16163at81852	Complete	tig00000001_pilon_pilon	716746	716931	+	152.9	61
16176at81852	Complete	tig00000001_pilon_pilon	2631010	2630249	-	495.4	255
16182at81852	Complete	tig00000001_pilon_pilon	2663892	2663437	-	288.2	149
16202at81852	Complete	tig00000001_pilon_pilon	722095	722211	+	91.4	37
16208at81852	Complete	tig00000001_pilon_pilon	1303618	1303881	+	197.8	86
16239at81852	Complete	tig00000001_pilon_pilon	2658651	2657704	-	577.2	315
16281at81852	Complete	tig00000001_pilon_pilon	1495929	1496525	+	400.5	189
16282at81852	Complete	tig00000001_pilon_pilon	440153	439935	-	154.0	72
16291at81852	Complete	tig00000001_pilon_pilon	713165	713443	+	202.8	92
16304at81852	Complete	tig00000001_pilon_pilon	1849925	1850428	+	307.4	162
16315at81852	Complete	tig00000001_pilon_pilon	221183	221031	-	106.9	49
16346at81852	Complete	tig00000001_pilon_pilon	575496	575053	-	312.7	147
16368at81852	Complete	tig00000001_pilon_pilon	1326213	1324024	-	1537.0	718
16375at81852	Complete	tig00000001_pilon_pilon	2594121	2593561	-	240.1	171
16403at81852	Complete	tig00000001_pilon_pilon	721006	721653	+	429.5	215
16463at81852	Complete	tig00000001_pilon_pilon	619956	618706	-	880.7	411
16466at81852	Complete	tig00000001_pilon_pilon	1650082	1650348	+	177.2	88
16470at81852	Complete	tig00000001_pilon_pilon	2605411	2604263	-	758.4	381
16490at81852	Complete	tig00000001_pilon_pilon	442089	442862	+	366.1	247
16520at81852	Complete	tig00000001_pilon_pilon	2451134	2449968	-	786.1	385
16545at81852	Complete	tig00000001_pilon_pilon	185552	184743	-	515.6	266
16567at81852	Complete	tig00000001_pilon_pilon	1714916	1713549	-	875.6	449
16610at81852	Complete	tig00000001_pilon_pilon	1863396	1864694	+	882.9	432
16621at81852	Complete	tig00000001_pilon_pilon	2653162	2652935	-	121.6	72
16633at81852	Complete	tig00000001_pilon_pilon	1724951	1725706	+	523.3	251
16637at81852	Complete	tig00000001_pilon_pilon	713827	714483	+	474.7	217
16651at81852	Complete	tig00000001_pilon_pilon	256782	256159	-	364.3	202
16665at81852	Complete	tig00000001_pilon_pilon	377472	375058	-	1717.7	804
16677at81852	Complete	tig00000001_pilon_pilon	714486	714920	+	308.9	140
16693at81852	Complete	tig00000001_pilon_pilon	1760292	1760978	+	480.2	228
16696at81852	Complete	tig00000001_pilon_pilon	50722	50072	-	357.3	200
16720at81852	Complete	tig00000001_pilon_pilon	657312	657611	+	189.1	97
