#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_162800_cov_68.413407:6411-7055|+     -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.2e-116  382.7   0.1     1   212     1   212     1   213 0.99 NODE_7_length_162800_cov_68.413407_7 # 6411 # 7055 # 1 # ID=7_7;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
NODE_12_length_96937_cov_75.325559:54458-55165|-   -            236 28730                -            213    0.0007   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 NODE_12_length_96937_cov_75.325559_50 # 54458 # 55165 # -1 # ID=12_50;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_12_length_96937_cov_75.325559:54458-55165|-   -            236 28730                -            213    0.0007   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 NODE_12_length_96937_cov_75.325559_50 # 54458 # 55165 # -1 # ID=12_50;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_19_length_43876_cov_94.008302:7659-8312|-     -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 NODE_19_length_43876_cov_94.008302_9 # 7659 # 8312 # -1 # ID=19_9;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_19_length_43876_cov_94.008302:7659-8312|-     -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.027   11.6   0.2   123   189   116   184   105   212 0.75 NODE_19_length_43876_cov_94.008302_9 # 7659 # 8312 # -1 # ID=19_9;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_7_length_162800_cov_68.413407:161057-162694|+ -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.8e+02   -3.2   0.0    58    87   184   214   175   218 0.67 NODE_7_length_162800_cov_68.413407_181 # 161057 # 162694 # 1 # ID=7_181;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
NODE_7_length_162800_cov_68.413407:161057-162694|+ -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 NODE_7_length_162800_cov_68.413407_181 # 161057 # 162694 # 1 # ID=7_181;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
NODE_7_length_162800_cov_68.413407:161057-162694|+ -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.5    3.8   0.0    53    76   461   484   427   499 0.89 NODE_7_length_162800_cov_68.413407_181 # 161057 # 162694 # 1 # ID=7_181;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.401
NODE_10_length_119333_cov_96.609128:88551-90335|-  -            595 28730                -            213    0.0035   14.5   0.2   1   2    0.0031      0.97    6.5   0.0     6    25   384   403   381   413 0.83 NODE_10_length_119333_cov_96.609128_66 # 88551 # 90335 # -1 # ID=10_66;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_10_length_119333_cov_96.609128:88551-90335|-  -            595 28730                -            213    0.0035   14.5   0.2   2   2    0.0077       2.4    5.2   0.0    53    73   513   533   503   561 0.88 NODE_10_length_119333_cov_96.609128_66 # 88551 # 90335 # -1 # ID=10_66;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_17_length_58686_cov_60.941844:53479-54180|+   -            234 28730                -            213    0.0038   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 NODE_17_length_58686_cov_60.941844_52 # 53479 # 54180 # 1 # ID=17_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_17_length_58686_cov_60.941844:53479-54180|+   -            234 28730                -            213    0.0038   14.4   0.3   2   2   0.00028     0.087    9.9   0.1   127   163   122   157   105   210 0.82 NODE_17_length_58686_cov_60.941844_52 # 53479 # 54180 # 1 # ID=17_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_162800_cov_68.413407:15208-15975|+   -            256 28730                -            213    0.0044   14.1   0.1   1   2   4.1e-05     0.012   12.7   0.1     2    24    33    55    32    78 0.85 NODE_7_length_162800_cov_68.413407_16 # 15208 # 15975 # 1 # ID=7_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_7_length_162800_cov_68.413407:15208-15975|+   -            256 28730                -            213    0.0044   14.1   0.1   2   2       2.4   7.5e+02   -3.0   0.0    17    40   181   204   161   215 0.51 NODE_7_length_162800_cov_68.413407_16 # 15208 # 15975 # 1 # ID=7_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_2_length_304403_cov_65.784473:186884-187654|+ -            257 28730                -            213     0.009   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 NODE_2_length_304403_cov_65.784473_178 # 186884 # 187654 # 1 # ID=2_178;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
