#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1993140-1994540|- -            467 27654                -            464  3.9e-270  893.9  19.6   1   1  4.2e-273  4.4e-270  893.7  19.6     1   464     1   466     1   466 0.98 NZ_CP014529.1_1947 # 1993140 # 1994540 # -1 # ID=1_1947;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:1522719-1523969|+ -            417 27654                -            464   6.8e-58  194.2   7.6   1   3   2.9e-29     3e-26   89.8   0.0     7   109    63   168    57   174 0.87 NZ_CP014529.1_1492 # 1522719 # 1523969 # 1 # ID=1_1492;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:1522719-1523969|+ -            417 27654                -            464   6.8e-58  194.2   7.6   2   3   4.5e-13   4.6e-10   36.5   0.4   266   332   172   251   163   255 0.74 NZ_CP014529.1_1492 # 1522719 # 1523969 # 1 # ID=1_1492;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:1522719-1523969|+ -            417 27654                -            464   6.8e-58  194.2   7.6   3   3   1.2e-23   1.3e-20   71.3   0.9   339   443   295   395   286   403 0.90 NZ_CP014529.1_1492 # 1522719 # 1523969 # 1 # ID=1_1492;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:2185697-2187931|+ -            745 27654                -            464   4.1e-07   26.8   0.0   1   5    0.0079       8.1    2.7   0.1    51    76   140   165   129   182 0.86 NZ_CP014529.1_2122 # 2185697 # 2187931 # 1 # ID=1_2122;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
NZ_CP014529.1:2185697-2187931|+ -            745 27654                -            464   4.1e-07   26.8   0.0   2   5      0.16   1.6e+02   -1.6   0.0   265   286   207   227   200   268 0.72 NZ_CP014529.1_2122 # 2185697 # 2187931 # 1 # ID=1_2122;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
NZ_CP014529.1:2185697-2187931|+ -            745 27654                -            464   4.1e-07   26.8   0.0   3   5       2.5   2.6e+03   -5.6   2.8   142   185   370   413   341   417 0.55 NZ_CP014529.1_2122 # 2185697 # 2187931 # 1 # ID=1_2122;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
NZ_CP014529.1:2185697-2187931|+ -            745 27654                -            464   4.1e-07   26.8   0.0   4   5   3.9e-10   4.1e-07   26.8   0.0     5    74   428   492   423   514 0.84 NZ_CP014529.1_2122 # 2185697 # 2187931 # 1 # ID=1_2122;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
NZ_CP014529.1:2185697-2187931|+ -            745 27654                -            464   4.1e-07   26.8   0.0   5   5      0.22   2.2e+02   -2.1   0.0   340   387   623   666   620   703 0.64 NZ_CP014529.1_2122 # 2185697 # 2187931 # 1 # ID=1_2122;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27654at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27654at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27654at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:51 2026
# [ok]
