#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:120989-122089|-   -            367 19956                -            366  9.9e-246  811.6   6.7   1   1  2.5e-248  1.1e-245  811.4   6.7     1   366     1   366     1   366 1.00 contig_2_96 # 120989 # 122089 # -1 # ID=5_96;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
contig_1:806661-807974|+   -            438 19956                -            366   9.1e-18   61.5   0.1   1   2   5.1e-17   2.2e-14   50.4   0.0     5   138   163   273   159   290 0.87 contig_1_764 # 806661 # 807974 # 1 # ID=1_764;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
contig_1:806661-807974|+   -            438 19956                -            366   9.1e-18   61.5   0.1   2   2    0.0085       3.7    3.6   0.0   254   302   312   360   294   384 0.78 contig_1_764 # 806661 # 807974 # 1 # ID=1_764;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
contig_1:614022-615332|+   -            437 19956                -            366   5.1e-05   19.6   4.2   1   5   2.4e-05     0.011   12.0   0.0     4    23     5    24     1    34 0.89 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 19956                -            366   5.1e-05   19.6   4.2   2   5       0.4   1.7e+02   -1.9   0.0   219   252    66   101    59   115 0.75 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 19956                -            366   5.1e-05   19.6   4.2   3   5    0.0016       0.7    6.0   0.0     6    22   178   194   174   200 0.88 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 19956                -            366   5.1e-05   19.6   4.2   4   5      0.25   1.1e+02   -1.2   0.0   222   252   246   276   235   285 0.79 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 19956                -            366   5.1e-05   19.6   4.2   5   5      0.17        75   -0.7   0.1   167   167   295   295   246   364 0.53 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_2:1108527-1109756|+ -            410 19956                -            366    0.0012   15.1   0.0   1   1   4.8e-06    0.0021   14.3   0.0     5    39   196   230   193   257 0.93 contig_2_1059 # 1108527 # 1109756 # 1 # ID=5_1059;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
contig_1:635070-635930|+   -            287 19956                -            366    0.0075   12.5   0.0   1   1   2.8e-05     0.012   11.8   0.0     2    34   120   153   119   159 0.80 contig_1_600 # 635070 # 635930 # 1 # ID=1_600;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_1:468613-469722|+   -            370 19956                -            366    0.0099   12.1   0.0   1   1   3.9e-05     0.017   11.3   0.0     7    29   169   191   165   211 0.81 contig_1_452 # 468613 # 469722 # 1 # ID=1_452;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1:320000-322132|+   -            711 19956                -            366     0.037   10.2   0.0   1   1   0.00013     0.055    9.6   0.0     6    44     4    42     1    59 0.83 contig_1_275 # 320000 # 322132 # 1 # ID=1_275;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19956at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:14:09 2026
# [ok]
