#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:299901-301214|-   -            438 23615                -            403  5.5e-168  556.1   1.8   1   1  1.3e-170  6.8e-168  555.8   1.8    14   402    27   432    16   433 0.92 NODE_1_length_1652082_cov_46.167482_299 # 299901 # 301214 # -1 # ID=1_299;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_1652082_cov_46.167482:1310868-1312904|- -            679 23615                -            403     3e-15   53.1   0.1   1   1   1.2e-17   6.4e-15   52.0   0.1    66   372   241   571   228   581 0.80 NODE_1_length_1652082_cov_46.167482_1280 # 1310868 # 1312904 # -1 # ID=1_1280;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.417
NODE_1_length_1652082_cov_46.167482:1616987-1619395|+ -            803 23615                -            403   1.1e-12   44.6   3.2   1   3       1.3   6.8e+02   -4.1   0.1   252   278   192   218   177   222 0.74 NODE_1_length_1652082_cov_46.167482_1567 # 1616987 # 1619395 # 1 # ID=1_1567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_1_length_1652082_cov_46.167482:1616987-1619395|+ -            803 23615                -            403   1.1e-12   44.6   3.2   2   3   1.8e-12   9.5e-10   35.0   0.1    77   243   263   450   248   497 0.68 NODE_1_length_1652082_cov_46.167482_1567 # 1616987 # 1619395 # 1 # ID=1_1567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_1_length_1652082_cov_46.167482:1616987-1619395|+ -            803 23615                -            403   1.1e-12   44.6   3.2   3   3   7.6e-05     0.039    9.9   0.0   314   394   594   683   563   690 0.72 NODE_1_length_1652082_cov_46.167482_1567 # 1616987 # 1619395 # 1 # ID=1_1567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_1_length_1652082_cov_46.167482:1637575-1641096|+ -           1174 23615                -            403   1.6e-12   44.1   0.2   1   2      0.23   1.2e+02   -1.6   0.0    98   155    27    81    12    91 0.62 NODE_1_length_1652082_cov_46.167482_1585 # 1637575 # 1641096 # 1 # ID=1_1585;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:1637575-1641096|+ -           1174 23615                -            403   1.6e-12   44.1   0.2   2   2   1.9e-14   9.9e-12   41.5   0.1    84   385   631   940   598   960 0.75 NODE_1_length_1652082_cov_46.167482_1585 # 1637575 # 1641096 # 1 # ID=1_1585;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_2_length_840748_cov_42.698360:78458-80452|+      -            665 23615                -            403   1.3e-11   41.2   0.1   1   2     0.021        11    1.8   0.0    95   150    37    89     2   107 0.67 NODE_2_length_840748_cov_42.698360_77 # 78458 # 80452 # 1 # ID=2_77;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_2_length_840748_cov_42.698360:78458-80452|+      -            665 23615                -            403   1.3e-11   41.2   0.1   2   2   5.3e-13   2.7e-10   36.8   0.1   214   397   393   573   383   579 0.72 NODE_2_length_840748_cov_42.698360_77 # 78458 # 80452 # 1 # ID=2_77;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_2_length_840748_cov_42.698360:379698-381047|-    -            450 23615                -            403    0.0052   12.8   2.3   1   2   1.6e-05    0.0083   12.1   0.2   258   347   226   316    22   338 0.79 NODE_2_length_840748_cov_42.698360_365 # 379698 # 381047 # -1 # ID=2_365;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_2_length_840748_cov_42.698360:379698-381047|-    -            450 23615                -            403    0.0052   12.8   2.3   2   2         1   5.4e+02   -3.7   0.2   285   320   399   434   396   438 0.81 NODE_2_length_840748_cov_42.698360_365 # 379698 # 381047 # -1 # ID=2_365;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.381
