ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	NODE_33_length_26158_cov_60.272498:14408-1,NODE_53_length_1695_cov_58.035499:1695-1,NODE_17_length_62801_cov_60.881707:1-62801,NODE_10_length_113754_cov_99.095655:113754-1,NODE_22_length_43876_cov_92.621673:43876-1,NODE_13_length_76137_cov_124.122359:1-76137,NODE_23_length_39921_cov_95.495462:39921-1,NODE_14_length_67873_cov_82.007916:67873-1,NODE_32_length_27950_cov_55.508185:1-27950,NODE_27_length_31036_cov_54.470116:1-31036,NODE_35_length_20136_cov_58.418942:1-20136,NODE_19_length_58687_cov_59.880605:1-58687,NODE_38_length_14421_cov_57.112802:1-14421,NODE_30_length_28698_cov_56.930508:28698-1,NODE_54_length_899_cov_51.486143:899-1,NODE_43_length_10293_cov_51.372417:1-10293,NODE_29_length_29482_cov_87.199667:1-29482,NODE_40_length_13809_cov_53.038763:13809-1,NODE_11_length_94214_cov_54.858857:1-94214,NODE_55_length_863_cov_102.080723:1-863,NODE_16_length_63808_cov_77.334802:1-20451,NODE_16_length_63808_cov_77.334802:21035-63808,NODE_6_length_133129_cov_71.626923:133129-71402,NODE_6_length_133129_cov_71.626923:71297-1,NODE_20_length_58283_cov_65.610712:58283-1,NODE_50_length_5580_cov_50.352082:5580-1,NODE_4_length_185058_cov_63.073482:185058-1,NODE_39_length_14199_cov_51.426444:14199-1,NODE_31_length_28084_cov_163.260775:1-28084,NODE_7_length_127392_cov_103.596228:127392-1,NODE_2_length_252901_cov_71.242866:1-23493,NODE_2_length_252901_cov_71.242866:24408-182469,NODE_2_length_252901_cov_71.242866:182672-252901,NODE_1_length_304474_cov_63.252055:304474-1,NODE_9_length_122393_cov_61.758630:1-122393,NODE_21_length_53836_cov_80.584707:1-53836,NODE_8_length_123234_cov_76.327838:123234-1,NODE_3_length_193524_cov_75.578528:1-193524,NODE_34_length_20819_cov_59.576205:1-20819,NODE_28_length_29579_cov_95.650511:1-29579,NODE_18_length_59342_cov_60.374412:59342-1,NODE_12_length_79680_cov_63.087599:1-79680,NODE_26_length_32562_cov_63.418796:32562-1,NODE_24_length_39856_cov_62.007358:39856-1,NODE_37_length_17573_cov_153.551824:17573-1,NODE_52_length_1698_cov_52.659459:1698-1,NODE_33_length_26158_cov_60.272498:26158-14409
gene-EfmE745_RS00005		1	1335	complete	NODE_33_length_26158_cov_60.272498:14408-13074
gene-EfmE745_RS00010		1533	2663	complete	NODE_33_length_26158_cov_60.272498:12876-11746
gene-EfmE745_RS00015		2892	3134	complete	NODE_33_length_26158_cov_60.272498:11517-11275
gene-EfmE745_RS00020		3121	4245	complete	NODE_33_length_26158_cov_60.272498:11288-10164
gene-EfmE745_RS00025		4242	6188	complete	NODE_33_length_26158_cov_60.272498:10167-8221
gene-EfmE745_RS00030		6208	8679	complete	NODE_33_length_26158_cov_60.272498:8201-5730
gene-EfmE745_RS00035		8915	9214	complete	NODE_33_length_26158_cov_60.272498:5494-5195
gene-EfmE745_RS00040		9264	9776	complete	NODE_33_length_26158_cov_60.272498:5145-4633
gene-EfmE745_RS00045		9802	10038	complete	NODE_33_length_26158_cov_60.272498:4607-4371
gene-EfmE745_RS00050		10181	12154	complete	NODE_33_length_26158_cov_60.272498:4228-2255
gene-EfmE745_RS00055		12160	12612	complete	NODE_33_length_26158_cov_60.272498:2249-1797
gene-EfmE745_RS00060		12886	14253	complete	NODE_33_length_26158_cov_60.272498:1523-156
gene-EfmE745_RS00065		15033	16325	complete	NODE_53_length_1695_cov_58.035499:1506-214
gene-EfmE745_RS00070		17112	17975	complete	NODE_17_length_62801_cov_60.881707:141-1004
gene-EfmE745_RS00075		18104	19726	complete	NODE_17_length_62801_cov_60.881707:1133-2755
gene-EfmE745_RS00080		19975	20496	complete	NODE_17_length_62801_cov_60.881707:3004-3525
gene-EfmE745_RS00085		20682	22412	complete	NODE_17_length_62801_cov_60.881707:3711-5441
gene-EfmE745_RS00090		22577	23395	complete	NODE_17_length_62801_cov_60.881707:5606-6424
gene-EfmE745_RS00095		23498	23695	complete	NODE_17_length_62801_cov_60.881707:6527-6724
gene-EfmE745_RS00100		23864	24442	complete	NODE_17_length_62801_cov_60.881707:6893-7471
gene-EfmE745_RS16835		24537	24674	complete	NODE_17_length_62801_cov_60.881707:7566-7703
cds-WP_002294338.1		24537	24674	complete	NODE_17_length_62801_cov_60.881707:7566-7703
gene-EfmE745_RS00110		25487	25990	complete	NODE_17_length_62801_cov_60.881707:8516-9019
gene-EfmE745_RS00115		26349	27374	complete	NODE_17_length_62801_cov_60.881707:9378-10403
gene-EfmE745_RS00120		27697	28575	complete	NODE_17_length_62801_cov_60.881707:10726-11604
gene-EfmE745_RS16710		29051	29167	complete	NODE_17_length_62801_cov_60.881707:12080-12196
gene-EfmE745_RS00125		30095	30433	complete	NODE_17_length_62801_cov_60.881707:13124-13462
gene-EfmE745_RS00130		30527	30757	complete	NODE_17_length_62801_cov_60.881707:13556-13786
gene-EfmE745_RS00135		31157	31528	complete	NODE_17_length_62801_cov_60.881707:14186-14557
gene-EfmE745_RS00140		31802	32494	complete	NODE_17_length_62801_cov_60.881707:14831-15523
gene-EfmE745_RS00145		32497	33282	complete	NODE_17_length_62801_cov_60.881707:15526-16311
