#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1907403-1909139|- -            579 1614                 -            563  9.6e-216  715.1  16.0   1   1  6.4e-218  1.2e-215  714.9  16.0     9   562    10   577     2   578 0.94 tig00000001_pilon_1811 # 1907403 # 1909139 # -1 # ID=1_1811;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon:187790-189625|-   -            612 1614                 -            563   1.7e-79  265.4  12.1   1   1   2.1e-81   3.8e-79  264.2  12.0   133   562   156   602     9   603 0.82 tig00000001_pilon_202 # 187790 # 189625 # -1 # ID=1_202;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:13506-15011|-     -            502 1614                 -            563   1.3e-53  179.9   9.4   1   3      0.15        27    0.6   0.0   158   201    28    73    17    99 0.60 tig00000001_pilon_8 # 13506 # 15011 # -1 # ID=1_8;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
tig00000001_pilon:13506-15011|-     -            502 1614                 -            563   1.3e-53  179.9   9.4   2   3   0.00046     0.084    8.9   0.1   116   239   152   276   123   277 0.74 tig00000001_pilon_8 # 13506 # 15011 # -1 # ID=1_8;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
tig00000001_pilon:13506-15011|-     -            502 1614                 -            563   1.3e-53  179.9   9.4   3   3   3.7e-54   6.7e-52  174.2   4.4   342   562   272   495   263   496 0.95 tig00000001_pilon_8 # 13506 # 15011 # -1 # ID=1_8;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
tig00000001_pilon:2000025-2001473|+ -            483 1614                 -            563   7.6e-48  160.8  16.6   1   2   1.6e-06   0.00028   17.0   4.0    38   244    49   260     3   262 0.72 tig00000001_pilon_1902 # 2000025 # 2001473 # 1 # ID=1_1902;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
tig00000001_pilon:2000025-2001473|+ -            483 1614                 -            563   7.6e-48  160.8  16.6   2   2     1e-47   1.9e-45  153.0   6.1   336   561   248   475   247   477 0.93 tig00000001_pilon_1902 # 2000025 # 2001473 # 1 # ID=1_1902;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
tig00000001_pilon:1014909-1015952|+ -            348 1614                 -            563     3e-46  155.6   9.3   1   1   2.3e-48   4.2e-46  155.1   9.3   336   562   121   346   102   347 0.92 tig00000001_pilon_950 # 1014909 # 1015952 # 1 # ID=1_950;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001_pilon:2374048-2375388|- -            447 1614                 -            563   3.9e-44  148.6  11.5   1   2   7.9e-05     0.014   11.4   0.9   125   184   154   213    98   218 0.87 tig00000001_pilon_2281 # 2374048 # 2375388 # -1 # ID=1_2281;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
tig00000001_pilon:2374048-2375388|- -            447 1614                 -            563   3.9e-44  148.6  11.5   2   2   1.4e-44   2.5e-42  142.6   3.6   342   562   219   442   199   443 0.89 tig00000001_pilon_2281 # 2374048 # 2375388 # -1 # ID=1_2281;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
tig00000001_pilon:631496-632704|+   -            403 1614                 -            563   4.5e-41  138.5   1.8   1   2      0.34        62   -0.6   0.0   159   226    82   150    44   156 0.80 tig00000001_pilon_573 # 631496 # 632704 # 1 # ID=1_573;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
