# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcus_odb12 (Creation date: 2025-05-14, number of genomes: 59, number of BUSCOs: 983)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at1350	Complete	tig00000001_pilon	2229643	2232288	+	1821.9	879
444at1350	Complete	tig00000001_pilon	993798	991504	-	1457.1	745
596at1350	Complete	tig00000001_pilon	1694969	1696867	+	980.4	636
599at1350	Complete	tig00000001_pilon	1529269	1531278	+	1450.9	663
705at1350	Complete	tig00000001_pilon	38769	36829	-	1423.7	645
814at1350	Complete	tig00000001_pilon	2165948	2164143	-	1121.3	601
826at1350	Complete	tig00000001_pilon	643415	641514	-	1370.5	631
837at1350	Complete	tig00000001_pilon	1736084	1738441	+	1519.7	783
1249at1350	Complete	tig00000001_pilon	2660564	2658678	-	1182.6	625
1360at1350	Duplicated	tig00000001_pilon	689048	687483	-	1146.5	518
1360at1350	Duplicated	tig00000002_pilon	123297	124910	+	1125.5	508
1424at1350	Complete	tig00000001_pilon	2412674	2414380	+	1061.9	558
1507at1350	Complete	tig00000001_pilon	1472393	1474030	+	1028.2	530
1547at1350	Complete	tig00000001_pilon	2572240	2570705	-	1000.7	509
1593at1350	Complete	tig00000001_pilon	2548090	2546318	-	1020.2	574
1614at1350	Complete	tig00000001_pilon	1909139	1907403	-	871.4	562
1719at1350	Complete	tig00000001_pilon	2507978	2504451	-	1798.2	1145
1737at1350	Complete	tig00000001_pilon	1704736	1706112	+	1033.9	457
2136at1350	Complete	tig00000001_pilon	2009242	2010591	+	893.8	447
2159at1350	Complete	tig00000001_pilon	663433	664725	+	986.3	430
2257at1350	Complete	tig00000001_pilon	1462822	1464681	+	1040.3	591
2313at1350	Complete	tig00000001_pilon	1568616	1569947	+	894.1	442
2389at1350	Complete	tig00000001_pilon	2676154	2674751	-	724.4	457
2522at1350	Complete	tig00000001_pilon	2524796	2522421	-	1349.2	772
2597at1350	Complete	tig00000001_pilon	1858791	1861580	+	1507.7	916
2754at1350	Complete	tig00000001_pilon	699827	700993	+	855.2	388
2768at1350	Complete	tig00000001_pilon	1302230	1303525	+	951.5	429
2823at1350	Complete	tig00000001_pilon	719652	720947	+	900.7	431
2925at1350	Complete	tig00000001_pilon	2226715	2228049	+	939.7	442
2954at1350	Complete	tig00000001_pilon	58065	56830	-	838.9	411
3075at1350	Complete	tig00000001_pilon	850799	849624	-	796.2	386
3237at1350	Complete	tig00000001_pilon	119261	118041	-	638.0	393
3315at1350	Complete	tig00000001_pilon	2441501	2440152	-	908.5	447
3330at1350	Complete	tig00000001_pilon	264203	262911	-	897.8	428
3398at1350	Complete	tig00000001_pilon	1538524	1537415	-	805.3	368
3592at1350	Complete	tig00000001_pilon	2111884	2113059	+	825.7	400
3609at1350	Complete	tig00000001_pilon	1781356	1780250	-	699.5	364
3625at1350	Complete	tig00000001_pilon	254839	251711	-	1101.3	1000
3786at1350	Complete	tig00000001_pilon	125658	124630	-	706.3	342
3809at1350	Complete	tig00000001_pilon	187793	186477	-	582.1	423
3841at1350	Complete	tig00000001_pilon	836329	837450	+	659.4	371
3845at1350	Complete	tig00000001_pilon	1140835	1141956	+	845.3	373
3920at1350	Complete	tig00000001_pilon	1125133	1123937	-	798.2	390
4084at1350	Complete	tig00000001_pilon	2189329	2190702	+	832.4	449
4260at1350	Complete	tig00000001_pilon	2582434	2581310	-	732.2	371
4296at1350	Complete	tig00000001_pilon	79479	78301	-	686.1	383
4559at1350	Complete	tig00000001_pilon	1162048	1163283	+	847.8	410
4618at1350	Complete	tig00000001_pilon	1605031	1606173	+	762.8	380
4675at1350	Complete	tig00000001_pilon	1583496	1582498	-	615.9	326
4684at1350	Complete	tig00000001_pilon	651521	652645	+	706.2	370
4733at1350	Complete	tig00000001_pilon	2541261	2540137	-	507.7	372
4745at1350	Complete	tig00000001_pilon	893239	894318	+	766.7	358
4818at1350	Complete	tig00000001_pilon	796917	797918	+	698.1	329
4862at1350	Complete	tig00000001_pilon	723094	724032	+	706.8	312
5202at1350	Complete	tig00000001_pilon	380943	381899	+	697.7	316
5453at1350	Complete	tig00000001_pilon	476687	477934	+	765.7	413
5581at1350	Complete	tig00000001_pilon	27383	26187	-	799.1	397
5602at1350	Complete	tig00000001_pilon	2476837	2475896	-	595.5	310
5782at1350	Complete	tig00000001_pilon	2188163	2189218	+	682.4	341
5831at1350	Complete	tig00000001_pilon	2644451	2643546	-	569.3	297
6003at1350	Complete	tig00000001_pilon	2205710	2206546	+	382.1	266
6183at1350	Complete	tig00000001_pilon	30804	31613	+	479.6	268
6417at1350	Complete	tig00000001_pilon	1713536	1712727	-	484.9	269
6455at1350	Complete	tig00000001_pilon	1535327	1536211	+	595.4	292
6584at1350	Complete	tig00000001_pilon	2554615	2552972	-	1034.9	511
6632at1350	Complete	tig00000001_pilon	1686426	1685509	-	520.6	297
6660at1350	Complete	tig00000001_pilon	1763798	1764655	+	568.3	283
6712at1350	Complete	tig00000001_pilon	765089	766042	+	521.6	304
6804at1350	Complete	tig00000001_pilon	1785528	1786430	+	597.5	295
6992at1350	Complete	tig00000001_pilon	1159979	1160752	+	563.0	256
7212at1350	Complete	tig00000001_pilon	2101858	2102670	+	545.6	264
7426at1350	Complete	tig00000001_pilon	1533996	1534772	+	535.6	255
7474at1350	Complete	tig00000001_pilon	1624214	1625131	+	520.3	300
7610at1350	Complete	tig00000001_pilon	2641529	2640738	-	522.5	261
7677at1350	Complete	tig00000001_pilon	726386	727183	+	545.7	263
7733at1350	Complete	tig00000001_pilon	703543	702857	-	490.1	222
7785at1350	Complete	tig00000001_pilon	61096	60134	-	562.9	317
7842at1350	Complete	tig00000001_pilon	701017	701835	+	544.1	268
7856at1350	Complete	tig00000001_pilon	2492063	2491230	-	513.0	267
8193at1350	Complete	tig00000001_pilon	1274816	1275643	+	549.3	269
8271at1350	Complete	tig00000001_pilon	2578205	2577534	-	450.6	224
8314at1350	Complete	tig00000001_pilon	2592114	2591431	-	451.0	223
8319at1350	Complete	tig00000001_pilon	1999309	2000025	+	511.0	236
8577at1350	Complete	tig00000001_pilon	93460	92795	-	458.5	220
8748at1350	Complete	tig00000001_pilon	409941	408487	-	588.0	432
8931at1350	Complete	tig00000001_pilon	2674001	2673321	-	401.7	221
9044at1350	Complete	tig00000001_pilon	287111	286449	-	442.8	214
9080at1350	Complete	tig00000001_pilon	2649874	2649107	-	439.3	253
9100at1350	Complete	tig00000001_pilon	705112	704429	-	421.3	222
9192at1350	Complete	tig00000001_pilon	630820	631509	+	504.0	229
9243at1350	Complete	tig00000001_pilon	1384265	1383618	-	423.9	215
9623at1350	Complete	tig00000001_pilon	1760968	1761861	+	555.4	293
9626at1350	Complete	tig00000001_pilon	86332	85724	-	425.9	201
9768at1350	Complete	tig00000001_pilon	877906	876962	-	492.9	306
9919at1350	Complete	tig00000001_pilon	2459032	2458355	-	430.6	214
10042at1350	Complete	tig00000001_pilon	295924	293204	-	1019.5	835
10082at1350	Complete	tig00000001_pilon	2639011	2639649	+	388.9	206
10086at1350	Complete	tig00000001_pilon	1351003	1351806	+	532.3	267
10119at1350	Complete	tig00000001_pilon	1317748	1318392	+	418.6	214
10183at1350	Complete	tig00000001_pilon	2417782	2417153	-	421.6	207
10292at1350	Complete	tig00000001_pilon	1272095	1271106	-	497.8	320
10394at1350	Complete	tig00000001_pilon	1534765	1535334	+	338.7	186
10425at1350	Complete	tig00000001_pilon	2085904	2086446	+	281.8	181
10444at1350	Complete	tig00000001_pilon	716191	716730	+	399.0	179
10501at1350	Complete	tig00000001_pilon	2655324	2654428	-	472.9	289
10529at1350	Complete	tig00000001_pilon	427309	426671	-	359.7	212
10577at1350	Complete	tig00000001_pilon	2682568	2681957	-	338.1	195
10690at1350	Complete	tig00000001_pilon	1270375	1269824	-	335.3	179
11095at1350	Complete	tig00000001_pilon	2428604	2428065	-	341.5	177
11126at1350	Complete	tig00000001_pilon	2156559	2156038	-	269.4	170
11129at1350	Complete	tig00000001_pilon	233540	233037	-	350.9	167
11163at1350	Complete	tig00000001_pilon	2459737	2459039	-	358.4	233
11246at1350	Complete	tig00000001_pilon	2248658	2247987	-	334.7	209
11308at1350	Complete	tig00000001_pilon	718474	718974	+	353.6	165
11328at1350	Complete	tig00000001_pilon	1126147	1126710	+	338.2	185
12076at1350	Complete	tig00000001_pilon	2228356	2228841	+	316.3	148
12247at1350	Complete	tig00000001_pilon	694326	694724	+	265.8	129
12391at1350	Complete	tig00000001_pilon	705431	705844	+	310.0	137
12582at1350	Complete	tig00000001_pilon	2483967	2484728	+	425.1	242
12678at1350	Complete	tig00000001_pilon	1874273	1874713	+	243.6	144
12722at1350	Complete	tig00000001_pilon	2430211	2429747	-	257.8	152
12767at1350	Complete	tig00000001_pilon	2234972	2236345	+	609.6	460
13299at1350	Complete	tig00000001_pilon	267509	267063	-	264.1	147
13403at1350	Complete	tig00000001_pilon	246880	246482	-	289.2	132
13483at1350	Complete	tig00000001_pilon	1602386	1602946	+	271.9	165
13490at1350	Complete	tig00000001_pilon	739596	739958	+	246.0	120
13526at1350	Complete	tig00000001_pilon	1312316	1311519	-	424.8	259
13534at1350	Complete	tig00000001_pilon	1137793	1138137	+	221.4	113
13616at1350	Complete	tig00000001_pilon	894610	894930	+	203.1	103
13628at1350	Complete	tig00000001_pilon	2086453	2086917	+	197.4	151
13655at1350	Complete	tig00000001_pilon	1251028	1250513	-	315.8	162
13735at1350	Complete	tig00000001_pilon	2520645	2520301	-	213.0	113
13742at1350	Complete	tig00000001_pilon	2540156	2539710	-	209.8	141
13997at1350	Complete	tig00000001_pilon	282304	281810	-	138.3	130
14302at1350	Complete	tig00000001_pilon	722625	723014	+	285.9	129
14325at1350	Complete	tig00000001_pilon	2184949	2185254	+	200.0	101
14388at1350	Complete	tig00000001_pilon	434636	434145	-	299.9	163
14422at1350	Complete	tig00000001_pilon	2684189	2683620	-	309.7	187
14632at1350	Complete	tig00000001_pilon	2222250	2222981	+	430.4	238
14868at1350	Complete	tig00000001_pilon	290673	291017	+	171.9	112
14932at1350	Complete	tig00000001_pilon	1734591	1734869	+	170.0	90
15052at1350	Complete	tig00000001_pilon	715855	716163	+	197.2	103
15301at1350	Complete	tig00000001_pilon	721847	722065	+	176.7	72
15393at1350	Complete	tig00000001_pilon	2536918	2536301	-	195.6	145
15547at1350	Complete	tig00000001_pilon	745017	745259	+	162.2	79
15646at1350	Complete	tig00000001_pilon	1650807	1651112	+	202.5	100
15847at1350	Complete	tig00000001_pilon	739326	739138	-	153.6	62
16015at1350	Complete	tig00000001_pilon	1503321	1503079	-	142.9	78
16038at1350	Complete	tig00000001_pilon	39285	39106	-	134.2	58
16140at1350	Complete	tig00000001_pilon	78207	77674	-	399.5	177
16160at1350	Complete	tig00000001_pilon	2077118	2077330	+	146.7	67
16163at1350	Complete	tig00000001_pilon	716749	716934	+	159.0	61
16169at1350	Complete	tig00000001_pilon	1576103	1576438	+	178.4	111
16176at1350	Complete	tig00000001_pilon	2631025	2630264	-	509.5	250
16182at1350	Complete	tig00000001_pilon	2663907	2663452	-	310.0	150
16194at1350	Complete	tig00000001_pilon	2221240	2222181	+	626.9	310
16202at1350	Complete	tig00000001_pilon	722098	722214	+	104.4	38
16208at1350	Complete	tig00000001_pilon	1303624	1303887	+	203.0	87
16235at1350	Complete	tig00000001_pilon	1255998	1255465	-	360.8	177
16239at1350	Complete	tig00000001_pilon	2658666	2657719	-	492.2	268
16254at1350	Complete	tig00000001_pilon	779865	780086	+	150.0	73
