#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_119333_cov_96.609128:152-1036|+     -            295 23850                -            279   4.9e-99  328.5   1.1   1   1  1.3e-101   5.7e-99  328.3   1.1     2   278     4   292     3   293 0.89 NODE_10_length_119333_cov_96.609128_1 # 152 # 1036 # 1 # ID=10_1;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.424
NODE_26_length_29482_cov_89.132840:4944-5486|+     -            181 23850                -            279   2.3e-05   21.2   1.1   1   1   1.1e-07   4.7e-05   20.2   1.1     3    39     2    38     1    39 0.96 NODE_26_length_29482_cov_89.132840_7 # 4944 # 5486 # 1 # ID=26_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_12_length_96937_cov_75.325559:18324-19220|-   -            299 23850                -            279   0.00014   18.6  17.8   1   3   2.4e-06    0.0011   15.8   4.0    86   170    10    92     3   115 0.70 NODE_12_length_96937_cov_75.325559_19 # 18324 # 19220 # -1 # ID=12_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_12_length_96937_cov_75.325559:18324-19220|-   -            299 23850                -            279   0.00014   18.6  17.8   2   3      0.24   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 NODE_12_length_96937_cov_75.325559_19 # 18324 # 19220 # -1 # ID=12_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_12_length_96937_cov_75.325559:18324-19220|-   -            299 23850                -            279   0.00014   18.6  17.8   3   3   0.00051      0.22    8.2   5.4   133   228   200   294   185   298 0.63 NODE_12_length_96937_cov_75.325559_19 # 18324 # 19220 # -1 # ID=12_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_1_length_385945_cov_86.278628:222288-223001|- -            238 23850                -            279   0.00042   17.1   1.7   1   2   9.5e-07   0.00042   17.1   1.7   119   192    13    87     3   141 0.67 NODE_1_length_385945_cov_86.278628_237 # 222288 # 223001 # -1 # ID=1_237;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_1_length_385945_cov_86.278628:222288-223001|- -            238 23850                -            279   0.00042   17.1   1.7   2   2       1.1   4.9e+02   -2.8   0.1   211   225   158   172   157   182 0.79 NODE_1_length_385945_cov_86.278628_237 # 222288 # 223001 # -1 # ID=1_237;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_9_length_122393_cov_64.141746:43163-43798|+   -            212 23850                -            279   0.00079   16.2   5.1   1   2   1.8e-06   0.00079   16.2   5.1    89   182    31   126    11   146 0.49 NODE_9_length_122393_cov_64.141746_37 # 43163 # 43798 # 1 # ID=9_37;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_9_length_122393_cov_64.141746:43163-43798|+   -            212 23850                -            279   0.00079   16.2   5.1   2   2      0.26   1.1e+02   -0.7   3.5   142   181   117   156   108   183 0.38 NODE_9_length_122393_cov_64.141746_37 # 43163 # 43798 # 1 # ID=9_37;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_304403_cov_65.784473:1715-2539|+     -            275 23850                -            279     0.001   15.8   0.2   1   2   2.4e-06     0.001   15.8   0.2   115   173    10    67     4    90 0.62 NODE_2_length_304403_cov_65.784473_3 # 1715 # 2539 # 1 # ID=2_3;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
NODE_2_length_304403_cov_65.784473:1715-2539|+     -            275 23850                -            279     0.001   15.8   0.2   2   2      0.24   1.1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 NODE_2_length_304403_cov_65.784473_3 # 1715 # 2539 # 1 # ID=2_3;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
NODE_2_length_304403_cov_65.784473:251540-252187|- -            216 23850                -            279         3    4.4  14.0   1   2    0.0047       2.1    5.0  11.4   114   181     6    73     4   137 0.73 NODE_2_length_304403_cov_65.784473_237 # 251540 # 252187 # -1 # ID=2_237;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_304403_cov_65.784473:251540-252187|- -            216 23850                -            279         3    4.4  14.0   2   2      0.22        95   -0.5   0.6   143   174   118   149   104   173 0.52 NODE_2_length_304403_cov_65.784473_237 # 251540 # 252187 # -1 # ID=2_237;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23850at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/23850at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23850at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:17:25 2026
# [ok]
