#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1:468613-469722|+   -            370 16872                -            369  3.8e-224  740.7   0.0   1   1  1.3e-226  4.3e-224  740.5   0.0     1   369     1   369     1   369 1.00 contig_1_452 # 468613 # 469722 # 1 # ID=1_452;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1:614022-615332|+   -            437 16872                -            369   4.2e-09   33.1   5.2   1   4   0.00024      0.08    9.2   0.1   167   224     6    61     3    63 0.69 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 16872                -            369   4.2e-09   33.1   5.2   2   4      0.34   1.2e+02   -1.2   0.0    56   111    61   122    36   126 0.59 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 16872                -            369   4.2e-09   33.1   5.2   3   4   1.6e-06   0.00053   16.3   0.1   166   230   176   239   156   257 0.77 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:614022-615332|+   -            437 16872                -            369   4.2e-09   33.1   5.2   4   4   0.00052      0.17    8.1   0.1   102   169   288   354   248   370 0.81 contig_1_577 # 614022 # 615332 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:635070-635930|+   -            287 16872                -            369   1.8e-06   24.5   0.0   1   1   7.7e-09   2.6e-06   23.9   0.0    88   226    38   177    15   212 0.67 contig_1_600 # 635070 # 635930 # 1 # ID=1_600;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_2:1298375-1299274|+ -            300 16872                -            369   1.3e-05   21.7   0.2   1   1   7.3e-08   2.5e-05   20.7   0.1   167   237     9    78     3   103 0.71 contig_2_1244 # 1298375 # 1299274 # 1 # ID=5_1244;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
contig_2:126829-128226|-   -            466 16872                -            369   0.00056   16.3   0.2   1   2   1.7e-06   0.00056   16.3   0.2   148   231   208   292   189   310 0.73 contig_2_102 # 126829 # 128226 # -1 # ID=5_102;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
contig_2:126829-128226|-   -            466 16872                -            369   0.00056   16.3   0.2   2   2       1.8   6.1e+02   -3.6   0.1   105   128   338   360   335   364 0.80 contig_2_102 # 126829 # 128226 # -1 # ID=5_102;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
contig_2:120989-122089|-   -            367 16872                -            369    0.0039   13.5   0.1   1   2   6.9e-05     0.023   10.9   0.0   169   193     7    31     4    43 0.88 contig_2_96 # 120989 # 122089 # -1 # ID=5_96;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
contig_2:120989-122089|-   -            367 16872                -            369    0.0039   13.5   0.1   2   2      0.17        57   -0.2   0.0   122   155   218   251   183   259 0.69 contig_2_96 # 120989 # 122089 # -1 # ID=5_96;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
contig_1:1142062-1144878|- -            939 16872                -            369    0.0046   13.2   0.1   1   3       1.4   4.6e+02   -3.2   0.0   164   210    26    72    14    77 0.77 contig_1_1088 # 1142062 # 1144878 # -1 # ID=1_1088;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:1142062-1144878|- -            939 16872                -            369    0.0046   13.2   0.1   2   3   0.00015      0.05    9.8   0.0   162   199   629   665   592   694 0.82 contig_1_1088 # 1142062 # 1144878 # -1 # ID=1_1088;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:1142062-1144878|- -            939 16872                -            369    0.0046   13.2   0.1   3   3      0.15        51   -0.1   0.0   303   351   780   825   740   836 0.67 contig_1_1088 # 1142062 # 1144878 # -1 # ID=1_1088;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1:1112748-1113335|- -            196 16872                -            369    0.0056   13.0   0.0   1   2   5.2e-05     0.018   11.3   0.0   167   223    26    78    14    92 0.86 contig_1_1062 # 1112748 # 1113335 # -1 # ID=1_1062;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
contig_1:1112748-1113335|- -            196 16872                -            369    0.0056   13.0   0.0   2   2       0.3     1e+02   -1.0   0.0   100   116   134   150   100   192 0.69 contig_1_1062 # 1112748 # 1113335 # -1 # ID=1_1062;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
contig_8:1632-1982|+       -            117 16872                -            369     0.012   11.8   0.0   1   1   4.3e-05     0.014   11.6   0.0    12    62    60   110    49   116 0.88 contig_8_2 # 1632 # 1982 # 1 # ID=10_2;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.365
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm
