#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_22_length_43520_cov_30.536294:21069-21776|+ -            236 17381                -            235    9e-136  448.3   1.0   1   1  4.2e-138    1e-135  448.2   1.0     1   235     1   235     1   235 1.00 NODE_22_length_43520_cov_30.536294_26 # 21069 # 21776 # 1 # ID=22_26;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NODE_85_length_5986_cov_36.258472:697-1431|+     -            245 17381                -            235   6.7e-36  121.4   0.3   1   1   3.3e-38   7.7e-36  121.2   0.3     5   231     8   235     4   239 0.94 NODE_85_length_5986_cov_36.258472_1 # 697 # 1431 # 1 # ID=85_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_15_length_55108_cov_29.376128:33460-34179|+ -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.4e-33  113.9   0.0     5   223     1   223     1   230 0.92 NODE_15_length_55108_cov_29.376128_28 # 33460 # 34179 # 1 # ID=15_28;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_7_length_86709_cov_33.100688:63598-64299|-  -            234 17381                -            235   3.9e-26   89.5   0.8   1   1     2e-28   4.6e-26   89.2   0.8     2   226     2   222     1   230 0.88 NODE_7_length_86709_cov_33.100688_61 # 63598 # 64299 # -1 # ID=7_61;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_83_length_6416_cov_32.711838:4251-4985|+    -            245 17381                -            235   1.8e-24   84.1   0.6   1   1     1e-26   2.4e-24   83.6   0.6    13   220     8   215     5   223 0.93 NODE_83_length_6416_cov_32.711838_6 # 4251 # 4985 # 1 # ID=83_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NODE_36_length_23986_cov_34.471021:4364-5077|-   -            238 17381                -            235   4.3e-18   63.2   0.3   1   1   2.3e-20   5.5e-18   62.8   0.3    12   232     8   229     3   231 0.90 NODE_36_length_23986_cov_34.471021_7 # 4364 # 5077 # -1 # ID=36_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_1_length_114283_cov_31.103635:98298-99377|- -            360 17381                -            235   1.9e-15   54.5   0.2   1   1   1.3e-17   3.2e-15   53.8   0.2     8    78     4    74     1    88 0.92 NODE_1_length_114283_cov_31.103635_92 # 98298 # 99377 # -1 # ID=1_92;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_83_length_6416_cov_32.711838:4969-5667|+    -            233 17381                -            235   1.6e-14   51.5   0.0   1   1   2.2e-16   5.2e-14   49.8   0.0    12    79    13    80     6   200 0.85 NODE_83_length_6416_cov_32.711838_7 # 4969 # 5667 # 1 # ID=83_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_5_length_100374_cov_29.640417:50961-52385|+ -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.7e-12   44.2   0.0     3    72     8    77     6    83 0.95 NODE_5_length_100374_cov_29.640417_49 # 50961 # 52385 # 1 # ID=5_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_47_length_17117_cov_34.327980:12186-12830|+ -            215 17381                -            235   5.6e-12   43.1   0.2   1   1   3.1e-14   7.4e-12   42.7   0.2     6    74    10    78     5   132 0.90 NODE_47_length_17117_cov_34.327980_11 # 12186 # 12830 # 1 # ID=47_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_9_length_85202_cov_37.123657:34534-35580|+  -            349 17381                -            235   2.5e-10   37.7   0.0   1   1   1.6e-12   3.9e-10   37.1   0.0     4    73     2    71     1    88 0.92 NODE_9_length_85202_cov_37.123657_27 # 34534 # 35580 # 1 # ID=9_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_6_length_99885_cov_29.307212:80941-82335|-  -            465 17381                -            235   8.8e-08   29.4   0.0   1   1   8.4e-10     2e-07   28.3   0.0     4    99    21   116    18   135 0.87 NODE_6_length_99885_cov_29.307212_79 # 80941 # 82335 # -1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
NODE_25_length_34995_cov_34.880767:11375-12061|+ -            229 17381                -            235    0.0025   14.9   0.5   1   1   1.5e-05    0.0036   14.3   0.5    10   132     9   125     5   147 0.83 NODE_25_length_34995_cov_34.880767_15 # 11375 # 12061 # 1 # ID=25_15;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/17381at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:17:49 2026
# [ok]
