#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:2500732-2504454|- -           1241 21129                -           1200         0 1757.7  45.8   1   1         0         0 1757.5  45.8     1  1200     1  1238     1  1238 0.95 tig00000001_pilon_2400 # 2500732 # 2504454 # -1 # ID=1_2400;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon:2180556-2182790|+ -            745 21129                -           1200     8e-60  200.2  18.0   1   5   1.3e-16   1.3e-13   47.1   0.0    16    80    14    79    10    82 0.92 tig00000001_pilon_2090 # 2180556 # 2182790 # 1 # ID=1_2090;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001_pilon:2180556-2182790|+ -            745 21129                -           1200     8e-60  200.2  18.0   2   5   0.00071      0.73    4.9   0.0   108   153    88   132    84   141 0.91 tig00000001_pilon_2090 # 2180556 # 2182790 # 1 # ID=1_2090;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001_pilon:2180556-2182790|+ -            745 21129                -           1200     8e-60  200.2  18.0   3   5   2.7e-26   2.8e-23   79.1   2.3   344   483   170   303   151   316 0.90 tig00000001_pilon_2090 # 2180556 # 2182790 # 1 # ID=1_2090;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001_pilon:2180556-2182790|+ -            745 21129                -           1200     8e-60  200.2  18.0   4   5     1e-22   1.1e-19   67.3   0.5   554   791   335   585   302   592 0.83 tig00000001_pilon_2090 # 2180556 # 2182790 # 1 # ID=1_2090;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001_pilon:2180556-2182790|+ -            745 21129                -           1200     8e-60  200.2  18.0   5   5   2.2e-05     0.023    9.9   0.3   837   864   598   625   588   638 0.86 tig00000001_pilon_2090 # 2180556 # 2182790 # 1 # ID=1_2090;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001_pilon:1046931-1049117|+ -            729 21129                -           1200   8.9e-34  113.9  31.7   1   5   1.1e-13   1.1e-10   37.4   0.3     5    81    67   145    63   152 0.82 tig00000001_pilon_980 # 1046931 # 1049117 # 1 # ID=1_980;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
tig00000001_pilon:1046931-1049117|+ -            729 21129                -           1200   8.9e-34  113.9  31.7   2   5     1e-23   1.1e-20   70.6   7.3   322   485   225   386   183   451 0.82 tig00000001_pilon_980 # 1046931 # 1049117 # 1 # ID=1_980;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
tig00000001_pilon:1046931-1049117|+ -            729 21129                -           1200   8.9e-34  113.9  31.7   3   5      0.14   1.5e+02   -2.7   5.6   215   330   493   613   463   622 0.63 tig00000001_pilon_980 # 1046931 # 1049117 # 1 # ID=1_980;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
tig00000001_pilon:1046931-1049117|+ -            729 21129                -           1200   8.9e-34  113.9  31.7   4   5   0.00021      0.21    6.7   0.0   762   790   623   651   605   671 0.77 tig00000001_pilon_980 # 1046931 # 1049117 # 1 # ID=1_980;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
tig00000001_pilon:1046931-1049117|+ -            729 21129                -           1200   8.9e-34  113.9  31.7   5   5   1.3e-06    0.0013   14.0   0.3   838   867   678   707   658   722 0.74 tig00000001_pilon_980 # 1046931 # 1049117 # 1 # ID=1_980;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21129at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/21129at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21129at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:57:40 2026
# [ok]
