#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_30_length_20136_cov_58.816694:8514-9635|+    -            374 9800696              -            355  2.2e-156  517.7   0.1   1   1  4.2e-159  2.6e-156  517.5   0.1     2   353     5   363     4   365 0.95 NODE_30_length_20136_cov_58.816694_8 # 8514 # 9635 # 1 # ID=30_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.430
NODE_3_length_223274_cov_181.317177:2-1567|+      -            522 9800696              -            355   6.6e-06   22.7   0.2   1   3       1.4   8.4e+02   -3.9   0.0    46    84   157   193   142   195 0.69 NODE_3_length_223274_cov_181.317177_1 # 2 # 1567 # 1 # ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_3_length_223274_cov_181.317177:2-1567|+      -            522 9800696              -            355   6.6e-06   22.7   0.2   2   3   7.3e-08   4.5e-05   20.0   0.1     3    76   223   290   222   296 0.70 NODE_3_length_223274_cov_181.317177_1 # 2 # 1567 # 1 # ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_3_length_223274_cov_181.317177:2-1567|+      -            522 9800696              -            355   6.6e-06   22.7   0.2   3   3      0.13        83   -0.6   0.0   162   185   367   390   358   392 0.83 NODE_3_length_223274_cov_181.317177_1 # 2 # 1567 # 1 # ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
NODE_16_length_62801_cov_61.371830:22112-23677|-  -            522 9800696              -            355   1.8e-05   21.3   0.0   1   2   1.2e-07   7.6e-05   19.2   0.0     3    76   223   290   222   295 0.65 NODE_16_length_62801_cov_61.371830_22 # 22112 # 23677 # -1 # ID=16_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_16_length_62801_cov_61.371830:22112-23677|-  -            522 9800696              -            355   1.8e-05   21.3   0.0   2   2      0.21   1.3e+02   -1.3   0.0   162   185   367   390   359   392 0.83 NODE_16_length_62801_cov_61.371830_22 # 22112 # 23677 # -1 # ID=16_22;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_10_length_119333_cov_96.609128:51387-52841|+ -            485 9800696              -            355   6.5e-05   19.4   0.2   1   2   6.1e-07   0.00037   17.0   0.0     3    70    33    98    31   110 0.82 NODE_10_length_119333_cov_96.609128_46 # 51387 # 52841 # 1 # ID=10_46;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.384
NODE_10_length_119333_cov_96.609128:51387-52841|+ -            485 9800696              -            355   6.5e-05   19.4   0.2   2   2      0.14        84   -0.6   0.1   146   170   197   221   150   238 0.73 NODE_10_length_119333_cov_96.609128_46 # 51387 # 52841 # 1 # ID=10_46;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.384
NODE_8_length_133129_cov_72.724935:286-1497|-     -            404 9800696              -            355   0.00035   17.0   0.0   1   2   2.2e-06    0.0013   15.1   0.0     7    52   181   225   176   260 0.71 NODE_8_length_133129_cov_72.724935_1 # 286 # 1497 # -1 # ID=8_1;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_8_length_133129_cov_72.724935:286-1497|-     -            404 9800696              -            355   0.00035   17.0   0.0   2   2      0.24   1.5e+02   -1.5   0.0   163   196   312   345   300   368 0.77 NODE_8_length_133129_cov_72.724935_1 # 286 # 1497 # -1 # ID=8_1;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9800696at2.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/auto_lineage/run_bacteria_odb12/hmmer_output/9800696at2.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9800696at2.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:39:30 2026
# [ok]
