#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:635071-635931|+   -            287 20420                -            282  3.4e-156  516.0   0.3   1   1  1.2e-158  3.9e-156  515.8   0.3     1   281     1   281     1   282 1.00 contig_1_pilon_600 # 635071 # 635931 # 1 # ID=1_600;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_1_pilon:614023-615333|+   -            437 20420                -            282   4.5e-18   62.8   0.0   1   3   1.2e-10   4.2e-08   30.1   0.0   124   175     7    61     3    65 0.90 contig_1_pilon_577 # 614023 # 615333 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1_pilon:614023-615333|+   -            437 20420                -            282   4.5e-18   62.8   0.0   2   3   2.4e-10   7.9e-08   29.2   0.0    10   158    69   212    65   242 0.78 contig_1_pilon_577 # 614023 # 615333 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1_pilon:614023-615333|+   -            437 20420                -            282   4.5e-18   62.8   0.0   3   3      0.39   1.3e+02   -1.1   0.0    24    65   258   301   238   316 0.63 contig_1_pilon_577 # 614023 # 615333 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_2_pilon:126830-128227|-   -            466 20420                -            282     7e-11   39.2   1.4   1   2   4.7e-09   1.6e-06   24.9   0.1   111   175   218   285   191   298 0.76 contig_2_pilon_101 # 126830 # 128227 # -1 # ID=5_101;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
contig_2_pilon:126830-128227|-   -            466 20420                -            282     7e-11   39.2   1.4   2   2   2.1e-05    0.0072   12.9   0.1    21    90   304   373   298   384 0.87 contig_2_pilon_101 # 126830 # 128227 # -1 # ID=5_101;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
contig_2_pilon:1298380-1299279|+ -            300 20420                -            282   1.8e-10   37.9   0.1   1   2   1.8e-12   6.1e-10   36.1   0.1   124   180    10    69     4    83 0.85 contig_2_pilon_1244 # 1298380 # 1299279 # 1 # ID=5_1244;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
contig_2_pilon:1298380-1299279|+ -            300 20420                -            282   1.8e-10   37.9   0.1   2   2      0.51   1.7e+02   -1.4   0.0    22    97    84   163    75   171 0.58 contig_2_pilon_1244 # 1298380 # 1299279 # 1 # ID=5_1244;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
contig_1_pilon:468614-469723|+   -            370 20420                -            282   1.9e-09   34.5   0.1   1   1   1.5e-11   5.2e-09   33.1   0.1    27   188    77   237    67   262 0.73 contig_1_pilon_452 # 468614 # 469723 # 1 # ID=1_452;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:1112752-1113339|- -            196 20420                -            282   7.7e-09   32.5   0.0   1   2     5e-11   1.7e-08   31.4   0.0   126   186    29    90    25   129 0.87 contig_1_pilon_1060 # 1112752 # 1113339 # -1 # ID=1_1060;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
contig_1_pilon:1112752-1113339|- -            196 20420                -            282   7.7e-09   32.5   0.0   2   2      0.62   2.1e+02   -1.7   0.0    27    62   109   146    92   163 0.63 contig_1_pilon_1060 # 1112752 # 1113339 # -1 # ID=1_1060;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
