#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
tig00000001_pilon_pilon	136795	137196	-	EFM745_00141	14.6	4.8		RefSeq:WP_002296902.1, SO:0001217, UniParc:UPI000037FF7A, UniRef:UniRef100_A0AAF0S8D8, UniRef:UniRef50_A0AAF0S8D8, UniRef:UniRef90_A0AAF0S8D8
tig00000001_pilon_pilon	144868	145650	-	EFM745_00153	29.5	5.7		RefSeq:WP_002349645.1, SO:0001217, UniParc:UPI000282615E, UniRef:UniRef100_UPI000282615E, UniRef:UniRef50_A0A377KQE4, UniRef:UniRef90_A0A377KQE4
tig00000001_pilon_pilon	160747	161010	-	EFM745_00171	10.0	5.2		RefSeq:WP_002311450.1, SO:0001217, UniParc:UPI0001B6F274, UniRef:UniRef100_UPI0001B6F274, UniRef:UniRef90_A0A8S5NQD0
tig00000001_pilon_pilon	161023	161253	-	EFM745_00172	9.0	4.9		RefSeq:WP_002318892.1, SO:0001217, UniParc:UPI0001CEBF9B, UniRef:UniRef100_UPI00030AD71A, UniRef:UniRef50_A0A848MT77, UniRef:UniRef90_A0A5F0V817
tig00000001_pilon_pilon	164624	164848	-	EFM745_00176	8.8	9.1		RefSeq:WP_002311444.1, SO:0001217, UniParc:UPI0001B6F270, UniRef:UniRef100_UPI0001B6F270, UniRef:UniRef50_A0A1V2UJ66, UniRef:UniRef90_A0AB37IKL7
tig00000001_pilon_pilon	165519	165932	-	EFM745_00178	15.9	7.8		RefSeq:WP_024265261.1, SO:0001217, UniParc:UPI0002E0FCE8, UniRef:UniRef100_UPI0002E0FCE8, UniRef:UniRef50_A0A427BV83, UniRef:UniRef90_A0A427BV83
tig00000001_pilon_pilon	166223	166498	+	EFM745_00179	10.9	6.6		RefSeq:WP_002300143.1, SO:0001217, UniParc:UPI000037FD32, UniRef:UniRef100_A0A133CKV7, UniRef:UniRef50_A0A133CKV7, UniRef:UniRef90_A0A133CKV7
tig00000001_pilon_pilon	166495	166647	-	EFM745_00180	5.5	4.6		RefSeq:WP_002296602.1, SO:0001217, UniParc:UPI0001B6F26D, UniRef:UniRef100_I3U0D5, UniRef:UniRef50_I3U0D5, UniRef:UniRef90_I3U0D5
tig00000001_pilon_pilon	173884	174030	-	EFM745_00198	5.5	9.9		SO:0001217, UniRef:UniRef50_I6TBR8, UniRef:UniRef90_J6Z1E3
tig00000001_pilon_pilon	173999	174172	-	EFM745_00199	6.3	10.5		RefSeq:WP_002301528.1, SO:0001217, UniParc:UPI0001B6E540, UniRef:UniRef100_A0A242DKW7, UniRef:UniRef50_A0A242DKW7, UniRef:UniRef90_A0A242DKW7
