#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_5_length_100374_cov_29.640417:46730-48256|+ -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 NODE_5_length_100374_cov_29.640417_46 # 46730 # 48256 # 1 # ID=5_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_34_length_25980_cov_30.418284:13055-13792|+ -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 NODE_34_length_25980_cov_30.418284_7 # 13055 # 13792 # 1 # ID=34_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_10_length_83811_cov_29.795656:69247-69984|- -            246 18543                -            519   2.2e-38  129.4   1.4   1   1   6.9e-40   2.7e-38  129.1   1.4     9   221     7   218     2   228 0.92 NODE_10_length_83811_cov_29.795656_68 # 69247 # 69984 # -1 # ID=10_68;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_12_length_78125_cov_33.572102:20815-21858|- -            348 18543                -            519   7.5e-38  127.6   1.3   1   1   3.4e-39   1.3e-37  126.8   1.3     6   232     6   236     2   258 0.87 NODE_12_length_78125_cov_33.572102_20 # 20815 # 21858 # -1 # ID=12_20;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_38_length_23628_cov_35.195393:4034-4774|-   -            247 18543                -            519   2.3e-35  119.4   1.6   1   1   6.9e-37   2.7e-35  119.2   1.6     4   218     3   216     1   227 0.91 NODE_38_length_23628_cov_35.195393_4 # 4034 # 4774 # -1 # ID=38_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_7_length_86709_cov_33.100688:45769-46842|-  -            358 18543                -            519   2.2e-33  112.9   1.8   1   1   7.3e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 NODE_7_length_86709_cov_33.100688_44 # 45769 # 46842 # -1 # ID=7_44;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_26_length_34327_cov_44.144053:24668-25843|- -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.7e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 NODE_26_length_34327_cov_44.144053_25 # 24668 # 25843 # -1 # ID=26_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
NODE_6_length_99885_cov_29.307212:17356-18099|+  -            248 18543                -            519   7.2e-32  107.9   0.0   1   1   2.2e-33   8.7e-32  107.6   0.0     7   226     2   216     1   230 0.93 NODE_6_length_99885_cov_29.307212_15 # 17356 # 18099 # 1 # ID=6_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_11_length_80003_cov_31.743608:70343-71035|+ -            231 18543                -            519   3.7e-31  105.5   0.2   1   1   1.1e-32   4.4e-31  105.3   0.2     6   225     4   222     1   229 0.90 NODE_11_length_80003_cov_31.743608_70 # 70343 # 71035 # 1 # ID=11_70;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_19_length_49767_cov_34.796387:21014-21766|+ -            251 18543                -            519   5.2e-31  105.0   0.3   1   1   1.5e-32   5.8e-31  104.9   0.3     4   201     2   205     1   236 0.87 NODE_19_length_49767_cov_34.796387_25 # 21014 # 21766 # 1 # ID=19_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
