All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N90     NG90    auN        auNG       L50  LG50  L90  LG90  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genomic features  Largest alignment  Total aligned length  NA50     NGA50    NA90    NGA90   auNA       auNGA      LA50  LGA50  LA90  LGA90
canu_pacbio                     10                   10                      10                      9                        4                        2                        3155801                 3155801                    3155801                    3148759                     3062599                     2993707                     10         2775137         3155801       3168410           37.79   37.70             2775137  2775137  218570  218570  2456809.2  2447032.1  1    1     2    2     7                5                       3063909                      0                      0                         0                         0                         0 + 0 part           0                 98.217               1.013              0.00               10.28                     15.26                 3328 + 13 part      2126761            3151802               2126761  2126761  183837  183837  1578433.4  1572151.8  1     1      3     3    
canu_nanopore                   44                   44                      32                      14                       0                        0                        367099                  367099                     323235                     187820                      0                           0                           44         23096           367099        3168410           38.86   37.70             10074    -        4658    -       10591.0    1227.1     14   -     34   -     2                2                       29384                        0                      0                         0                         0                         15 + 2 part          90605             9.080                0.961              0.00               343.71                    2999.67               254 + 43 part       23093              276397                8546     -        -       -       8291.3     960.6      16    -      -     -    
spades_pacbio_illumina          224                  44                      38                      35                       29                       18                       3142191                 3127697                    3114599                    3091762                     3001331                     2624973                     45         385945          3128596       3168410           37.71   37.70             162800   162800   33126   31976   170912.1   168764.4   7    7     23   24    4                3                       307283                       0                      0                         0                         0                         2 + 0 part           4989              98.157               1.003              6.42               50.81                     7.31                  3336 + 16 part      385945             3119374               128639   128639   31036   29482   162315.7   160276.0   8     8      25    26   
spades_pacbio_illumina_isolate  457                  53                      50                      43                       33                       21                       3115061                 3079915                    3074529                    3024815                     2871596                     2476496                     56         304474          3082492       3168410           37.66   37.70             122393   122393   28698   26158   131616.4   128047.3   9    9     30   33    0                0                       0                            0                      0                         5                         0                         2 + 0 part           8122              96.934               1.000              115.88             16.12                     2.96                  3204 + 26 part      304474             3070896               122393   122393   28698   26158   131214.6   127656.4   9     9      30    33   
spades_illumina                 471                  159                     89                      66                       34                       17                       2977052                 2910360                    2736486                    2568315                     2031484                     1411177                     189        114283          2930010       3168410           37.65   37.70             49767    44893    7935    2513    54334.1    50245.8    19   21    74   122   0                0                       0                            1                      0                         0                         0                         2 + 0 part           6560              92.209               1.001              10.24              2.50                      2.91                  3010 + 68 part      114283             2923428               49767    44893    7935    2090    54326.6    50238.9    19    21     74    123  
spades_nanopore_illumina        40                   10                      9                       7                        7                        6                        3147445                 3140987                    3137711                    3123062                     3123062                     3087180                     11         1652082         3141506       3168410           37.66   37.70             1652082  1652082  212759  212759  1130777.6  1121175.8  1    1     4    4     4                2                       109519                       1                      0                         4                         0                         1 + 1 part           5602              98.226               1.003              215.47             36.14                     6.28                  3283 + 18 part      1643321            3121388               1643321  1643321  211024  211024  1119998.9  1110488.6  1     1      4     4    
flye_pacbio                     11                   11                      10                      10                       6                        3                        3142598                 3142598                    3138956                    3138956                     3078550                     2980276                     11         1415035         3142598       3168410           37.82   37.70             1362975  1362975  202266  202266  1242661.1  1232537.5  2    2     3    3     3                2                       57865                        0                      0                         0                         0                         0 + 2 part           4200              97.635               1.014              0.00               26.07                     52.55                 3310 + 15 part      1415035            3137894               1362975  1362975  202039  202039  1242396.7  1232275.3  2     2      3     3    
flye_nanopore                   84                   84                      82                      71                       45                       23                       3884554                 3884554                    3878141                    3790568                     3343488                     2586702                     84         393342          3884554       3168410           41.43   37.70             85374    106688   19743   38379   122710.6   150446.4   13   9     52   30    0                0                       0                            0                      0                         0                         0                         78 + 6 part          3609128           8.929                0.974              0.00               1335.02                   3407.45               253 + 10 part       154244             275426                -        -        -       -       7537.5     9241.2     -     -      -     -    
canu_pacbio_pilon_r1            10                   10                      10                      9                        4                        2                        3155939                 3155939                    3155939                    3148897                     3062704                     2993804                     10         2775227         3155939       3168410           37.79   37.70             2775227  2775227  218577  218577  2456861.6  2447191.3  1    1     2    2     8                5                       3064010                      0                      0                         0                         0                         0 + 0 part           0                 98.217               1.013              0.00               10.63                     8.57                  3328 + 13 part      1888367            3151940               1888367  1888367  183840  183840  1390324.4  1384852.0  1     1      3     3    
flye_pacbio_pilon               11                   11                      10                      10                       6                        3                        3139688                 3139688                    3136046                    3136046                     3075641                     2977407                     11         1415042         3139688       3168410           37.82   37.70             1362979  1362979  199386  199386  1243453.2  1232181.2  2    2     3    3     4                3                       257216                       0                      0                         0                         0                         0 + 2 part           4200              97.544               1.014              0.00               25.36                     50.97                 3308 + 15 part      1415042            3134984               1362979  1362979  188646  188646  1241925.8  1230667.6  2     2      3     3    
