#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_185058_cov_63.073482:49360-49788|-    -            143 19279                -            138   1.6e-80  265.4  10.2   1   1   6.2e-83   1.8e-80  265.2  10.2     2   138     3   142     2   142 0.97 NODE_4_length_185058_cov_63.073482_47 # 49360 # 49788 # -1 # ID=4_47;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_1_length_304474_cov_63.252055:130905-131351|+  -            149 19279                -            138   4.6e-27   92.2   1.5   1   1   1.8e-29   5.1e-27   92.0   1.5     2   138     2   140     1   140 0.93 NODE_1_length_304474_cov_63.252055_124 # 130905 # 131351 # 1 # ID=1_124;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NODE_9_length_122393_cov_61.758630:90859-91326|-    -            156 19279                -            138   3.6e-18   63.4   3.3   1   1   1.5e-20   4.2e-18   63.2   3.3     4   137     5   145     2   146 0.85 NODE_9_length_122393_cov_61.758630_95 # 90859 # 91326 # -1 # ID=9_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_5_length_181677_cov_163.395180:154733-155017|+ -             95 19279                -            138     0.018   12.5   0.2   1   1   6.3e-05     0.018   12.5   0.2    36    69    23    57     2    83 0.81 NODE_5_length_181677_cov_163.395180_146 # 154733 # 155017 # 1 # ID=5_146;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
NODE_41_length_12946_cov_332.044296:1662-2342|-     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00046      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_41_length_12946_cov_332.044296_3 # 1662 # 2342 # -1 # ID=41_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_41_length_12946_cov_332.044296:1662-2342|-     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.15        43    1.6   0.1     4    33   136   167   133   212 0.72 NODE_41_length_12946_cov_332.044296_3 # 1662 # 2342 # -1 # ID=41_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_41_length_12946_cov_332.044296:4407-5087|-     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00046      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_41_length_12946_cov_332.044296_6 # 4407 # 5087 # -1 # ID=41_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_41_length_12946_cov_332.044296:4407-5087|-     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.15        43    1.6   0.1     4    33   136   167   133   212 0.72 NODE_41_length_12946_cov_332.044296_6 # 4407 # 5087 # -1 # ID=41_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_42_length_10417_cov_270.845628:4730-5410|+     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00046      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_42_length_10417_cov_270.845628_8 # 4730 # 5410 # 1 # ID=42_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_42_length_10417_cov_270.845628:4730-5410|+     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.15        43    1.6   0.1     4    33   136   167   133   212 0.72 NODE_42_length_10417_cov_270.845628_8 # 4730 # 5410 # 1 # ID=42_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_46_length_7598_cov_438.447455:4243-4923|-      -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00046      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_46_length_7598_cov_438.447455_6 # 4243 # 4923 # -1 # ID=46_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
