#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1254445-1254969|+ -            175 23784                -            172   4.4e-76  251.6   0.5   1   1   1.6e-78   5.1e-76  251.4   0.5     2   172     3   173     2   173 0.99 tig00000001_pilon_pilon_1172 # 1254445 # 1254969 # 1 # ID=1_1172;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
tig00000001_pilon_pilon:2085889-2086431|+ -            181 23784                -            172   3.3e-10   37.2   0.0   1   2      0.64     2e+02   -1.2   0.0     7    26    32    51    28    55 0.85 tig00000001_pilon_pilon_2008 # 2085889 # 2086431 # 1 # ID=1_2008;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.370
tig00000001_pilon_pilon:2085889-2086431|+ -            181 23784                -            172   3.3e-10   37.2   0.0   2   2     3e-12   9.2e-10   35.7   0.0    93   167   102   175    64   179 0.89 tig00000001_pilon_pilon_2008 # 2085889 # 2086431 # 1 # ID=1_2008;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.370
tig00000001_pilon_pilon:942650-943171|+   -            174 23784                -            172   1.2e-09   35.4   0.0   1   1   5.1e-12   1.6e-09   35.0   0.0     8   147     6   150     3   170 0.75 tig00000001_pilon_pilon_886 # 942650 # 943171 # 1 # ID=1_886;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.351
tig00000001_pilon_pilon:1249897-1250460|+ -            188 23784                -            172   1.5e-08   31.8   0.0   1   2     0.019       5.9    3.8   0.0     8    52     2    46     1    79 0.88 tig00000001_pilon_pilon_1166 # 1249897 # 1250460 # 1 # ID=1_1166;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001_pilon_pilon:1249897-1250460|+ -            188 23784                -            172   1.5e-08   31.8   0.0   2   2   2.5e-09   7.7e-07   26.2   0.0    93   149   116   171   115   183 0.90 tig00000001_pilon_pilon_1166 # 1249897 # 1250460 # 1 # ID=1_1166;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001_pilon_pilon:1002523-1002966|+ -            148 23784                -            172   1.5e-08   31.8   0.9   1   1   1.3e-10   3.9e-08   30.4   0.9    58   160    48   136    25   143 0.83 tig00000001_pilon_pilon_938 # 1002523 # 1002966 # 1 # ID=1_938;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.351
tig00000001_pilon_pilon:1748615-1749082|+ -            156 23784                -            172   4.9e-05   20.3   0.1   1   1   2.1e-07   6.4e-05   19.9   0.1    91   153    59   122    37   131 0.82 tig00000001_pilon_pilon_1667 # 1748615 # 1749082 # 1 # ID=1_1667;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001_pilon_pilon:1263845-1264414|+ -            190 23784                -            172   0.00039   17.4   0.0   1   1   1.4e-06   0.00044   17.2   0.0    94   159   111   176    61   187 0.86 tig00000001_pilon_pilon_1179 # 1263845 # 1264414 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001_pilon_pilon:77162-77596|+     -            145 23784                -            172    0.0012   15.8   0.0   1   1   6.3e-06    0.0019   15.1   0.0    94   146    76   124    73   131 0.82 tig00000001_pilon_pilon_64 # 77162 # 77596 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.372
tig00000001_pilon_pilon:826587-827075|+   -            163 23784                -            172    0.0046   13.9   0.3   1   2       1.3   3.9e+02   -2.1   0.0    38    38    33    33     4    72 0.51 tig00000001_pilon_pilon_770 # 826587 # 827075 # 1 # ID=1_770;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
