#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:69087-71321|+     -            745 19000                -            742         0 1580.6  16.7   1   1         0         0 1580.4  16.7     1   740     1   738     1   740 0.99 tig00000001_59 # 69087 # 71321 # 1 # ID=1_59;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.401
tig00000001:621088-623580|-   -            831 19000                -            742  6.3e-223  739.6  17.5   1   1  2.2e-225  8.6e-223  739.2  17.5    86   709   159   796   127   814 0.92 tig00000001_575 # 621088 # 623580 # -1 # ID=1_575;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:2245145-2247754|+ -            870 19000                -            742  7.7e-217  719.5  16.8   1   2  4.8e-105  1.9e-102  341.3   8.5    89   375   145   436   129   479 0.86 tig00000001_2172 # 2245145 # 2247754 # 1 # ID=1_2172;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:2245145-2247754|+ -            870 19000                -            742  7.7e-217  719.5  16.8   2   2  1.2e-117  4.8e-115  383.0   1.5   359   706   480   836   467   864 0.91 tig00000001_2172 # 2245145 # 2247754 # 1 # ID=1_2172;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:2641458-2642858|- -            467 19000                -            742   8.9e-09   31.6   4.5   1   3   9.3e-10   3.6e-07   26.3   0.1   434   494     9    74     2   115 0.83 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2641458-2642858|- -            467 19000                -            742   8.9e-09   31.6   4.5   2   3       0.3   1.2e+02   -1.9   0.1   210   252   268   305   261   327 0.58 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2641458-2642858|- -            467 19000                -            742   8.9e-09   31.6   4.5   3   3   0.00097      0.38    6.4   0.2   625   706   342   432   334   461 0.80 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:272940-274226|+   -            429 19000                -            742   0.00045   16.0   0.2   1   2    0.0038       1.5    4.4   0.0   118   164    11    60     5    65 0.63 tig00000001_286 # 272940 # 274226 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
tig00000001:272940-274226|+   -            429 19000                -            742   0.00045   16.0   0.2   2   2   0.00011     0.045    9.5   0.1   202   282    79   148    73   169 0.81 tig00000001_286 # 272940 # 274226 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
tig00000001:1690674-1692452|+ -            593 19000                -            742   0.00058   15.7   0.9   1   1   2.8e-06    0.0011   14.7   0.9   361   397   201   237   187   247 0.80 tig00000001_1622 # 1690674 # 1692452 # 1 # ID=1_1622;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:2171048-2171518|+ -            157 19000                -            742    0.0037   13.0   0.0   1   1   1.2e-05    0.0046   12.7   0.0   438   496    69   135    50   144 0.75 tig00000001_2100 # 2171048 # 2171518 # 1 # ID=1_2100;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
tig00000005:27935-28297|-     -            121 19000                -            742     0.011   11.5   0.1   1   1   2.7e-05     0.011   11.5   0.1    21    87    10    79     3   108 0.60 tig00000005_35 # 27935 # 28297 # -1 # ID=5_35;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19000at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19000at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19000at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:33:56 2026
# [ok]
