#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1529222-1531231|+ -            670 599                  -            669         0 1419.4   3.5   1   1         0         0 1419.3   3.5     1   669     1   669     1   669 1.00 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:1608964-1611609|+ -            882 599                  -            669   3.2e-29   99.5   0.8   1   2   1.2e-15   6.4e-13   45.6   0.1     5   125    39   177    35   197 0.80 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:1608964-1611609|+ -            882 599                  -            669   3.2e-29   99.5   0.8   2   2   1.1e-17     6e-15   52.3   0.1   236   515   449   726   440   749 0.79 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:375042-377456|-   -            805 599                  -            669   1.7e-25   87.2   2.9   1   2     5e-16   2.6e-13   46.9   0.0     3   197    29   218    28   228 0.84 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 599                  -            669   1.7e-25   87.2   2.9   2   2   9.1e-13   4.7e-10   36.1   2.3   255   398   514   671   502   698 0.67 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:1379184-1381982|+ -            933 599                  -            669   2.4e-19   66.8   0.6   1   2   5.1e-11   2.6e-08   30.3   0.0    14   142    57   199    45   221 0.78 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1379184-1381982|+ -            933 599                  -            669   2.4e-19   66.8   0.6   2   2   3.1e-12   1.6e-09   34.4   0.4   295   511   578   795   538   835 0.79 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:468590-470002|-   -            471 599                  -            669   2.2e-09   33.9   1.3   1   2   8.9e-11   4.6e-08   29.5   0.2     7   129    25   144    20   161 0.85 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:468590-470002|-   -            471 599                  -            669   2.2e-09   33.9   1.3   2   2    0.0087       4.5    3.1   0.0   306   336   267   297   252   390 0.90 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:2496458-2498878|- -            807 599                  -            669   0.00039   16.5   0.3   1   3   3.4e-06    0.0018   14.4   0.1   572   648    46   125    36   142 0.80 tig00000001_2423 # 2496458 # 2498878 # -1 # ID=1_2423;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
tig00000001:2496458-2498878|- -            807 599                  -            669   0.00039   16.5   0.3   2   3      0.46   2.4e+02   -2.6   0.0   513   527   150   164   145   172 0.84 tig00000001_2423 # 2496458 # 2498878 # -1 # ID=1_2423;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
tig00000001:2496458-2498878|- -            807 599                  -            669   0.00039   16.5   0.3   3   3      0.32   1.7e+02   -2.1   0.0   454   495   411   449   400   452 0.73 tig00000001_2423 # 2496458 # 2498878 # -1 # ID=1_2423;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/599at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/599at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/599at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:39:11 2026
# [ok]
